
[00:00:00.000 --> 00:00:02.300]  我一直也是在思考這個問題
[00:00:02.300 --> 00:00:05.380]  我們香港為什麼排那麼後的
[00:00:05.380 --> 00:00:10.500]  如果是以我們的財富來講我們應該是在30左右啊全世界來講
[00:00:10.500 --> 00:00:12.020]  那是我們的快樂
[00:00:12.020 --> 00:00:13.300]  不是很好
[00:00:13.300 --> 00:00:15.360]  那我們常常
[00:00:15.360 --> 00:00:18.180]  用我們的熟練的眼光來看一下
[00:00:18.180 --> 00:00:19.460]  到底
[00:00:19.460 --> 00:00:22.520]  我們看到第一名是瑞士了啊
[00:00:22.520 --> 00:00:25.080]  那我們可能很多人開玩笑就
[00:00:25.080 --> 00:00:25.860]  不理了
[00:00:25.860 --> 00:00:28.920]  那我是比較喜歡問的那我就問了第二
[00:00:29.180 --> 00:00:32.000]  第三到底是哪些國家呢
[00:00:32.000 --> 00:00:35.840]  後來我去看這個報告的時候嚇了我一跳啊然後我就
[00:00:35.840 --> 00:00:37.120]  將我做出來的
[00:00:37.120 --> 00:00:39.420]  調查了跟大家分享
[00:00:39.420 --> 00:00:42.240]  從來我沒有想到
[00:00:42.240 --> 00:00:43.780]  你看啊
[00:00:43.780 --> 00:00:45.560]  在這裡呢
[00:00:45.560 --> 00:00:50.680]  有三個國家可能你會聽過丹麥啊丹麥你可能會聽過
[00:00:50.680 --> 00:00:55.040]  挪威可能你也會聽過但是冰島
[00:00:55.040 --> 00:00:57.860]  這個呢可能少為少聽過了
[00:00:58.620 --> 00:00:59.640]  很奇怪
[00:00:59.640 --> 00:01:04.500]  那我就看他們的國旗你看都是有點共通點啊
[00:01:04.500 --> 00:01:06.560]  很好啊
[00:01:06.560 --> 00:01:08.340]  就共通點
[00:01:08.340 --> 00:01:12.180]  所以奇怪啊剛才我們看到瑞士他有一個十字架
[00:01:12.180 --> 00:01:13.460]  還有
[00:01:13.460 --> 00:01:15.520]  丹麥又是有一個十字架
[00:01:15.520 --> 00:01:19.100]  然後這裡第二名是冰島
[00:01:19.100 --> 00:01:20.880]  也有一個十字架
[00:01:20.880 --> 00:01:22.160]  還有
[00:01:22.160 --> 00:01:23.200]  丹麥
[00:01:23.440 --> 00:01:29.320]  又是有個十字架丹麥這個跟這個瑞士更加接近了更加類似了
[00:01:29.320 --> 00:01:31.380]  然後挪威
[00:01:31.380 --> 00:01:35.980]  那我是覺得奇怪為什麼這個國家會這樣那我就看一下
[00:01:35.980 --> 00:01:37.000]  他們那個
[00:01:37.000 --> 00:01:39.560]  基督徒的這個比例是多少
[00:01:39.560 --> 00:01:42.380]  當然我首先看瑞士了
[00:01:42.380 --> 00:01:45.440]  瑞士呢在哪邊呢這個他們
[00:01:45.440 --> 00:01:47.760]  天主教呢
[00:01:47.760 --> 00:01:48.780]  比較多
[00:01:48.780 --> 00:01:50.320]  差不多是有
[00:01:50.320 --> 00:01:52.100]  36%左右啊
[00:01:52.620 --> 00:01:55.940]  然後基督教有32% 33%
[00:01:55.940 --> 00:01:59.280]  那麼加起來差不多69%左右啊
[00:01:59.280 --> 00:02:01.320]  差不多7成是基督徒
[00:02:01.320 --> 00:02:02.600]  我們也將
[00:02:02.600 --> 00:02:06.440]  天主教徒都算在我們信仰這邊了
[00:02:06.440 --> 00:02:07.460]  然後呢
[00:02:07.460 --> 00:02:09.780]  那我去查一下這個冰島
[00:02:09.780 --> 00:02:11.060]  冰島呢
[00:02:11.060 --> 00:02:12.840]  天主教32%
[00:02:12.840 --> 00:02:14.120]  基督教呢
[00:02:14.120 --> 00:02:16.940]  天主教很少
[00:02:16.940 --> 00:02:17.960]  3.2
[00:02:17.960 --> 00:02:20.780]  然後基督教是有75%
[00:02:21.300 --> 00:02:24.880]  那麼加起來是78那差不多是8成到9成是
[00:02:24.880 --> 00:02:26.680]  信耶穌的
[00:02:26.680 --> 00:02:31.540]  然後呢丹麥丹麥就沒有很少很少天主教徒基本上是沒有了
[00:02:31.540 --> 00:02:34.860]  8成80%是基督徒
[00:02:34.860 --> 00:02:36.660]  挪威更厲害
[00:02:36.660 --> 00:02:38.200]  挪威是82%
[00:02:38.200 --> 00:02:41.260]  82%是信義中的教徒
[00:02:41.260 --> 00:02:43.820]  所以我們也看到他們的國旗
[00:02:43.820 --> 00:02:44.600]  是以
[00:02:44.600 --> 00:02:45.880]  十字架
[00:02:45.880 --> 00:02:46.900]  作為標誌
[00:02:47.420 --> 00:02:51.780]  他們的國民的信仰也是以天主教或者是主要是
[00:02:51.780 --> 00:02:52.800]  基督教為主
[00:02:52.800 --> 00:02:54.340]  所以呢也是
[00:02:54.340 --> 00:02:55.360]  好像我們
[00:02:55.360 --> 00:02:56.900]  經文所說了
[00:02:56.900 --> 00:02:58.420]  以耶和華
[00:02:58.420 --> 00:03:00.220]  為國的
[00:03:00.220 --> 00:03:02.000]  這個國家是
[00:03:02.000 --> 00:03:03.800]  並蒙上帝所賜福的
[00:03:03.800 --> 00:03:05.340]  這是今天
[00:03:05.340 --> 00:03:07.140]  不是說在
[00:03:07.140 --> 00:03:09.440]  古代的時候以色列人怎樣說
[00:03:09.440 --> 00:03:11.740]  今天在今天這個時代
[00:03:11.740 --> 00:03:15.840]  還是告訴大家原來如果是有很多人信耶穌的
[00:03:16.100 --> 00:03:18.400]  他們都會很高興很快樂
