
[00:00:00.000 --> 00:00:01.480]  耶穌家譜的密碼
[00:00:01.480 --> 00:00:02.680]  究竟說什麼呢?
[00:00:02.680 --> 00:00:04.280]  我們首先要仰望神
[00:00:04.280 --> 00:00:05.440]  我們要祈禱
[00:00:05.440 --> 00:00:06.320]  天父,我們感謝祢
[00:00:06.320 --> 00:00:09.280]  讓我們一起思想祢的話語
[00:00:09.280 --> 00:00:10.160]  按照次序
[00:00:10.160 --> 00:00:15.040]  路加呼音說到耶穌的受洗和耶穌的家譜
[00:00:15.040 --> 00:00:16.960]  主人,我們有時候看到經文
[00:00:16.960 --> 00:00:18.640]  可能都會有疑惑
[00:00:18.640 --> 00:00:21.200]  或者覺得好像很沉悶
[00:00:21.200 --> 00:00:22.720]  或者好像很複雜
[00:00:22.720 --> 00:00:26.160]  但是我們仍然要讀聖言
[00:00:26.160 --> 00:00:29.160]  去明白這些經文的意思
[00:00:29.160 --> 00:00:31.560]  主人,我們就將以下時間
[00:00:31.560 --> 00:00:33.280]  交給主耶穌
[00:00:33.280 --> 00:00:35.720]  交給聖靈來管理
[00:00:35.720 --> 00:00:37.840]  祢的聖靈是真理的聖靈
[00:00:37.840 --> 00:00:40.520]  幫助我們進入一切的真理
[00:00:40.520 --> 00:00:42.840]  當有神的僕人、侍女
[00:00:42.840 --> 00:00:45.000]  去宣講祢的話語的時候
[00:00:45.000 --> 00:00:47.440]  祢的聖靈就在我們當中
[00:00:47.440 --> 00:00:49.840]  幫助我們去明白祢的話語
[00:00:49.840 --> 00:00:52.080]  孩子的準備也很有限
[00:00:52.080 --> 00:00:53.320]  也是盡力
[00:00:53.320 --> 00:00:55.960]  但是唯有聖靈
[00:00:55.960 --> 00:00:58.040]  祢真理的聖靈是洞察人的心
[00:00:58.040 --> 00:00:59.720]  知道人心的需要
[00:00:59.720 --> 00:01:03.040]  並且能夠將我們準備的
[00:01:03.040 --> 00:01:07.720]  說不明白或者是一些重點
[00:01:07.720 --> 00:01:10.600]  將人帶到神面前的時候
[00:01:10.600 --> 00:01:12.760]  祢會打中人心的需要
[00:01:12.760 --> 00:01:15.680]  我們就將以下講道的時間
[00:01:15.680 --> 00:01:16.760]  交給主
[00:01:16.760 --> 00:01:19.960]  以致祢讓我們去聽到
[00:01:19.960 --> 00:01:21.560]  不單只是行道
[00:01:21.560 --> 00:01:24.160]  更加有一個敬拜的心
[00:01:24.160 --> 00:01:25.960]  因為我們在崇拜聽道
[00:01:25.960 --> 00:01:27.320]  不只是想主人學
[00:01:27.320 --> 00:01:29.240]  我們是想明白祢的話語
[00:01:29.240 --> 00:01:30.800]  並且去敬畏祢
