
[00:00:00.000 --> 00:00:02.000]  各位來賓各位朋友
[00:00:02.000 --> 00:00:03.000]  各位主持的弟兄姊妹
[00:00:03.000 --> 00:00:04.000]  再次跟大家說聲
[00:00:04.000 --> 00:00:06.000]  聖誕快樂 新年蒙福
[00:00:06.000 --> 00:00:09.000]  在每到十二月的時間
[00:00:09.000 --> 00:00:12.000]  大街小巷 特別是商場
[00:00:12.000 --> 00:00:14.000]  在餐廳
[00:00:14.000 --> 00:00:16.000]  迪士尼 海洋公園
[00:00:16.000 --> 00:00:18.000]  甚至乎有些人要看病
[00:00:18.000 --> 00:00:19.000]  去醫務所
[00:00:19.000 --> 00:00:21.000]  你都會聽到這種音樂
[00:00:21.000 --> 00:00:24.000]  但你每年都聽到那些
[00:00:24.000 --> 00:00:26.000]  但你又不會覺得很討厭
[00:00:26.000 --> 00:00:29.000]  因為這些聖誕的詩歌
[00:00:29.000 --> 00:00:31.000]  都讓我們可以迎接
[00:00:31.000 --> 00:00:33.000]  預備這個聖誕
[00:00:33.000 --> 00:00:37.000]  一個所謂普天同慶的日子
[00:00:37.000 --> 00:00:40.000]  在兩年前《時代雜誌》
[00:00:40.000 --> 00:00:41.000]  美國的《時代雜誌》
[00:00:41.000 --> 00:00:44.000]  就統計了最多灌錄的聖誕詩歌
[00:00:44.000 --> 00:00:46.000]  記住是詩歌
[00:00:46.000 --> 00:00:48.000]  跟大家一起分享一下好不好
[00:00:48.000 --> 00:00:50.000]  十大聖誕金曲
[00:00:50.000 --> 00:00:52.000]  龍虎榜第一位
[00:00:52.000 --> 00:00:54.000]  沒什麼鼓 音樂
[00:00:54.000 --> 00:01:02.000]  給一些猜測
[00:01:02.000 --> 00:01:04.000]  或者你覺得哪一首
[00:01:04.000 --> 00:01:07.000]  平安夜 不說你都會知道
[00:01:07.000 --> 00:01:11.000]  是有733個英文的版權
[00:01:11.000 --> 00:01:13.000]  記錄了
[00:01:13.000 --> 00:01:17.000]  十大聖誕金曲龍虎榜第二位
[00:01:17.000 --> 00:01:22.000]  清高Band不是詩歌
[00:01:22.000 --> 00:01:24.000]  剛才有人說
[00:01:24.000 --> 00:01:25.000]  We wish you a Merry Christmas
[00:01:25.000 --> 00:01:27.000]  都不是詩歌 對不起
[00:01:27.000 --> 00:01:30.000]  昨天周六崇拜都是說這個
