
[00:00:00.000 --> 00:00:02.400]  祂就是我們生命的創始者
[00:00:02.400 --> 00:00:03.900]  我們一切都是祂的禱告
[00:00:03.900 --> 00:00:08.500]  天父求祢帶領以下的時間幫助
[00:00:08.500 --> 00:00:10.400]  祢自己話語能夠去
[00:00:10.400 --> 00:00:12.200]  請我們能夠明白
[00:00:12.200 --> 00:00:14.900]  我們這樣祈禱奉祖耶穌基督的名
[00:00:14.900 --> 00:00:15.900]  對嗎?
[00:00:15.900 --> 00:00:21.100]  認識一位基督徒是初信
[00:00:21.100 --> 00:00:26.200]  這位基督徒生命都頗坎坷的
[00:00:26.200 --> 00:00:32.200]  祂小時候爸爸媽媽有虐待
[00:00:32.200 --> 00:00:34.500]  所以祂都很慘
[00:00:34.500 --> 00:00:37.300]  到祂中年的時候
[00:00:37.300 --> 00:00:40.500]  因為祂工作能力不太好
[00:00:40.500 --> 00:00:43.700]  所以找不到工作
[00:00:43.700 --> 00:00:47.000]  在一個院舍居住
[00:00:47.000 --> 00:00:51.000]  院舍裏面有很多不同的人居住
[00:00:51.000 --> 00:00:55.000]  但是院舍當中有些人哭哭啼啼
[00:00:55.000 --> 00:00:59.700]  祂自小都是膽怯的
[00:00:59.700 --> 00:01:01.300]  所以又不說話
[00:01:01.300 --> 00:01:03.900]  最令祂很生氣的就是
[00:01:03.900 --> 00:01:05.700]  告訴院舍的負責人
[00:01:05.700 --> 00:01:08.500]  負責人又不做什麼
[00:01:08.500 --> 00:01:14.600]  祂覺得小時候又在家裏被虐待
[00:01:14.600 --> 00:01:16.100]  來到這個地方
[00:01:16.100 --> 00:01:18.300]  又不知何時離開這個地方
[00:01:18.300 --> 00:01:21.300]  經常被人欺負
[00:01:21.300 --> 00:01:25.300]  我信耶穌是想著會有些好日子過
[00:01:25.300 --> 00:01:28.500]  但是似乎這些事一點都沒有改變
[00:01:28.500 --> 00:01:30.200]  為什麼呢?
[00:01:30.200 --> 00:01:33.200]  祂問了我這個問題
[00:01:33.200 --> 00:01:37.700]  或許這些問題都沒有一個真正的答案
[00:01:37.700 --> 00:01:41.400]  我們未必能夠完全知道很多事情的發生
[00:01:41.400 --> 00:01:43.800]  但是我們知道有一樣事情要告訴祂
[00:01:43.800 --> 00:01:45.800]  無論在什麼光景當中
[00:01:45.800 --> 00:01:48.500]  神的工作都在我們身上
[00:01:48.500 --> 00:01:51.700]  以致我們繼續走人生的路
[00:01:51.700 --> 00:01:53.600]  有祂的同在
[00:01:53.600 --> 00:01:56.200]  不是代表外面的事情改變
