
[00:00:00.000 --> 00:00:04.000]  親愛的弟兄姊妹 親愛的朋友 平安
[00:00:04.000 --> 00:00:08.000]  今天問候大家平安
[00:00:08.000 --> 00:00:12.000]  百般滋味在心頭
[00:00:12.000 --> 00:00:19.000]  不知道你有沒有參與那些全城搶東西的大行動呢
[00:00:19.000 --> 00:00:25.000]  搶米 搶酒精 搶廁紙
[00:00:25.000 --> 00:00:27.000]  有一個我挺關心的就是搶可樂
[00:00:27.000 --> 00:00:29.000]  因為我也喜歡喝
[00:00:29.000 --> 00:00:31.000]  不過前陣子咳嗽 現在不敢喝
[00:00:31.000 --> 00:00:33.000]  可樂被搶光了怎麼辦呢
[00:00:33.000 --> 00:00:39.000]  我想祖堂有一首詩歌我也很喜歡
[00:00:39.000 --> 00:00:47.000]  來高聲唱
[00:00:47.000 --> 00:00:52.000]  我們要思想今天我們的平安從何而來呢
[00:00:52.000 --> 00:00:55.000]  那首詩歌提到
[00:00:55.000 --> 00:00:59.000]  昔在 今在 再來的君王
[00:00:59.000 --> 00:01:05.000]  每一次我唱這首詩歌
[00:01:05.000 --> 00:01:10.000]  自然的心就飄到拔摩海島
[00:01:10.000 --> 00:01:15.000]  和司禎約翰 和使徒約翰一起
[00:01:15.000 --> 00:01:19.000]  大家不知道有沒有讀過聖經最後這本書的啟示錄
[00:01:19.000 --> 00:01:25.000]  你知道使徒約翰說自己
[00:01:25.000 --> 00:01:27.000]  他不敢說自己很愛主
[00:01:27.000 --> 00:01:30.000]  他說自己是主所愛的門徒
[00:01:30.000 --> 00:01:33.000]  被流放到拔摩海島
[00:01:33.000 --> 00:01:35.000]  在那裏老死
[00:01:35.000 --> 00:01:38.000]  成為最後一個殉道的門徒
[00:01:38.000 --> 00:01:40.000]  你想想如果今天你和我被流放
[00:01:40.000 --> 00:01:42.000]  他也估計不到
[00:01:42.000 --> 00:01:45.000]  你有什麼心情呢
[00:01:45.000 --> 00:01:49.000]  你還很開心拿著電話WhatsApp
[00:01:49.000 --> 00:01:52.000]  可能甚至刺青
[00:01:52.000 --> 00:01:54.000]  以前流放的都是這樣
[00:01:54.000 --> 00:01:55.000]  他不是
[00:01:55.000 --> 00:01:57.000]  你看看啟示錄
[00:01:57.000 --> 00:02:01.000]  他完全沒有那種像桑加犬的心情
[00:02:01.000 --> 00:02:03.000]  他反而在那裏看到天開了
[00:02:03.000 --> 00:02:06.000]  上帝的寶座高高在上
[00:02:06.000 --> 00:02:11.000]  他說他是昔在 今在 以後永在的神
[00:02:11.000 --> 00:02:13.000]  再來的君王
[00:02:13.000 --> 00:02:18.000]  各位弟兄姊妹今天你和我的平安不是因為我囤積了很多口罩
[00:02:18.000 --> 00:02:23.000]  今天你和我的平安不是囤積了很多絲苗米或者香米
[00:02:23.000 --> 00:02:26.000]  今天你和我的平安不是囤積了很多廁紙
[00:02:26.000 --> 00:02:30.000]  今天你和我的平安不是囤積了很多可樂
[00:02:30.000 --> 00:02:35.000]  起碼我希望我們漸漸的人不要參與這些
[00:02:35.000 --> 00:02:37.000]  這麼瘋狂的行動
[00:02:37.000 --> 00:02:40.000]  不過當然因為我們都是羊
[00:02:40.000 --> 00:02:42.000]  這叫什麼心理
[00:02:42.000 --> 00:02:44.000]  羊群心理
[00:02:44.000 --> 00:02:46.000]  你搶我不搶
[00:02:46.000 --> 00:02:47.000]  你搶我沒有
[00:02:47.000 --> 00:02:50.000]  你先看看家裏夠不夠
[00:02:50.000 --> 00:02:53.000]  我時時懷疑那些搶兩車這麼多的廁紙
[00:02:53.000 --> 00:02:56.000]  是用來轉售圖利還是自己用
[00:02:56.000 --> 00:02:58.000]  怎麼用得這麼多
[00:02:58.000 --> 00:03:00.000]  有個醫生說
[00:03:00.000 --> 00:03:01.000]  我看電視新聞
[00:03:01.000 --> 00:03:08.000]  他說肚瀉一定要一百五十倍才能用完
[00:03:08.000 --> 00:03:12.000]  我希望我們在這種惶恐不安裏
[00:03:12.000 --> 00:03:15.000]  我承認我們也惶恐不安
[00:03:15.000 --> 00:03:17.000]  不過靜下來
[00:03:17.000 --> 00:03:21.000]  試一下和使徒約翰一起
[00:03:21.000 --> 00:03:23.000]  在拔摩海島那裏
[00:03:23.000 --> 00:03:26.000]  和他一起坐在那裏
[00:03:26.000 --> 00:03:30.000]  你看看他在看什麼
[00:03:30.000 --> 00:03:31.000]  色在
[00:03:31.000 --> 00:03:34.000]  請問羅馬帝國現在在哪裏
[00:03:34.000 --> 00:03:35.000]  在哪裏
[00:03:35.000 --> 00:03:36.000]  沒有了
[00:03:36.000 --> 00:03:37.000]  在意大利
[00:03:37.000 --> 00:03:38.000]  就是梵蒂岡
[00:03:38.000 --> 00:03:40.000]  巴比倫在哪裏
[00:03:40.000 --> 00:03:41.000]  沒有了
[00:03:41.000 --> 00:03:43.000]  那些盛極一時
[00:03:43.000 --> 00:03:44.000]  叱吒一時
[00:03:44.000 --> 00:03:46.000]  羅馬帝國多麼厲害
[00:03:46.000 --> 00:03:48.000]  沒有了
[00:03:48.000 --> 00:03:50.000]  色在
[00:03:50.000 --> 00:03:52.000]  現在已經不在了
[00:03:52.000 --> 00:03:54.000]  但是我們的主耶穌
[00:03:54.000 --> 00:03:55.000]  色在
[00:03:55.000 --> 00:03:56.000]  金在
[00:03:56.000 --> 00:03:58.000]  還有什麼
[00:03:58.000 --> 00:04:00.000]  以後永在
[00:04:00.000 --> 00:04:01.000]  還要再來
[00:04:01.000 --> 00:04:04.000]  這才是我們平安的來源
[00:04:04.000 --> 00:04:06.000]  弟兄姊妹
[00:04:06.000 --> 00:04:08.000]  求主幫助我們
[00:04:08.000 --> 00:04:11.000]  很希望我們現在先在我們的座位
[00:04:11.000 --> 00:04:14.000]  先為這個疫情來祈禱
[00:04:14.000 --> 00:04:16.000]  特別我們為前線的醫護人員
[00:04:16.000 --> 00:04:19.000]  我知道我們中間也是醫護人員
[00:04:19.000 --> 00:04:21.000]  還有真的為我們每一位市民
[00:04:21.000 --> 00:04:25.000]  真的不要落在那種惶恐不安裏
[00:04:25.000 --> 00:04:29.000]  請你在座位先默默來祈禱
[00:04:34.000 --> 00:04:36.000]  慈悲人愛的上主
[00:04:36.000 --> 00:04:39.000]  你是深愛世人的天父
