
[00:00:00.000 --> 00:00:04.640]  主持人:各位政協節目的早上,我們先祈禱,然後才去領受神的說話。
[00:00:04.640 --> 00:00:07.540]  天父願意祢的能力在孩子的願望上顯得完全,
[00:00:07.540 --> 00:00:10.440]  求主祢自己來使用孩子今天所說的信息,
[00:00:10.440 --> 00:00:14.440]  有一樣我們所聽的,不只是一篇道,是見道的一篇道,
[00:00:14.440 --> 00:00:18.000]  有一樣我們不只是去聽一篇道,是讓我們去行道,
[00:00:18.000 --> 00:00:21.320]  求神祢來幫助我們懂得如何去檢視我們自己的生命,
[00:00:21.320 --> 00:00:23.520]  為何我們今天會有這樣的田地,
[00:00:23.520 --> 00:00:27.020]  讓我們能夠去反思,聽孩子在你面前的禱告交托,
[00:00:27.020 --> 00:00:29.320]  拉動主德性的命,Amen。
[00:00:30.520 --> 00:00:36.540]  今天很多時候,人會憑自己的直覺或者感覺來判斷一些事情,
[00:00:36.540 --> 00:00:39.740]  但可能這些判斷可能是錯的,
[00:00:39.740 --> 00:00:46.980]  我很強調就是需要有數據去證明自己這件事是對還是錯,
[00:00:46.980 --> 00:00:51.260]  可能很多人都會覺得牧師經常都會講關於奉獻的道理,
[00:00:51.260 --> 00:00:54.260]  但是我自己看回我的記錄的時候,
[00:00:54.260 --> 00:00:59.740]  原來我全個崇拜裡面的信息集中在奉獻的,
[00:00:59.740 --> 00:01:03.460]  是在2009年的5月17日,
[00:01:03.460 --> 00:01:05.460]  我講的題目叫第九福,
[00:01:05.460 --> 00:01:07.320]  不知道大家知不知道第九福是什麼呢?
[00:01:07.320 --> 00:01:09.540]  我們知道登山補訓有八福,
[00:01:09.540 --> 00:01:11.880]  但在《司徒行傳》裡面耶穌說道,
[00:01:11.880 --> 00:01:15.020]  施比受更為有福,是第九福。
[00:01:15.020 --> 00:01:18.780]  當然我不會完全沒有提關於奉獻,
[00:01:18.780 --> 00:01:21.020]  在大衛系列裡面的時候,
[00:01:21.020 --> 00:01:25.140]  我很記得我講大衛他自己擇善固執,
[00:01:25.140 --> 00:01:28.820]  他會去為神的殿擺上,
[00:01:28.820 --> 00:01:31.440]  那時候我也有提到關於奉獻,
[00:01:31.440 --> 00:01:32.980]  但是我很想說,
[00:01:32.980 --> 00:01:36.060]  去講奉獻未必有些人那麼喜歡聽的,
[00:01:36.060 --> 00:01:38.540]  甚至上一次我講完這篇奉獻的道的時候,
[00:01:38.540 --> 00:01:41.560]  有人離開了美恩堂,說牧師經常講這些事情,
[00:01:41.560 --> 00:01:43.900]  就去了另一間教會,
[00:01:43.900 --> 00:01:45.780]  但是我也會去檢視,
[00:01:45.780 --> 00:01:49.840]  究竟所講的是為自己還是為了神的家,
[00:01:49.840 --> 00:01:52.600]  而我也很想提的就是,
[00:01:52.600 --> 00:01:56.280]  鼓勵弟兄姊妹奉獻不只是梁永善牧師的事,
[00:01:56.280 --> 00:01:59.860]  所以我會叫同工要小心自己的言辭,
[00:01:59.860 --> 00:02:03.020]  不要跟團友說牧師叫你奉獻,
[00:02:03.020 --> 00:02:05.260]  我是絕對覺得錯誤的,
[00:02:05.260 --> 00:02:07.100]  難道你不用去叫嗎?
