
[00:00:00.000 --> 00:00:02.480]  今天是一個特別的崇拜
[00:00:02.480 --> 00:00:08.000]  我們歡迎第一次來參加崇拜的新的朋友
[00:00:08.000 --> 00:00:10.160]  無論你在哪個地方
[00:00:10.160 --> 00:00:11.960]  都歡迎你一齊
[00:00:11.960 --> 00:00:19.640]  和我們一齊思想耶穌的福音
[00:00:19.640 --> 00:00:23.160]  叫我們能夠在福音裡面
[00:00:23.160 --> 00:00:24.920]  能夠得著平安
[00:00:24.920 --> 00:00:29.000]  並且得著新的改變
[00:00:29.280 --> 00:00:31.480]  在我們開始的時候
[00:00:31.480 --> 00:00:34.280]  讓我們一起低頭我們同心的祈禱
[00:00:34.280 --> 00:00:38.880]  親愛的天父我們多謝祢
[00:00:38.880 --> 00:00:41.840]  讓我們在祢的面前
[00:00:41.840 --> 00:00:43.720]  我們可以敬拜祢
[00:00:43.720 --> 00:00:45.600]  我們可以認識祢
[00:00:45.600 --> 00:00:50.120]  祢就是那位在曠野來開道路
[00:00:50.120 --> 00:00:54.240]  並且在沙漠來開江河的上帝
[00:00:54.240 --> 00:00:56.840]  神啊當我們來到祢的面前
[00:00:56.840 --> 00:00:59.080]  我們要屈膝敬拜
[00:00:59.280 --> 00:01:03.120]  求祢給我們一個打開的心靈
[00:01:03.120 --> 00:01:05.320]  一個開放的心靈
[00:01:05.320 --> 00:01:09.480]  一個願意接受耶穌基督進入我們生命
[00:01:09.480 --> 00:01:11.480]  成為我們的主宰
[00:01:11.480 --> 00:01:13.640]  成為我們救主的心
[00:01:13.640 --> 00:01:15.200]  幫助我們
[00:01:15.200 --> 00:01:16.720]  印著祢的福音
[00:01:16.720 --> 00:01:20.400]  我們能夠有一個全新的改變
[00:01:20.400 --> 00:01:23.040]  求祢在以下這段時間
[00:01:23.040 --> 00:01:25.520]  向我們每一個心靈的說話
[00:01:25.520 --> 00:01:27.320]  求祢與我們同在
[00:01:27.320 --> 00:01:30.800]  我們這樣禱告奉耶穌聖名祈禱
[00:01:30.800 --> 00:01:31.600]  阿門
[00:01:31.600 --> 00:01:36.920]  今天想跟大家思想一段聖經
[00:01:36.920 --> 00:01:40.200]  以賽亞書第四十三章
[00:01:40.200 --> 00:01:44.760]  第十四到第二十一節
[00:01:44.760 --> 00:01:47.080]  我們可以翻開聖經
[00:01:47.080 --> 00:01:51.320]  或者你可以看PowerPoint
[00:01:51.320 --> 00:01:56.920]  我們一起可以來中讀
[00:01:56.920 --> 00:01:59.080]  這一段的聖經
[00:01:59.080 --> 00:02:01.760]  以賽亞書第四十三章
[00:02:01.760 --> 00:02:04.600]  第十四到二十一節
[00:02:04.600 --> 00:02:07.000]  我們一起中讀
[00:02:07.000 --> 00:02:09.800]  「耶穌說:你們的救贖主
[00:02:09.800 --> 00:02:12.520]  以色列的聖者如此說:
[00:02:12.520 --> 00:02:14.720]  因你們的緣故
[00:02:14.720 --> 00:02:18.120]  我已經打發人到巴比倫去
[00:02:18.120 --> 00:02:22.960]  並且我要使迦勒底人如逃民
[00:02:22.960 --> 00:02:26.240]  到助自己喜樂的船下來
[00:02:26.240 --> 00:02:29.320]  我是耶和華你們的聖者
[00:02:29.320 --> 00:02:31.680]  是創造以色列的
[00:02:31.680 --> 00:02:33.520]  是你們的君王
[00:02:33.520 --> 00:02:36.520]  耶和華在滄海中開渡
[00:02:36.520 --> 00:02:39.000]  在大水中開路
[00:02:39.000 --> 00:02:44.280]  使車輛、馬匹、軍兵、勇士都出來
[00:02:44.280 --> 00:02:45.960]  一同躺下
[00:02:45.960 --> 00:02:47.360]  不再起來
[00:02:47.360 --> 00:02:51.240]  他們滅沒好像熄滅的燈火
