
[00:00:00.000 --> 00:00:02.340]  各位帝王姐妹 平安
[00:00:02.340 --> 00:00:04.100]  也再次歡迎網路上的帝王姐妹
[00:00:04.100 --> 00:00:06.140]  跟我們一起來敬拜上面我們的主
[00:00:06.140 --> 00:00:07.900]  很高興能夠進到你的家中
[00:00:07.900 --> 00:00:11.580]  一同和你分享神的話語
[00:00:11.580 --> 00:00:13.340]  中國俗語有一句話說
[00:00:13.340 --> 00:00:16.200]  人心不足 蛇吞相
[00:00:16.200 --> 00:00:19.340]  這是許多人不能夠快樂的一個
[00:00:19.340 --> 00:00:21.240]  很重要的原因
[00:00:21.240 --> 00:00:22.940]  因爲一個不懂得知足的人
[00:00:22.940 --> 00:00:25.240]  往往會看他們所沒有的
[00:00:25.240 --> 00:00:29.340]  卻沒有把注意力放在他們已經有的
[00:00:29.340 --> 00:00:30.900]  所以一個懂得知足的人
[00:00:30.900 --> 00:00:33.000]  就是一個很快樂的人
[00:00:33.000 --> 00:00:35.800]  保羅在《提摩太秦書》第六章第八節
[00:00:35.800 --> 00:00:37.040]  也鼓勵我們說
[00:00:37.040 --> 00:00:44.240]  只要有衣有食就應當知足
[00:00:44.240 --> 00:00:47.400]  聽說在紐約有一間店叫老公店
[00:00:47.400 --> 00:00:51.440]  這個幫助人去選購他們要的老公
[00:00:51.440 --> 00:00:54.160]  這間店一共有六層樓
[00:00:54.160 --> 00:00:56.600]  每層樓只能夠參觀一次
[00:00:56.600 --> 00:01:01.200]  你可以在每一層樓裏面能夠選購你所要的物品
[00:01:01.200 --> 00:01:04.960]  但是每一層樓上去以後價格就會增加
[00:01:04.960 --> 00:01:07.960]  你上了一層樓以後就不能夠往下退了
[00:01:07.960 --> 00:01:12.800]  所以有一天小美就想到老公店去找她的老公
[00:01:12.800 --> 00:01:14.240]  上了第一層
[00:01:14.240 --> 00:01:15.840]  門口上寫着說
[00:01:15.840 --> 00:01:18.260]  這些男人有好工作
[00:01:18.260 --> 00:01:20.600]  她說不錯 看看第二樓
[00:01:20.600 --> 00:01:22.900]  左上的第二樓 門上寫着說
[00:01:22.900 --> 00:01:27.560]  這些男人有好工作 喜歡小孩
[00:01:27.560 --> 00:01:28.960]  哇 真的不錯
[00:01:28.960 --> 00:01:30.400]  再往上看
[00:01:30.400 --> 00:01:32.160]  到了第三樓
[00:01:32.160 --> 00:01:33.340]  門上寫着說
[00:01:33.340 --> 00:01:36.240]  這些男人有好工作 喜歡小孩
[00:01:36.240 --> 00:01:39.240]  還會幫助做家事
[00:01:39.240 --> 00:01:42.600]  哇 她說這真的太好了
[00:01:42.600 --> 00:01:45.160]  她還不甘心 想要看看第四層
[00:01:45.160 --> 00:01:47.000]  左上的第四層樓
[00:01:47.000 --> 00:01:48.300]  門上寫着說
[00:01:48.300 --> 00:01:52.960]  這些男人有好工作 喜歡小孩
[00:01:52.960 --> 00:01:54.600]  還會幫忙做家事
[00:01:54.600 --> 00:01:59.040]  而且非常帥氣
[00:01:59.040 --> 00:02:01.200]  小美看了以後說
[00:02:01.200 --> 00:02:04.100]  我的天啊 我受不了了
[00:02:04.100 --> 00:02:07.960]  但是她還是想看第五樓寫什麼
[00:02:07.960 --> 00:02:09.460]  左上的第五樓
[00:02:09.460 --> 00:02:11.040]  門口上寫着說
[00:02:11.040 --> 00:02:13.840]  這些男人有好工作 喜歡小孩
[00:02:13.840 --> 00:02:15.500]  還會幫忙做家事
[00:02:15.500 --> 00:02:17.600]  而且非常帥氣
[00:02:17.600 --> 00:02:22.800]  並且有非常強烈的羅曼氣息
[00:02:22.800 --> 00:02:24.300]  小美看了以後
[00:02:24.300 --> 00:02:26.300]  心裏還是不滿足
[00:02:26.300 --> 00:02:28.500]  結果爬到了第六樓
[00:02:28.500 --> 00:02:30.760]  第六樓的門口上寫着
[00:02:30.760 --> 00:02:36.060]  你是第312萬456位客人
