
[00:00:00.000 --> 00:00:02.700]  各位朋友、各位弟兄姊妹平安
[00:00:02.700 --> 00:00:04.700]  我是劉少康牧師
[00:00:04.700 --> 00:00:09.240]  這一個節目叫做「聖言細詳」
[00:00:09.240 --> 00:00:15.260]  在國語裏面「聖言細長」
[00:00:15.260 --> 00:00:21.760]  也可以變成廣東話的「聖言細細」去思想
[00:00:21.760 --> 00:00:26.080]  「神的話」就是一個很豐盛的言籍
[00:00:26.080 --> 00:00:31.940]  也是神聖的話,是神在天上賜給我們的
[00:00:31.940 --> 00:00:33.940]  我很喜愛詩篇
[00:00:33.940 --> 00:00:37.840]  所以在這個「聖言細詳」裏面
[00:00:37.840 --> 00:00:40.540]  我也講了很多篇的詩篇
[00:00:40.540 --> 00:00:45.180]  今天想和大家思想的是詩篇的二十篇
[00:00:45.180 --> 00:00:48.680]  詩篇的卷一就是由詩篇第一篇
[00:00:48.680 --> 00:00:52.720]  一直到四十一篇叫做「卷一」Vol.1
[00:00:52.720 --> 00:00:55.920]  大部份的作者都是大衛的
[00:00:55.920 --> 00:00:58.480]  這篇詩有一個標題
[00:00:58.480 --> 00:01:00.480]  就是大衛所作的詩
[00:01:00.480 --> 00:01:02.920]  「教與靈長」
[00:01:02.920 --> 00:01:05.720]  很多時候我們不知道什麼叫做「靈長」
[00:01:05.720 --> 00:01:07.960]  就是Quiet Director
[00:01:07.960 --> 00:01:10.200]  或者說Music Director
[00:01:10.200 --> 00:01:12.600]  就是管理音樂的人
[00:01:12.600 --> 00:01:14.040]  就叫做「靈長」
[00:01:14.040 --> 00:01:18.040]  原來詩篇每一首都可以唱出來的
[00:01:18.040 --> 00:01:21.920]  所以當時是配上一個曲調
[00:01:21.920 --> 00:01:24.920]  你就由第一節一直唱下去
[00:01:24.920 --> 00:01:28.760]  我記得有一次我去過一個以色列人的家
[00:01:28.760 --> 00:01:33.880]  他們剛剛星期五是守安息日
[00:01:33.880 --> 00:01:37.080]  一家人一定要回到家裏
[00:01:37.080 --> 00:01:40.080]  一起守安息日的晚餐
[00:01:40.080 --> 00:01:42.080]  晚餐開始之前
[00:01:42.080 --> 00:01:46.400]  那個爸爸就會主持一個很簡短的
[00:01:46.400 --> 00:01:50.360]  安息日晚餐的一個禮節
[00:01:50.360 --> 00:01:57.880]  其中第一段就是他將《針研》三十一章唱出來
[00:01:57.880 --> 00:02:01.800]  背了整章一直唱出來
[00:02:01.800 --> 00:02:06.400]  其實《針研》的三十一章是很長的
[00:02:06.400 --> 00:02:10.080]  那一章聖經大家如果熟悉聖經的話都知道
[00:02:10.080 --> 00:02:12.960]  就叫做《賢德的婦人篇》
[00:02:12.960 --> 00:02:15.360]  就整章聖經介紹
[00:02:15.360 --> 00:02:18.480]  一個賢德的婦人應該怎樣
[00:02:18.480 --> 00:02:22.880]  很早起床,為她家人預備各樣的東西
[00:02:22.880 --> 00:02:26.400]  如果衣服有不對的,她會縫補
[00:02:26.400 --> 00:02:30.800]  她會去儲備糧食
[00:02:30.800 --> 00:02:34.320]  是一個家庭主婦
[00:02:34.320 --> 00:02:38.200]  而且那裏形容婚姻是神所賜的
[00:02:38.200 --> 00:02:40.960]  如果你得著賢妻
[00:02:40.960 --> 00:02:43.960]  就得著耶和華的祠福
[00:02:43.960 --> 00:02:48.480]  所以在安息日裏面
[00:02:48.480 --> 00:02:55.840]  他們全家一齊先聽男主人唱《針研》三十一章
[00:02:55.840 --> 00:02:58.640]  接著他就會做禱告
[00:02:58.640 --> 00:03:01.840]  然後每一個他的子女
[00:03:01.840 --> 00:03:04.680]  他走過去抱著他們
[00:03:04.680 --> 00:03:10.760]  個別為他們不同的情況去祝福、祈禱
[00:03:10.760 --> 00:03:15.080]  那天我是和一隊去聖地參觀的團友
[00:03:15.080 --> 00:03:18.760]  一起去安息日的晚餐
[00:03:18.760 --> 00:03:20.760]  我們大家都很受感動
[00:03:20.760 --> 00:03:24.760]  為何以色列人的家庭教育那麼成功呢?
[00:03:24.760 --> 00:03:29.520]  因為每個禮拜他們有家庭崇拜
[00:03:29.520 --> 00:03:33.760]  在我們華人教會、華人的信徒當中
[00:03:33.760 --> 00:03:38.480]  有家庭禮拜的家庭其實不是那麼多
[00:03:38.480 --> 00:03:40.960]  所以我在這裏都很鼓勵各位
[00:03:40.960 --> 00:03:43.480]  如果你想你的家無福
[00:03:43.480 --> 00:03:45.080]  你是做父母的
[00:03:45.080 --> 00:03:49.560]  如果你想你的子女自小都明白神的話
[00:03:49.560 --> 00:03:50.760]  跟從神
[00:03:50.760 --> 00:03:53.360]  行在一條正路當中
[00:03:53.360 --> 00:03:57.560]  你必須要舉行家庭禮拜
[00:03:57.560 --> 00:03:59.560]  讓一家人一起聚集
[00:03:59.560 --> 00:04:01.160]  我們讀一下聖經
[00:04:01.160 --> 00:04:02.760]  我們唱一下聖詩
[00:04:02.760 --> 00:04:05.760]  你為你每一個子女祈禱
[00:04:05.760 --> 00:04:07.760]  關心他們的學業
