
[00:00:00.000 --> 00:00:05.260]  這星期我們講馬福音來到第九章
[00:00:05.260 --> 00:00:11.580]  一群門徒同樣和耶穌一起走了一段路
[00:00:11.580 --> 00:00:15.460]  兩年多的時間一起走了一段路
[00:00:15.460 --> 00:00:17.560]  來到耶穌揭示了
[00:00:17.560 --> 00:00:20.360]  說他即將要受苦
[00:00:20.360 --> 00:00:24.760]  即將要被釘、受死並且復活
[00:00:24.760 --> 00:00:25.820]  一群門徒
[00:00:25.820 --> 00:00:30.760]  我不知道他們會否像我一樣很感恩很寶貴
[00:00:30.760 --> 00:00:35.460]  可以有一段路可以彼此來同行
[00:00:35.460 --> 00:00:36.720]  耶穌來到這個位置
[00:00:36.720 --> 00:00:41.200]  他除了要繼續專注在他走這條苦路
[00:00:41.200 --> 00:00:42.440]  去上十課
[00:00:42.440 --> 00:00:46.180]  他另一件事他很掛心的就是這群門徒
[00:00:46.180 --> 00:00:49.560]  他很期盼他們得著訓練
[00:00:49.560 --> 00:00:52.800]  他們有能力去面對不同的衝擊
[00:00:52.800 --> 00:00:55.140]  以致他們可以接到福音的棒
[00:00:55.140 --> 00:00:59.160]  可以繼續拓展神的光
[00:00:59.160 --> 00:01:01.140]  上星期
[00:01:01.140 --> 00:01:03.000]  帕薩安德斯和帕薩艾芬
[00:01:03.000 --> 00:01:06.820]  和我們分享了九章的前半部分
[00:01:06.820 --> 00:01:10.780]  耶穌登山變相
[00:01:10.780 --> 00:01:11.880]  艾芬說
[00:01:11.880 --> 00:01:15.620]  上山是為了什麼?
[00:01:15.620 --> 00:01:17.240]  上山是為了什麼?
[00:01:17.240 --> 00:01:18.560]  下山
[00:01:18.560 --> 00:01:19.980]  上山是為了下山
[00:01:19.980 --> 00:01:21.600]  我們去了很多特會
[00:01:21.600 --> 00:01:24.660]  去完訪行回來
[00:01:24.660 --> 00:01:27.580]  去完 上完山
[00:01:27.580 --> 00:01:29.660]  我們需要回到我們的生活裡面
[00:01:29.660 --> 00:01:31.800]  將我們的信仰融入我們的生活裡面
[00:01:31.800 --> 00:01:34.360]  主耶穌就帶著這三個門徒
[00:01:34.360 --> 00:01:38.700]  再一次回到山上
[00:01:38.700 --> 00:01:42.560]  去接觸這群沒有上山的門徒
[00:01:42.560 --> 00:01:45.420]  和他們回到人群的中間
[00:01:45.420 --> 00:01:48.920]  今天我們就看看耶穌給予什麼教導
[00:01:48.920 --> 00:01:51.000]  給予這群門徒和給予我們
[00:01:51.000 --> 00:01:52.400]  在我們一起入信息之前
[00:01:52.400 --> 00:01:53.820]  我們一起做一次祈禱
[00:01:53.820 --> 00:01:55.560]  我們用另一首詩歌
[00:01:55.560 --> 00:01:57.000]  去敬拜我們的主
[00:01:57.000 --> 00:01:57.800]  奇妙神蹟
[00:01:57.800 --> 00:01:59.560]  我今天和大家分享一個題目
[00:01:59.560 --> 00:02:03.500]  《瑪福音》是九章十四至二十九節
[00:02:03.500 --> 00:02:05.520]  想到一個題目
[00:02:05.520 --> 00:02:09.440]  題目叫做「看穿困難見上帝」
[00:02:09.440 --> 00:02:10.540]  我們人生裡面
[00:02:10.540 --> 00:02:13.040]  或多或少都會遇到不同的困難
[00:02:13.040 --> 00:02:14.300]  今天的經文裡面
[00:02:14.300 --> 00:02:16.320]  其中一個遇到困難的
[00:02:16.320 --> 00:02:18.900]  是一個父親和他的兒子
[00:02:18.900 --> 00:02:21.900]  兒子被鬼附
[00:02:21.900 --> 00:02:24.340]  父親很無助
