
[00:00:00.000 --> 00:00:03.000]  我們先一齊同心祈禱
[00:00:03.000 --> 00:00:06.000]  親愛的天父,我們感謝祢自己的恩典
[00:00:06.000 --> 00:00:09.000]  讓我們有生命氣息,可以來到這裡敬拜祢
[00:00:09.000 --> 00:00:13.000]  我求祢幫助我們,求聖靈賜下智慧
[00:00:13.000 --> 00:00:15.000]  幫助我們在每日的生活中
[00:00:15.000 --> 00:00:18.000]  能夠有智慧地面對各項的事情
[00:00:18.000 --> 00:00:23.000]  以及與我們的親朋戚友來到往來
[00:00:23.000 --> 00:00:26.000]  奉耶穌基督的名祈禱,阿們
[00:00:28.000 --> 00:00:31.000]  今天是真言的第五講
[00:00:31.000 --> 00:00:36.000]  今次的真言系列只會講六堂
[00:00:36.000 --> 00:00:39.000]  所以我們今天要來到第三十章
[00:00:39.000 --> 00:00:44.000]  下星期我們就會思想第三十一章
[00:00:44.000 --> 00:00:50.000]  真言第三十章是不容易明白的
[00:00:50.000 --> 00:00:57.000]  不知道大家還記不記得真言第一章的引言
[00:00:57.000 --> 00:00:59.000]  第一章的引言第三節說
[00:00:59.000 --> 00:01:06.000]  真言的目的是教導你怎樣過明智的生活
[00:01:06.000 --> 00:01:09.000]  到了第六節就說
[00:01:09.000 --> 00:01:12.000]  明白真言中的隱喻
[00:01:12.000 --> 00:01:19.000]  以及明智的人所提出的問題
[00:01:19.000 --> 00:01:24.000]  這句話是和合本翻譯就這樣說
[00:01:24.000 --> 00:01:30.000]  懂得智慧人的言辭和謎語
[00:01:30.000 --> 00:01:35.000]  真言第三十章真的有很多的隱喻
[00:01:35.000 --> 00:01:40.000]  也可以說是智慧人的言辭
[00:01:40.000 --> 00:01:44.000]  很多神學家和解經書對這章經文
[00:01:44.000 --> 00:01:47.000]  其實都沒有一致的意見
[00:01:47.000 --> 00:01:51.000]  不止不一致,其實還有很多差異
[00:01:51.000 --> 00:01:54.000]  所以我只能藉著聖靈所致的智慧
[00:01:54.000 --> 00:02:00.000]  來和大家分享這章經文的教訓
[00:02:00.000 --> 00:02:06.000]  既然真言的目的是教導人怎樣過明智的生活
[00:02:06.000 --> 00:02:10.000]  來到快要結束這本書的時候
[00:02:10.000 --> 00:02:18.000]  我相信這章經文都是教導我們和生活有關的智慧
[00:02:18.000 --> 00:02:22.000]  我將這章經文分作十個小段落
[00:02:22.000 --> 00:02:26.000]  如果你怕有人抄筆記
[00:02:26.000 --> 00:02:32.000]  我鼓勵你打開手機相機預備拍照
[00:02:32.000 --> 00:02:36.000]  第一段是一至四節
[00:02:36.000 --> 00:02:41.000]  其實內容簡單說就是在上帝面前要虛己
[00:02:41.000 --> 00:02:45.000]  第二段是五至六節,我們要敬畏上主
[00:02:45.000 --> 00:02:50.000]  第三段是七至九節,要倚靠上主而活
[00:02:50.000 --> 00:02:57.000]  第四段是十至十三節,要避免批評別人
[00:02:57.000 --> 00:03:05.000]  第五段是十四至十六節,教導我們不要貪婪
[00:03:05.000 --> 00:03:10.000]  拍了照嗎?換片了
[00:03:10.000 --> 00:03:14.000]  第六段是十七至十九節
[00:03:14.000 --> 00:03:20.000]  嘲笑年老的父母是會有報應的
[00:03:20.000 --> 00:03:23.000]  第七段是二十至二十三節
[00:03:23.000 --> 00:03:27.000]  犯奸淫是破壞社會秩序的
[00:03:27.000 --> 00:03:31.000]  第八段是二十四節至三十一節
[00:03:31.000 --> 00:03:38.000]  從自然界學習怎樣接納自己
[00:03:38.000 --> 00:03:40.000]  第九段是三十二節
[00:03:40.000 --> 00:03:44.000]  要從自省裏面覺悟
[00:03:44.000 --> 00:03:46.000]  最後一段是三十三節
[00:03:46.000 --> 00:03:49.000]  要和別人和睦相處
[00:03:49.000 --> 00:03:52.000]  我們先看第一段
[00:03:52.000 --> 00:03:56.000]  第一節已經是很特別的一節經文
[00:03:56.000 --> 00:03:59.000]  第一句說話問題不大
[00:03:59.000 --> 00:04:01.000]  阿古爾的真言
[00:04:01.000 --> 00:04:07.000]  第二句是上帝不與我同在,我得不著幫助
[00:04:07.000 --> 00:04:10.000]  但和合本的翻譯是
[00:04:10.000 --> 00:04:14.000]  這人對以鐵和烏夾說
[00:04:14.000 --> 00:04:18.000]  意義是完全不同的
[00:04:18.000 --> 00:04:25.000]  我參考了希伯來文和其他的英文聖經
[00:04:25.000 --> 00:04:27.000]  這麼大差異的原因
[00:04:27.000 --> 00:04:31.000]  其實是因為在原文
[00:04:31.000 --> 00:04:35.000]  希伯來文裏面的字都不清楚
[00:04:35.000 --> 00:04:40.000]  翻譯聖經的專家有兩個不同的取向
[00:04:40.000 --> 00:04:46.000]  出現在現宗版和和合本兩種不同的翻譯
[00:04:46.000 --> 00:04:48.000]  在英文聖經都是一樣
[00:04:48.000 --> 00:04:52.000]  有不同的版本都有兩種不同的翻譯
