
[00:00:00.000 --> 00:00:02.000]  好,大英姊妹大家好
[00:00:02.000 --> 00:00:04.000]  不是每一位都認識大家
[00:00:04.000 --> 00:00:07.000]  不過希望今天我們都在神的裏面一起
[00:00:07.000 --> 00:00:08.000]  藉著祂的話語
[00:00:08.000 --> 00:00:12.000]  經歷在祂裏面的幫助
[00:00:12.000 --> 00:00:16.000]  和醫治、安慰、鼓勵
[00:00:16.000 --> 00:00:18.000]  我們私一齊低頭祈禱
[00:00:18.000 --> 00:00:20.000]  主,我奉祢的名去祝福大英姊妹
[00:00:20.000 --> 00:00:22.000]  上帝祢的話語
[00:00:22.000 --> 00:00:24.000]  就是帶著權柄、能力
[00:00:24.000 --> 00:00:26.000]  藉著祢的聖靈幫助我們
[00:00:26.000 --> 00:00:28.000]  能夠聽得進去
[00:00:28.000 --> 00:00:31.000]  所以主,你就親自的工作
[00:00:31.000 --> 00:00:32.000]  在我們的中間
[00:00:32.000 --> 00:00:34.000]  求祢與我們同在
[00:00:34.000 --> 00:00:35.000]  聽我們的祈禱
[00:00:35.000 --> 00:00:37.000]  奉耶穌基督的名
[00:00:37.000 --> 00:00:39.000]  阿們
[00:00:39.000 --> 00:00:43.000]  我有看過之前幾堂課的課程
[00:00:43.000 --> 00:00:44.000]  是很好的
[00:00:44.000 --> 00:00:47.000]  我聽到每位講員都要戴一下頭盔
[00:00:47.000 --> 00:00:49.000]  我都先戴一下頭盔
[00:00:49.000 --> 00:00:51.000]  因為這個月大家知道
[00:00:51.000 --> 00:00:55.000]  那個系列要講性格
[00:00:55.000 --> 00:00:58.000]  我對性格基本上沒有什麼研究
[00:00:58.000 --> 00:01:01.000]  坊間的分類
[00:01:01.000 --> 00:01:02.000]  主流的那些
[00:01:02.000 --> 00:01:06.000]  我真的超級粗淺
[00:01:06.000 --> 00:01:08.000]  連入門級都不到
[00:01:08.000 --> 00:01:10.000]  所以我不會講到那些
[00:01:10.000 --> 00:01:12.000]  不過我又很有興趣
[00:01:12.000 --> 00:01:14.000]  知道大家怎樣看
[00:01:14.000 --> 00:01:18.000]  所以先有個Mantimeter
[00:01:18.000 --> 00:01:19.000]  和大家玩一下
[00:01:19.000 --> 00:01:21.000]  有所謂
[00:01:21.000 --> 00:01:23.000]  物以類聚
[00:01:23.000 --> 00:01:25.000]  人以群分
[00:01:25.000 --> 00:01:27.000]  我們不講這些了
[00:01:27.000 --> 00:01:28.000]  我們講一個粗俗版
[00:01:28.000 --> 00:01:30.000]  就是痴痴呆呆
[00:01:30.000 --> 00:01:32.000]  就會坐在一起
[00:01:32.000 --> 00:01:33.000]  那類的人
[00:01:33.000 --> 00:01:35.000]  就會喜歡堆在一起
[00:01:35.000 --> 00:01:36.000]  我想大家
[00:01:36.000 --> 00:01:38.000]  現在有個KR Code給大家
[00:01:38.000 --> 00:01:41.000]  大家玩一下Mantimeter
[00:01:41.000 --> 00:01:43.000]  大家認為
[00:01:43.000 --> 00:01:46.000]  基督徒有一種什麼
[00:01:46.000 --> 00:01:48.000]  普遍的獨特
[00:01:48.000 --> 00:01:49.000]  基督徒
[00:01:49.000 --> 00:01:52.000]  屬於基督徒的性格氣質
[00:01:52.000 --> 00:01:54.000]  我特別要加個註腳
[00:01:54.000 --> 00:01:57.000]  就是那些番教會的基督徒
[00:01:57.000 --> 00:02:00.000]  大家下載之後
[00:02:00.000 --> 00:02:01.000]  大家自己隨便
[00:02:01.000 --> 00:02:02.000]  不會記名字
[00:02:02.000 --> 00:02:04.000]  不會知道你說什麼
[00:02:04.000 --> 00:02:05.000]  總之
[00:02:05.000 --> 00:02:08.000]  大家拿手機出來玩就行了
[00:02:08.000 --> 00:02:11.000]  想看看大家有什麼答案
[00:02:11.000 --> 00:02:13.000]  出來了
[00:02:13.000 --> 00:02:20.000]  究竟有什麼呢
[00:02:22.000 --> 00:02:24.000]  有
[00:02:24.000 --> 00:02:35.000]  開始有了
[00:02:35.000 --> 00:02:37.000]  大家不用只寫一個
[00:02:37.000 --> 00:02:38.000]  你想到就
[00:02:38.000 --> 00:02:40.000]  你覺得是就對了
