
[00:00:00.000 --> 00:00:02.880]  慈詩記的第八章
[00:00:02.880 --> 00:00:07.280]  今天我們會講基甸最後的一個故事
[00:00:07.280 --> 00:00:10.440]  我給她的題目是
[00:00:10.440 --> 00:00:13.080]  「晚節不保的基甸」
[00:00:13.080 --> 00:00:15.080]  雖然我說她晚節不保
[00:00:15.080 --> 00:00:16.680]  但是大家要記得
[00:00:16.680 --> 00:00:19.480]  在《處希伯來書》的第十一章
[00:00:19.480 --> 00:00:22.120]  是有信心的龍虎榜
[00:00:22.120 --> 00:00:25.120]  但是上告基甸榜上有名
[00:00:25.120 --> 00:00:27.240]  雖然我說她晚節不保
[00:00:27.240 --> 00:00:30.000]  但是我們看到她是一個
[00:00:30.000 --> 00:00:32.720]  在神的心目中是有信心的人
[00:00:32.720 --> 00:00:36.160]  蘇格蘭的長老會
[00:00:36.160 --> 00:00:39.240]  有一個牧師叫做 Andrew Bonner
[00:00:39.240 --> 00:00:41.000]  他曾經說過
[00:00:41.000 --> 00:00:43.440]  我們在勝利之後
[00:00:43.440 --> 00:00:45.560]  和我們在勝利之前
[00:00:45.560 --> 00:00:47.600]  要一樣有警惕
[00:00:47.600 --> 00:00:49.240]  一樣的警醒
[00:00:49.240 --> 00:00:52.880]  而在第二次世界大戰
[00:00:52.880 --> 00:00:56.200]  英國皇家空軍的心理學家
[00:00:56.200 --> 00:00:57.680]  一個專家
[00:00:57.680 --> 00:00:58.760]  他說
[00:00:58.760 --> 00:01:01.400]  他注意到那些飛機師
[00:01:01.400 --> 00:01:04.720]  最大出現問題的時候是甚麼時候?
[00:01:04.720 --> 00:01:06.520]  不是打仗的時候
[00:01:06.520 --> 00:01:09.000]  而是他們完成了他們的任務
[00:01:09.000 --> 00:01:11.360]  飛回基地的時候
[00:01:11.360 --> 00:01:14.320]  就是最多他們出現問題的時候
[00:01:14.320 --> 00:01:15.440]  為甚麼?
[00:01:15.440 --> 00:01:17.680]  因為放下了警覺
[00:01:17.680 --> 00:01:19.880]  放下了防範
[00:01:19.880 --> 00:01:22.400]  就是最容易出錯
[00:01:22.400 --> 00:01:24.640]  今天我們看到基甸
[00:01:24.640 --> 00:01:28.120]  她晚年的時候就做了很多的錯事
[00:01:28.120 --> 00:01:31.280]  在說基甸做錯事之前
[00:01:31.280 --> 00:01:33.120]  我們還可以學習到
[00:01:33.120 --> 00:01:34.320]  其實基甸
[00:01:34.320 --> 00:01:37.120]  還是做了很多正確的事
[00:01:37.120 --> 00:01:39.440]  然後才出錯
[00:01:39.440 --> 00:01:43.720]  例如她戰勝了十二萬的米甸大軍之後
[00:01:43.720 --> 00:01:47.080]  還有一萬五千的士兵在那裡逃亡
[00:01:47.080 --> 00:01:49.760]  她繼續去追趕
[00:01:49.760 --> 00:01:52.120]  在《史詩記》的八章四節
[00:01:52.120 --> 00:01:55.280]  說基甸和跟隨她的三百人
[00:01:55.280 --> 00:01:57.800]  到約旦河過渡
[00:01:57.800 --> 00:01:59.280]  雖然疲乏
[00:01:59.280 --> 00:02:01.480]  仍然追趕
[00:02:01.480 --> 00:02:02.840]  他們已經很累了
[00:02:02.840 --> 00:02:05.520]  但是仍然在追趕著敵人
[00:02:05.520 --> 00:02:07.840]  這個和基甸剛剛
[00:02:07.840 --> 00:02:10.040]  在《史詩記》出現的時候
[00:02:10.040 --> 00:02:12.120]  是非常不同的
[00:02:12.120 --> 00:02:14.040]  那時候她是沒有信心
[00:02:14.040 --> 00:02:15.520]  她是很害怕
[00:02:15.520 --> 00:02:16.640]  現在呢
[00:02:16.640 --> 00:02:18.120]  她是很有信心
[00:02:18.120 --> 00:02:20.920]  繼續去追趕她的敵人
[00:02:20.920 --> 00:02:23.120]  在《史詩記》的第八章
[00:02:23.120 --> 00:02:24.880]  其實是告訴我們
[00:02:24.880 --> 00:02:26.720]  基甸得到勝利之後
[00:02:26.720 --> 00:02:30.880]  她有很多事要來處理
[00:02:30.880 --> 00:02:32.960]  有什麼事要處理?
[00:02:32.960 --> 00:02:33.640]  第一
[00:02:33.640 --> 00:02:36.280]  她是被人批評
[00:02:36.280 --> 00:02:40.360]  你說誰敢批評基甸?
