
[00:00:00.000 --> 00:00:04.020]  剛才也說了在七月份有一個福音雙週
[00:00:04.020 --> 00:00:05.580]  讓我們能夠記得
[00:00:05.580 --> 00:00:09.140]  可以去全洋福音一個修葛美好的日子
[00:00:09.140 --> 00:00:10.860]  想起七月份
[00:00:10.860 --> 00:00:13.420]  大家就想起一個日子就是七月一日
[00:00:13.420 --> 00:00:15.500]  因為自從回歸之後
[00:00:15.500 --> 00:00:17.140]  我們就有一個假期
[00:00:17.140 --> 00:00:18.380]  想起七月一日
[00:00:18.380 --> 00:00:20.940]  我們想起一個事情就是七一遊行
[00:00:20.940 --> 00:00:25.300]  這個成為香港人很重要的一個活動
[00:00:25.300 --> 00:00:27.820]  每逢十幾年來
[00:00:27.820 --> 00:00:30.300]  七一都是一個遊行的時候
[00:00:30.300 --> 00:00:31.580]  很多的市民
[00:00:31.580 --> 00:00:34.300]  香港政府有訴求
[00:00:34.300 --> 00:00:36.620]  有表達自己意願的時候
[00:00:36.620 --> 00:00:39.780]  甚至是一個很政治敏感的時候
[00:00:39.780 --> 00:00:41.940]  因為很多的政黨
[00:00:41.940 --> 00:00:43.940]  都會各自表述
[00:00:43.940 --> 00:00:45.420]  爭取民意
[00:00:45.420 --> 00:00:46.340]  等等
[00:00:46.340 --> 00:00:49.420]  在百家爭鳴的日子裡面
[00:00:49.420 --> 00:00:53.660]  七一成為一個很多人去訴求
[00:00:53.660 --> 00:00:57.380]  去表述自己的一個機會
[00:00:57.380 --> 00:00:59.580]  不過今年我講就是說
[00:00:59.580 --> 00:01:01.300]  當有一個福音雙週
[00:01:01.300 --> 00:01:02.700]  能夠提醒我們
[00:01:02.700 --> 00:01:04.500]  究竟我們基督徒
[00:01:04.500 --> 00:01:06.340]  我們個人來講
[00:01:06.340 --> 00:01:07.740]  基督徒來講
[00:01:07.740 --> 00:01:10.420]  我們都是提醒我們有一個機會
[00:01:10.420 --> 00:01:11.660]  去表述
[00:01:11.660 --> 00:01:15.540]  不過是表述我們這個天國的福音
[00:01:15.540 --> 00:01:19.060]  我相信這個是我們常常都應該這樣做
[00:01:19.060 --> 00:01:20.900]  不過當我們很多時候
[00:01:20.900 --> 00:01:23.820]  我們想將自己的事情去講出來
[00:01:23.820 --> 00:01:26.460]  去訴求也好
[00:01:26.460 --> 00:01:27.740]  去發洩也好
[00:01:27.740 --> 00:01:29.340]  去分享也好
[00:01:29.340 --> 00:01:30.500]  但是很多時候
[00:01:30.500 --> 00:01:33.420]  我們都不是將到福音擺在第一位
[00:01:33.420 --> 00:01:35.660]  很多時候我們都常常忘記
[00:01:35.660 --> 00:01:38.300]  但是我很盼望我們都能夠知道
[00:01:38.300 --> 00:01:42.100]  傳福音是我們首要的工作
[00:01:42.100 --> 00:01:43.500]  是我們的要務
[00:01:43.500 --> 00:01:45.660]  所以在《四行人傳》裡面
[00:01:45.660 --> 00:01:49.220]  我們一直看早期教會的發展
[00:01:49.220 --> 00:01:51.020]  今天來到第八章
[00:01:51.020 --> 00:01:53.100]  我跳了第七章
[00:01:53.100 --> 00:01:54.780]  上次是第六章
[00:01:54.780 --> 00:01:58.620]  在教會裡面中間有一些危機
[00:01:58.620 --> 00:02:03.100]  在管理範式裡面不能夠很公平
[00:02:03.100 --> 00:02:07.980]  但是經過了有七位的執事起來
[00:02:07.980 --> 00:02:10.140]  去辦理這件事情
[00:02:10.140 --> 00:02:11.940]  這個問題就解決了
[00:02:11.940 --> 00:02:15.140]  教會繼續神的道興旺起來
[00:02:15.140 --> 00:02:16.780]  但是好景不常
[00:02:16.780 --> 00:02:20.740]  因為當人繼續知道
[00:02:20.740 --> 00:02:23.140]  福音要繼續往外傳的時候
[00:02:23.140 --> 00:02:27.940]  當時很多猶太教人士他們是不滿意
[00:02:27.940 --> 00:02:32.820]  他們竟然可以將其中一位的執事
