
[00:00:00.000 --> 00:00:08.000]  今天來到我們讓信仰生活升級的講道系列的最後一課了
[00:00:08.000 --> 00:00:11.000]  今天會講到全副音,怎樣令人信主
[00:00:11.000 --> 00:00:16.000]  如果有時我們在全副音的事上沒有參與,沒有engage
[00:00:16.000 --> 00:00:19.000]  有時我們的信仰生活到了一個level就停低了
[00:00:19.000 --> 00:00:21.000]  就很難經歷到神
[00:00:21.000 --> 00:00:24.000]  所以今天我們要講積極令人信主
[00:00:24.000 --> 00:00:27.000]  就要講到怎樣藉著參與副音工作
[00:00:27.000 --> 00:00:31.000]  讓我們自己的信仰生活都可以慢慢升一個level呢
[00:00:31.000 --> 00:00:34.000]  我想用一節的聖經來開始
[00:00:34.000 --> 00:00:37.000]  在馬達福音的九章三十五三十八節
[00:00:37.000 --> 00:00:40.000]  馬達福音第九章三十五三十八節
[00:00:40.000 --> 00:00:42.000]  那節經文講到
[00:00:42.000 --> 00:00:47.000]  主耶穌周遊各市鎮鄉村在各會堂裡教導人
[00:00:47.000 --> 00:00:52.000]  宣講天國的福音並治好民間的各樣疾病
[00:00:52.000 --> 00:00:57.000]  當他看見一群群的人動了惻隱之心
[00:00:57.000 --> 00:01:02.000]  因為他們孤苦無助像沒有牧人的羊群一樣
[00:01:02.000 --> 00:01:04.000]  於是他對門徒說
[00:01:04.000 --> 00:01:09.000]  要收成的很多,但是收割的工人太少
[00:01:09.000 --> 00:01:16.000]  你們要祈求農場的主人派工人來收割他的農作物
[00:01:16.000 --> 00:01:19.000]  第一點我想和大家分享的就是
[00:01:19.000 --> 00:01:21.000]  要參與這個副音的工作
[00:01:21.000 --> 00:01:24.000]  首先你要看到主耶穌所看到的
[00:01:24.000 --> 00:01:29.000]  就是你要看到這個和場到底有多廣大
[00:01:29.000 --> 00:01:31.000]  所以你一定要看到
[00:01:31.000 --> 00:01:34.000]  好像主耶穌剛剛所講的馬達福音九章三十六節
[00:01:34.000 --> 00:01:39.000]  主耶穌看見一群群的人動了惻隱之心
[00:01:39.000 --> 00:01:40.000]  首先你要看見
[00:01:40.000 --> 00:01:42.000]  很多時候我們看不見的
[00:01:42.000 --> 00:01:45.000]  其實神在我們身邊安排了很多很多微信主的人
[00:01:45.000 --> 00:01:47.000]  在我們身邊切切切切地轉
[00:01:47.000 --> 00:01:49.000]  有時候我們一個都看不見
[00:01:49.000 --> 00:01:51.000]  我不知道你有沒有試過
[00:01:51.000 --> 00:01:54.000]  駕車的時候在路上
[00:01:54.000 --> 00:01:58.000]  你發覺你從來沒有留意路上
[00:01:58.000 --> 00:02:00.000]  到處都是那種款式的車
[00:02:00.000 --> 00:02:02.000]  直到你買了那輛車
[00:02:02.000 --> 00:02:04.000]  你買了之後你一開上街
[00:02:04.000 --> 00:02:08.000]  你發覺為什麼路上到處都是我開過的那種車
[00:02:08.000 --> 00:02:11.000]  我以前從來沒有留意過
[00:02:11.000 --> 00:02:14.000]  直到大概幾個月前
[00:02:14.000 --> 00:02:17.000]  有人邀請我參觀Tesla的工廠
[00:02:17.000 --> 00:02:20.000]  參觀完之後我才發覺有一樣東西不同了
[00:02:20.000 --> 00:02:23.000]  就是我現在在街上看到到處都是Tesla
[00:02:23.000 --> 00:02:24.000]  到處都是Tesla
[00:02:24.000 --> 00:02:25.000]  我以前沒有留意
[00:02:25.000 --> 00:02:27.000]  其實它們一直都存在
[00:02:27.000 --> 00:02:30.000]  我一直以為Tesla還在研發的階段
[00:02:30.000 --> 00:02:33.000]  直到最近在路上個個都開的時候
[00:02:33.000 --> 00:02:35.000]  才發覺突然間看到
[00:02:35.000 --> 00:02:38.000]  你發覺很多東西在我們身邊切切切切地轉
[00:02:38.000 --> 00:02:40.000]  但是你看不見的
[00:02:40.000 --> 00:02:42.000]  其中一個很大的原因
[00:02:42.000 --> 00:02:45.000]  為什麼我們有時候看不見又感覺不到呢
[00:02:45.000 --> 00:02:47.000]  其中第一個原因就是
[00:02:47.000 --> 00:02:52.000]  有時候我們生活太過注重活在自己的世界裡面
[00:02:52.000 --> 00:02:56.000]  有時候我們太過擔憂我們自己的生活各個層面
[00:02:56.000 --> 00:02:59.000]  無論是經濟 假人
[00:02:59.000 --> 00:03:01.000]  太過擔憂我們自己的東西
[00:03:01.000 --> 00:03:04.000]  太過牽涉
[00:03:04.000 --> 00:03:08.000]  接著就忘記了看不見周圍神秘我們很多很多的東西
[00:03:08.000 --> 00:03:10.000]  就錯過了沿路的風景
[00:03:10.000 --> 00:03:12.000]  好像看著看著看著
[00:03:12.000 --> 00:03:15.000]  所以在馬德福音的六章三十一三十三節
[00:03:15.000 --> 00:03:17.000]  都給我們提醒
[00:03:17.000 --> 00:03:22.000]  所以不要為我們吃什麼 喝什麼 或著什麼粗心
[00:03:22.000 --> 00:03:25.000]  這是不是不信主的人所追逐的
[00:03:25.000 --> 00:03:29.000]  你們的天父知道你們需要這一切東西
[00:03:29.000 --> 00:03:32.000]  你們要先追求上帝主權的實現
[00:03:32.000 --> 00:03:34.000]  遵行祂的旨意
[00:03:34.000 --> 00:03:37.000]  祂就會把這一切都供給你們
[00:03:37.000 --> 00:03:40.000]  有時候我們太過擔憂
[00:03:40.000 --> 00:03:43.000]  我們自己的工作 學業 各方面
[00:03:43.000 --> 00:03:46.000]  而錯過了參與神的很多機會
[00:03:46.000 --> 00:03:48.000]  有時候神給我們很多機會
[00:03:48.000 --> 00:03:50.000]  安插了很多人在我們身邊
[00:03:50.000 --> 00:03:52.000]  我們一個都看不到
[00:03:52.000 --> 00:03:54.000]  太過活在自己的世界裡面
[00:03:54.000 --> 00:04:02.000]  第二個我們有時候看不到一群群的人的原因就是
[00:04:02.000 --> 00:04:04.000]  有時候信主信得久
[00:04:04.000 --> 00:04:06.000]  任何一個我相信信主超過三年的人
[00:04:06.000 --> 00:04:09.000]  你發覺你慢慢逐漸逐漸地
[00:04:09.000 --> 00:04:11.000]  你已經沒有了非基督徒的朋友
[00:04:11.000 --> 00:04:15.000]  你的朋友圈子全部都已經是基督徒
[00:04:15.000 --> 00:04:16.000]  慢慢越來越少
