
[00:00:00.000 --> 00:00:04.080]  今天是1月16日,是一個很特別的日子
[00:00:04.080 --> 00:00:10.400]  在今天,在加拿大,美國,甚至很多其他國家
[00:00:10.400 --> 00:00:13.600]  很多的牧者,很多的牧師
[00:00:13.600 --> 00:00:18.800]  都會說有關聖經正確對聖愛的教導
[00:00:18.800 --> 00:00:23.000]  為什麼今天會說這樣的訊息呢,這麼多的牧者
[00:00:23.000 --> 00:00:26.440]  原因是在前些時,在加拿大
[00:00:26.440 --> 00:00:31.400]  通過了一條Bill,Bill C-4,這個律法
[00:00:31.400 --> 00:00:36.560]  是在上個星期,1月8日開始實行
[00:00:36.560 --> 00:00:39.320]  根據這條Bill所說
[00:00:39.320 --> 00:00:44.280]  如果任何人是用聖經來輔導其他人
[00:00:44.280 --> 00:00:48.520]  例如有個同性戀者去到這個輔導者那裡
[00:00:48.520 --> 00:00:50.880]  如果這個人是用聖經來輔導他
[00:00:50.880 --> 00:00:54.400]  想改變他同性戀的行為
[00:00:54.400 --> 00:00:59.120]  他可以入獄至5年
[00:00:59.120 --> 00:01:05.320]  另外,如果有小朋友對他們的性別有疑惑
[00:01:05.320 --> 00:01:07.840]  為什麼會對性別有疑惑
[00:01:07.840 --> 00:01:11.560]  30年前,40年前從來都沒有聽過這些事
[00:01:11.560 --> 00:01:15.840]  但現在因為有很多的書本,電影,電視
[00:01:15.840 --> 00:01:19.520]  令到小朋友覺得自己生出來是男的
[00:01:19.520 --> 00:01:21.200]  未必需要是男的
[00:01:21.200 --> 00:01:24.640]  生出來是女的未必需要是女的
[00:01:24.640 --> 00:01:26.440]  很疑惑
[00:01:26.440 --> 00:01:29.520]  如果有輔導者想改變他們
[00:01:29.520 --> 00:01:32.160]  如果他們想改變他們自己的性別
[00:01:32.160 --> 00:01:34.120]  有輔導者說不應該
[00:01:34.120 --> 00:01:36.840]  聖經說神做男做女
[00:01:36.840 --> 00:01:40.400]  你是男的就是男,你是女的就是女
[00:01:40.400 --> 00:01:43.760]  這個輔導員亦都可能被判入獄
[00:01:43.760 --> 00:01:46.040]  up to 5年那麼久
[00:01:46.040 --> 00:01:48.400]  這個真的非常非常不幸
[00:01:48.400 --> 00:01:52.120]  加拿大通過了這條法例
[00:01:52.120 --> 00:01:53.880]  我們現在
[00:01:53.880 --> 00:01:56.480]  美國相信指日可待
[00:01:56.480 --> 00:02:01.280]  隨時都會報他們的後塵都是一樣
[00:02:01.280 --> 00:02:02.600]  願神憐憫
[00:02:02.600 --> 00:02:05.000]  願神給我們美國
[00:02:05.000 --> 00:02:09.520]  還能夠有自由的言語多幾年
[00:02:09.520 --> 00:02:16.360]  很多牧師都在今天會說關於性愛正確的教導
[00:02:16.360 --> 00:02:20.400]  我就不會說,因為我在雪前奢侈才說完
[00:02:20.400 --> 00:02:24.360]  針研說過一篇道就是性別的智慧
[00:02:24.360 --> 00:02:28.720]  所以我這裡不會再說同樣的東西
[00:02:28.720 --> 00:02:31.880]  我們會繼續說耶利米埃哥
[00:02:31.880 --> 00:02:35.880]  我們知道今年全教會都是說耶利米埃哥
[00:02:35.880 --> 00:02:41.480]  今天會說到最後一章的大結局
[00:02:41.480 --> 00:02:44.920]  我說過耶利米埃哥其實很有趣
[00:02:44.920 --> 00:02:48.920]  五章的經文有個很特別的結構
[00:02:48.920 --> 00:02:53.040]  五章的經文有五首的字母詩
[00:02:53.040 --> 00:02:56.320]  每首的字母詩都有少少的不同
[00:02:56.320 --> 00:02:59.400]  那你說為什麼耶利米埃哥要這樣做
[00:02:59.400 --> 00:03:00.680]  亦都是因為這樣
[00:03:00.680 --> 00:03:04.640]  有很多的神學家都說耶利米埃哥這本書
[00:03:04.640 --> 00:03:07.360]  其實是有五個不同的作者
[00:03:07.360 --> 00:03:09.200]  其實不是的
[00:03:09.200 --> 00:03:13.680]  透過這些少少的瑕疵在每一首的字母詩
[00:03:13.680 --> 00:03:18.080]  其實耶利米埃哥是指出經文的重心在哪裡
[00:03:18.080 --> 00:03:21.920]  在第一章例如十六十七節
[00:03:21.920 --> 00:03:23.600]  那個字母是調轉了
[00:03:23.600 --> 00:03:28.840]  字母詩就是一路由猶太人的字母排出來
[00:03:28.840 --> 00:03:30.840]  所以有二十二節的經文
[00:03:30.840 --> 00:03:35.120]  因為猶太人有二十二個字母
[00:03:35.120 --> 00:03:38.400]  在第十六十七節的字母是調轉了
[00:03:38.400 --> 00:03:42.920]  跟第二第三第四章是不同的
[00:03:42.920 --> 00:03:47.880]  所以猶太人的讀者就會將注意力放在十六十七節
[00:03:47.880 --> 00:03:51.920]  其實十六十七節就是第一章經文的縮寫
[00:03:51.920 --> 00:03:55.720]  帶出來的訊息就是我們要面對現實
[00:03:55.720 --> 00:03:57.760]  當一個人在苦難的時候
[00:03:57.760 --> 00:04:02.520]  不面對現實是不能夠走出幽魂黑暗
[00:04:02.520 --> 00:04:03.920]  第二章呢
[00:04:03.920 --> 00:04:06.680]  第二章我們說根本沒有什麼瑕疵
[00:04:06.680 --> 00:04:10.560]  因為第二章的主角是神自己
[00:04:10.560 --> 00:04:13.520]  神是執行祂的文約
[00:04:13.520 --> 00:04:18.880]  來審判懲罰管教以色列人
[00:04:18.880 --> 00:04:20.800]  所以神是有祂的主權
[00:04:20.800 --> 00:04:24.080]  第二章是講神是沒有瑕疵的
[00:04:24.080 --> 00:04:25.480]  你說沒有瑕疵
[00:04:25.480 --> 00:04:29.280]  我們怎樣知道經文的重心在哪裡
[00:04:29.280 --> 00:04:32.680]  一個猶太人的讀者讀完第一章
[00:04:32.680 --> 00:04:35.600]  看到第十六十七的字母調轉了
[00:04:35.600 --> 00:04:40.240]  就會將注意力放在第二章同樣十六十七節
[00:04:40.240 --> 00:04:45.000]  帶出來的經文就是神應驗了他古時的文約
[00:04:45.000 --> 00:04:48.480]  這就是神和以色列人所立的文約
