
[00:00:00.000 --> 00:00:07.320]  道向聖潔公義善良的托拉
[00:00:07.320 --> 00:00:12.520]  托拉是希伯來文叫做Torah
[00:00:12.520 --> 00:00:17.680]  道向聖潔公義良善的托拉
[00:00:17.680 --> 00:00:20.400]  我在加拿大來
[00:00:20.400 --> 00:00:25.120]  你知道加拿大最近這個疫情
[00:00:25.120 --> 00:00:34.160]  我不知道爲什麼很多人開車是非常失控
[00:00:34.160 --> 00:00:37.360]  很厲害亦都產生很多意外
[00:00:37.360 --> 00:00:44.040]  最近加拿大將市區的時速限制
[00:00:44.040 --> 00:00:48.520]  普通來說是40公里
[00:00:48.520 --> 00:00:55.440]  現在改爲30公里
[00:00:55.440 --> 00:01:01.600]  而且說到如果在這些時速限制裏超越了
[00:01:01.600 --> 00:01:05.040]  以前超越50公里
[00:01:05.040 --> 00:01:09.800]  可以叫你停牌停駕駛
[00:01:09.800 --> 00:01:15.160]  馬上你的車被拖走
[00:01:15.160 --> 00:01:20.280]  而且你可能暫時停牌
[00:01:20.280 --> 00:01:23.160]  現在不是50公里
[00:01:23.160 --> 00:01:25.560]  是40公里
[00:01:25.560 --> 00:01:29.360]  就可以叫你車被拖走和停牌
[00:01:29.360 --> 00:01:32.160]  可能你會覺得這麼多條條框框
[00:01:32.160 --> 00:01:34.240]  我不知道大家喜不喜歡
[00:01:34.240 --> 00:01:35.840]  可能有些人很不喜歡
[00:01:35.840 --> 00:01:42.840]  爲什麼政府這麼多這些規矩限制
[00:01:42.840 --> 00:01:48.920]  其實當我們想到最近在加拿大發生的事你就知道
[00:01:48.920 --> 00:01:55.160]  無端端有個鄰居和他們隔離的鄰居的子女
[00:01:55.160 --> 00:01:59.040]  修理摩托車的電單車
[00:01:59.040 --> 00:02:03.320]  誰知道突然間車撞過來
[00:02:03.320 --> 00:02:05.280]  三個人都受傷
[00:02:05.280 --> 00:02:09.600]  後來看見有個十歲和十一歲的姐弟
[00:02:09.600 --> 00:02:12.480]  相繼就死了
[00:02:12.480 --> 00:02:15.320]  我真的不知道大家會怎麼想
[00:02:15.320 --> 00:02:18.120]  如果這個家庭看到一晚
[00:02:18.120 --> 00:02:23.120]  自己的親生子女突然離開世界
[00:02:23.120 --> 00:02:25.520]  隔離的鄰居都很無辜
[00:02:25.520 --> 00:02:26.840]  也是幫忙修理摩托車
[00:02:26.840 --> 00:02:28.800]  自己也受了傷
[00:02:28.800 --> 00:02:33.160]  最近在我們旁邊的一個城市叫彬頓市
[00:02:33.160 --> 00:02:35.960]  有一個車禍
[00:02:35.960 --> 00:02:41.000]  三母子也被撞死
