
[00:00:00.000 --> 00:00:07.600]  好 我們開始的時候我們先禱告
[00:00:07.600 --> 00:00:10.400]  親愛的上帝 我們感謝祢的恩典
[00:00:10.400 --> 00:00:15.400]  因為祢賜下祢的愛子主耶穌
[00:00:15.400 --> 00:00:17.100]  降世成為人
[00:00:17.100 --> 00:00:20.600]  在我們中間讓我們看見上帝
[00:00:20.600 --> 00:00:23.400]  祢是怎樣的愛我們
[00:00:23.400 --> 00:00:27.800]  主啊 求祢當我們經過聖誕節的時候
[00:00:27.800 --> 00:00:30.600]  讓我們被你提醒
[00:00:30.600 --> 00:00:33.900]  我們在教會裡面
[00:00:33.900 --> 00:00:35.900]  或者在我們生活當中
[00:00:35.900 --> 00:00:38.700]  我們要活出你的愛
[00:00:38.700 --> 00:00:42.200]  主啊 求你藉保羅的教導
[00:00:42.200 --> 00:00:45.200]  讓我們知道在生活的方方面面
[00:00:45.200 --> 00:00:48.800]  怎麼可以活出你愛的教導
[00:00:48.800 --> 00:00:52.900]  主啊 我們求祢在我們當中親自教導我們
[00:00:52.900 --> 00:00:56.500]  讓我們講的聽的都可以清楚明白
[00:00:56.500 --> 00:01:00.400]  我們這樣禱告是奉主耶穌基督的名
[00:01:00.400 --> 00:01:02.500]  Amen
[00:01:02.500 --> 00:01:07.900]  這段經文就是在哥林多前書
[00:01:07.900 --> 00:01:11.900]  這個題目是以愛為先的一個群體
[00:01:11.900 --> 00:01:14.900]  就是在講我們
[00:01:14.900 --> 00:01:20.000]  這個哥林多前書的有一個部分
[00:01:20.000 --> 00:01:23.500]  它是保羅因為回應
[00:01:23.500 --> 00:01:27.100]  當時剛剛信耶穌的一般的弟兄姐妹
[00:01:27.100 --> 00:01:29.600]  他們對信仰有很多疑問
[00:01:29.600 --> 00:01:32.600]  所以其中一部分是講到
[00:01:32.600 --> 00:01:36.300]  這個論及偶像的東西
[00:01:36.300 --> 00:01:39.000]  能不能吃
[00:01:39.000 --> 00:01:41.900]  但是這個經文其實它是很長的
[00:01:41.900 --> 00:01:45.700]  就是關於這個題目是從八章到十一章
[00:01:45.700 --> 00:01:48.300]  今天講的第八章是講到
[00:01:48.300 --> 00:01:53.000]  這個部分的一個基本的原則
[00:01:53.000 --> 00:01:57.300]  好 我們
[00:01:57.300 --> 00:02:00.000]  先講一下這個哥林多的一些背景
[00:02:00.000 --> 00:02:03.600]  哥林多這個地方有點像香港這個地方
[00:02:03.600 --> 00:02:06.400]  因為它是一個殖民地
[00:02:06.400 --> 00:02:08.000]  經濟很繁榮
[00:02:08.000 --> 00:02:13.700]  而且人們的教育水平普遍都是很高
[00:02:13.700 --> 00:02:15.900]  還有那個地方
[00:02:15.900 --> 00:02:18.400]  因為都是很講民主權利
[00:02:18.400 --> 00:02:21.000]  所以他們很追求一種自由
[00:02:21.000 --> 00:02:22.800]  這幾個方面
[00:02:22.800 --> 00:02:26.700]  你聽他們講的那個經文內容
[00:02:26.700 --> 00:02:29.800]  可能都跟這些有關
[00:02:29.800 --> 00:02:32.600]  還有就是在當時那個地方
[00:02:32.600 --> 00:02:34.800]  因為他們是拜那個
[00:02:34.800 --> 00:02:37.900]  他們是希臘的一個宗教背景
[00:02:37.900 --> 00:02:41.600]  所以有很多廟
[00:02:41.600 --> 00:02:43.200]  如果你去那邊旅遊
[00:02:43.200 --> 00:02:47.300]  可能都還會看到有一些建築物
[00:02:47.300 --> 00:02:51.400]  比如說這個是一個遺址
[00:02:51.400 --> 00:02:53.500]  我在網上找的 我沒有去過
[00:02:53.500 --> 00:02:59.000]  這個地方是一個叫醫神廟
[00:02:59.000 --> 00:03:00.500]  這個是我翻譯的
[00:03:00.500 --> 00:03:02.500]  就是他的那個原來的文字
[00:03:02.500 --> 00:03:05.400]  他就說是一個希臘的神
[00:03:05.400 --> 00:03:09.300]  他是一個負責這個醫藥方面的
[00:03:09.300 --> 00:03:11.400]  所以除了這個廟以外
[00:03:11.400 --> 00:03:13.100]  還有很多很多其他的
[00:03:13.100 --> 00:03:15.900]  所以在當時那個背景裡面
[00:03:15.900 --> 00:03:18.200]  有很多宗教場所
[00:03:18.200 --> 00:03:21.300]  其實是等於他們社交的一個場所
[00:03:21.300 --> 00:03:25.200]  那如果你說我如果我一定要社交
[00:03:25.200 --> 00:03:28.300]  那我難免要吃了
[00:03:28.300 --> 00:03:28.900]  是不是
[00:03:28.900 --> 00:03:32.900]  所以對於對於剛剛信主的基督徒的來說
[00:03:32.900 --> 00:03:37.200]  他們有這方面的疑問是很正常的
[00:03:37.200 --> 00:03:39.100]  那可能在香港
[00:03:39.100 --> 00:03:41.900]  我們也是中國人的背景對不對
[00:03:41.900 --> 00:03:45.100]  你有沒有參加過一些廟會
[00:03:45.100 --> 00:03:48.700]  其實在我是從荃灣
[00:03:48.700 --> 00:03:50.900]  還有清一那邊過來的
[00:03:50.900 --> 00:03:54.200]  或者如果你們是在大陸那邊
[00:03:54.200 --> 00:03:56.200]  可能也會有一些廟
[00:03:56.200 --> 00:03:59.900]  那有些廟會是有一些節日
[00:03:59.900 --> 00:04:01.200]  有很多食品
[00:04:01.200 --> 00:04:04.900]  那你覺得你能不能去逛一逛或者去吃呢
[00:04:04.900 --> 00:04:07.700]  我就比如說是那個常州
[00:04:07.700 --> 00:04:10.600]  有一個廟會很出名的
[00:04:10.600 --> 00:04:13.600]  還有清一也有也有廟會
[00:04:13.600 --> 00:04:17.100]  而且有很多很精彩的活動
[00:04:17.100 --> 00:04:18.700]  那你覺得你能去嗎
[00:04:18.700 --> 00:04:21.400]  可以嘗嘗那些的小吃嗎
[00:04:21.400 --> 00:04:24.000]  又或者你去旅遊
[00:04:24.000 --> 00:04:26.200]  那日本很漂亮
[00:04:26.200 --> 00:04:27.900]  有很多廟是吧
[00:04:27.900 --> 00:04:30.400]  他們你能不能進去
[00:04:30.400 --> 00:04:35.900]  或者能不能買一下他的那個紀念品
[00:04:35.900 --> 00:04:38.200]  很多很漂亮的是不是
[00:04:38.200 --> 00:04:42.100]  還有還有我去
[00:04:42.100 --> 00:04:46.600]  我在大陸我在蘇州教過四年的書
[00:04:46.600 --> 00:04:50.700]  那我記得我們有去本地的旅遊
[00:04:50.700 --> 00:04:54.600]  那旅遊員來旅遊團的那個午餐
[00:04:54.600 --> 00:04:57.400]  是安排在那個廟裡面
[00:04:57.400 --> 00:04:59.900]  那你能不能去呢
[00:04:59.900 --> 00:05:02.300]  大家覺得怎麼樣
[00:05:02.300 --> 00:05:04.000]  能不能吃呢
[00:05:04.000 --> 00:05:08.500]  這個就是當時的基督徒的一些的疑問
[00:05:08.500 --> 00:05:10.200]  對於當時的信徒來說
[00:05:10.200 --> 00:05:11.500]  他們說可以啊
[00:05:11.500 --> 00:05:12.600]  可以去啊
[00:05:12.600 --> 00:05:17.200]  因為我他們覺得我們都知道知道什麼呢
[00:05:17.200 --> 00:05:19.200]  就知道只有一個神啊
[00:05:19.200 --> 00:05:20.700]  偶像是假的嗎
