
[00:00:00.000 --> 00:00:02.000]  早晨啊各位
[00:00:02.000 --> 00:00:06.000]  咁呢 呢兩個星期我都喺 Chicago
[00:00:06.000 --> 00:00:10.000]  咁所以呢 今日我哋就暫且停一停
[00:00:10.000 --> 00:00:13.000]  Mark Sir 嗰個講道系列 Chosen
[00:00:13.000 --> 00:00:16.000]  咁呀唔使失望呀 下個禮拜會繼續
[00:00:16.000 --> 00:00:18.000]  咁呀到時記得準時出席啦
[00:00:18.000 --> 00:00:22.000]  今日大家稍安毋錯先聽我分享
[00:00:22.000 --> 00:00:26.000]  咁呢今年我就用呢個 Timothy Keller
[00:00:26.000 --> 00:00:31.000]  同佢太太選寫嘅每日心言去靈修
[00:00:31.000 --> 00:00:34.000]  每日得一版嘅啫 唔係好長
[00:00:34.000 --> 00:00:38.000]  久唔久呢裏面有一兩版或者一兩節經文呢
[00:00:38.000 --> 00:00:41.000]  對我嚟講特別深刻或者好有趣嘅
[00:00:41.000 --> 00:00:45.000]  咁跟住嗰幾日呢我就會成日喺度諗返
[00:00:45.000 --> 00:00:49.000]  嗰個靈修篇章嗰段心言啦
[00:00:49.000 --> 00:00:54.000]  咁呢 話說有日呢我就同我老公食飯
[00:00:54.000 --> 00:00:58.000]  即係出去食飯啦 最近嗰次啦
[00:00:58.000 --> 00:01:02.000]  咁我成日笑我老公呢佢係有呢個選擇困難症嘅
[00:01:02.000 --> 00:01:06.000]  因為無論每次我哋出去食飯
[00:01:06.000 --> 00:01:09.000]  佢嗰間餐館去過幾多次都好啦
[00:01:09.000 --> 00:01:12.000]  咁呢佢會望住個餐牌
[00:01:12.000 --> 00:01:17.000]  要用好長嘅時間去study嗰個menu嘅
[00:01:17.000 --> 00:01:21.000]  即係無論真係裏面係有幾多選擇都好啦
[00:01:21.000 --> 00:01:23.000]  嗰個餐館我去過幾多次都好啦
[00:01:23.000 --> 00:01:27.000]  佢都係要用好多時間 好多掙扎
[00:01:27.000 --> 00:01:30.000]  佢先可以落到個order
[00:01:30.000 --> 00:01:32.000]  咁唔單止咁喎
[00:01:32.000 --> 00:01:36.000]  咁仲要食食下呢通常佢就會講話
[00:01:36.000 --> 00:01:39.000]  我早知唔好嗌呢個啦
[00:01:39.000 --> 00:01:42.000]  其實呢我應該嗌嗰個好啲
[00:01:42.000 --> 00:01:46.000]  因為嗰個似乎多啲嘢食 抵食啲
[00:01:46.000 --> 00:01:50.000]  甚至無呢可能有嘢淨可以帶返屋企
[00:01:50.000 --> 00:01:53.000]  價錢都係差唔多
[00:01:53.000 --> 00:01:55.000]  咁呀今次同佢食飯
[00:01:55.000 --> 00:01:58.000]  即係呢件事當然係歷史重演啦
[00:01:58.000 --> 00:02:00.000]  咁我突然間腦海裏面呢
[00:02:00.000 --> 00:02:06.000]  就出現一句最近我靈修時候嘅經文
[00:02:06.000 --> 00:02:10.000]  咁就喺《真言》二十六章十一節
[00:02:10.000 --> 00:02:15.000]  佢話如未人一再做蠢事
[00:02:15.000 --> 00:02:22.000]  如同狗轉過身吃自己嘔出嚟嘅東西
[00:02:22.000 --> 00:02:23.000]  咁我同我老公講
[00:02:23.000 --> 00:02:25.000]  我話Daddy呀
[00:02:25.000 --> 00:02:29.000]  我話《真言》裏面呢有字咁嘅經文
[00:02:29.000 --> 00:02:35.000]  喺你呢個情況底下呢係咪即係
[00:02:35.000 --> 00:02:38.000]  即係蠢人一再做蠢事啦
[00:02:38.000 --> 00:02:39.000]  即係好似隻狗咁呀
[00:02:39.000 --> 00:02:42.000]  拎返轉頭食自己嘔返出嚟嘅嘢
[00:02:42.000 --> 00:02:44.000]  咁我老公就望住我
[00:02:44.000 --> 00:02:48.000]  扁曬咀嘟嘟頭咁呀
[00:02:48.000 --> 00:02:52.000]  《真言》呢就真係句句真金
[00:02:52.000 --> 00:02:54.000]  今日講到嘅主題
[00:02:54.000 --> 00:02:57.000]  用盡一生的腦袋
[00:02:57.000 --> 00:03:02.000]  經文呢係出自喺《真言》一章一至七節
[00:03:02.000 --> 00:03:06.000]  我哋先低頭祈禱
[00:03:06.000 --> 00:03:08.000]  親愛的主我哋一神
[00:03:08.000 --> 00:03:11.000]  願日都尊你嘅名為聖
[00:03:11.000 --> 00:03:13.000]  願你嘅國降臨
[00:03:13.000 --> 00:03:15.000]  願你嘅旨意行喺地上
