
[00:00:00.000 --> 00:00:02.000]  丁姐妹平安 早安
[00:00:02.000 --> 00:00:06.000]  午安了 剛剛過十二點就要午安了
[00:00:06.000 --> 00:00:13.000]  最近我的女兒介紹我去看一本書
[00:00:13.000 --> 00:00:17.000]  那本書是英文的
[00:00:17.000 --> 00:00:21.000]  她說:Daddy 這本書很好玩
[00:00:21.000 --> 00:00:24.000]  我們一起去做門徒訓練
[00:00:24.000 --> 00:00:29.000]  那本書還是英文的
[00:00:30.000 --> 00:00:34.000]  然後她說:我們一起去做
[00:00:34.000 --> 00:00:39.000]  15元美金 要給她120元
[00:00:39.000 --> 00:00:42.000]  她也很聰明 她不會跟我付錢
[00:00:42.000 --> 00:00:44.000]  因為任何的書本
[00:00:44.000 --> 00:00:47.000]  如果你不付錢 你是不會看的
[00:00:47.000 --> 00:00:52.000]  所以我就和她一起買了那本書
[00:00:52.000 --> 00:00:56.000]  我覺得在生活裏也很坎坷
[00:00:56.000 --> 00:00:58.000]  我去休息 還要去門徒訓練
[00:01:00.000 --> 00:01:01.000]  這是一個實況
[00:01:01.000 --> 00:01:05.000]  丁姐妹 做門徒應該怎樣呢?
[00:01:05.000 --> 00:01:08.000]  我們一起學習 祈禱
[00:01:08.000 --> 00:01:10.000]  差主你與我們同在
[00:01:10.000 --> 00:01:13.000]  感謝你保守和看顧
[00:01:13.000 --> 00:01:18.000]  你親自的差派 你親自去呼召
[00:01:18.000 --> 00:01:21.000]  為願主你自己的愛 你的恩典臨到
[00:01:21.000 --> 00:01:23.000]  幫助我們去承擔
[00:01:23.000 --> 00:01:26.000]  主你自己要我們所作所堅擔的使命
[00:01:26.000 --> 00:01:28.000]  主求你保守
[00:01:28.000 --> 00:01:31.000]  多謝我們恩主 你聽我們祈禱
[00:01:31.000 --> 00:01:33.000]  奉主名求 阿們
[00:01:58.000 --> 00:02:00.000]  行裝要怎樣戴呢?
[00:02:00.000 --> 00:02:02.000]  宣揚主的國度的時候
[00:02:02.000 --> 00:02:04.000]  你要怎樣去宣揚呢?
[00:02:04.000 --> 00:02:07.000]  你不要戴行囊
[00:02:07.000 --> 00:02:09.000]  你去到別人家裏的時候
[00:02:09.000 --> 00:02:10.000]  別人讓你進去 你就進去
[00:02:10.000 --> 00:02:12.000]  不進去就算了 你就不要進去
[00:02:12.000 --> 00:02:15.000]  去一些你可以去的家裏
[00:02:15.000 --> 00:02:20.000]  接受合適家庭的接待和款待
[00:02:20.000 --> 00:02:23.000]  這是呼召他們的時候
[00:02:23.000 --> 00:02:26.000]  實際行裝上的準備
[00:02:26.000 --> 00:02:28.000]  到了第十六節
[00:02:28.000 --> 00:02:30.000]  十六節開始
[00:02:30.000 --> 00:02:34.000]  他說這是心態上的準備
[00:02:34.000 --> 00:02:36.000]  我猜你們出去
[00:02:36.000 --> 00:02:40.000]  就好像羊進入狼群
[00:02:40.000 --> 00:02:43.000]  羊進入狼群
[00:02:43.000 --> 00:02:49.000]  所以你們要機警如蛇
[00:02:49.000 --> 00:02:52.000]  純真如鴿
[00:02:52.000 --> 00:02:58.000]  和合本是靈巧像蛇 純良如鴿
[00:02:58.000 --> 00:03:00.000]  如果在十六節所描述的
[00:03:00.000 --> 00:03:04.000]  做一個門徒去做福音工作的時間
[00:03:04.000 --> 00:03:11.000]  主耶穌幫助他們在心態上有一個好的準備
[00:03:11.000 --> 00:03:13.000]  因為他們出去的時候
[00:03:13.000 --> 00:03:16.000]  面對一個很複雜的環境
[00:03:16.000 --> 00:03:19.000]  他們要面對權力 面對勢力
[00:03:19.000 --> 00:03:23.000]  面對很多不同的壓力
[00:03:23.000 --> 00:03:28.000]  四種的動物
[00:03:28.000 --> 00:03:32.000]  你們有沒有進入過狼群?
[00:03:32.000 --> 00:03:34.000]  狼呀?
[00:03:34.000 --> 00:03:37.000]  沒有呀?
[00:03:37.000 --> 00:03:40.000]  你們家裏有沒有養狼狗呀?
[00:03:40.000 --> 00:03:42.000]  狼狗呀?
[00:03:42.000 --> 00:03:45.000]  那些狼狗都有狼性
[00:03:45.000 --> 00:03:49.000]  我們隔壁屋 剛好隔壁的單位
[00:03:49.000 --> 00:03:52.000]  我是D 他是C 就是隔壁
[00:03:52.000 --> 00:03:59.000]  今年就養了一隻狼狗的群眾
[00:03:59.000 --> 00:04:04.000]  幾個月大開始養到現在一歲
[00:04:04.000 --> 00:04:08.000]  這隻狗因為有狼性
[00:04:08.000 --> 00:04:11.000]  就嚇壞我家裏的女人
[00:04:11.000 --> 00:04:14.000]  其實不單是嚇壞我家裏的女人
[00:04:14.000 --> 00:04:16.000]  是對面屋的女人
[00:04:16.000 --> 00:04:20.000]  對面屋的女人也是一間浸信會的弟兄姊妹
[00:04:20.000 --> 00:04:22.000]  她很害怕
[00:04:22.000 --> 00:04:25.000]  每次出門前都要看幾次
[00:04:25.000 --> 00:04:31.000]  因為她放狗一天放三次
[00:04:31.000 --> 00:04:33.000]  師母出去行山的時候
[00:04:33.000 --> 00:04:36.000]  一開門就左望右望
[00:04:36.000 --> 00:04:38.000]  然後就很害怕
[00:04:38.000 --> 00:04:43.000]  嚇到她血壓飆升
[00:04:43.000 --> 00:04:45.000]  不好意思 我要回教會
[00:04:45.000 --> 00:04:47.000]  我要工作 幫不了你
[00:04:47.000 --> 00:04:49.000]  接下來她很安全
[00:04:49.000 --> 00:04:53.000]  我每次陪她一起出去幫她忙
[00:04:53.000 --> 00:04:55.000]  我們這些人不怕
[00:04:55.000 --> 00:04:58.000]  因為我們習慣了對付狗
[00:04:58.000 --> 00:05:01.000]  對付野狗 或者是螳狗
[00:05:01.000 --> 00:05:04.000]  因為我們神學院授訓的時候
[00:05:04.000 --> 00:05:05.000]  那個年代是這樣的
[00:05:05.000 --> 00:05:07.000]  我在何文田山道
[00:05:07.000 --> 00:05:13.000]  何文田山道要由窩打路轉入何文田街
[00:05:13.000 --> 00:05:15.000]  上山就是何文田山道
[00:05:15.000 --> 00:05:18.000]  那時候我們在何文田山道一號住過
[00:05:18.000 --> 00:05:19.000]  我真的住過
[00:05:19.000 --> 00:05:21.000]  不過現在不同了 住不起了
[00:05:21.000 --> 00:05:28.000]  因為校舍拆了之後就變成豪宅
[00:05:28.000 --> 00:05:30.000]  但是那時候蓋房子的時候
[00:05:30.000 --> 00:05:37.000]  隔壁左右很多單位都在蓋房子的時候
[00:05:37.000 --> 00:05:41.000]  地盤工人就養狗
[00:05:41.000 --> 00:05:44.000]  我禮拜天去我媽媽家吃完飯
[00:05:44.000 --> 00:05:47.000]  那是1983至1986年那個年代
[00:05:47.000 --> 00:05:49.000]  吃完飯
[00:05:49.000 --> 00:05:54.000]  翌日早上要考希臘文的試
[00:05:54.000 --> 00:05:58.000]  就拿著希臘文的資料
