
[00:00:00.000 --> 00:00:03.240]  聖母,早晨,我們一起低頭祈禱,好嗎?
[00:00:03.240 --> 00:00:08.300]  上主,我們多謝祢給我們今天去敬拜,去侍奉祢
[00:00:08.300 --> 00:00:10.860]  我們感恩,因為祢給我們的恩典
[00:00:10.860 --> 00:00:13.740]  在基督裡面,我們能夠成為祢自己的子民
[00:00:13.740 --> 00:00:15.380]  祢住在我們生命當中
[00:00:15.380 --> 00:00:17.900]  祢在這個地上繼續去建立天國
[00:00:17.900 --> 00:00:21.120]  我們感謝祢給我們這個天家的盼望
[00:00:21.120 --> 00:00:25.780]  感謝祢給我們一個超越死亡的盼望
[00:00:25.780 --> 00:00:28.320]  主要讓我們繼續繼續仰望祢
[00:00:28.320 --> 00:00:30.120]  在我們生命當中,我們教會裡面
[00:00:30.120 --> 00:00:32.740]  有憂傷難過的弟兄姊妹,主要祢再一次去教導
[00:00:32.740 --> 00:00:36.080]  求祢親自賜平安和安慰給他們
[00:00:36.080 --> 00:00:38.120]  也有一些是有病痛的
[00:00:38.120 --> 00:00:40.920]  主要祢求祢親自去看顧和醫治
[00:00:40.920 --> 00:00:44.920]  在我們的生活當中,我們都遇見很多不同的挑戰
[00:00:44.920 --> 00:00:48.460]  我們記起一些弟兄姊妹,他們生命裡面可能很多失去
[00:00:48.460 --> 00:00:51.100]  經歷一些難處,甚至可能是失業
[00:00:51.100 --> 00:00:54.160]  失去一些至親
[00:00:54.160 --> 00:00:56.220]  主要祢求祢賜給他們力量
[00:00:56.220 --> 00:01:01.160]  讓我們知道在祢的恩典裡面,讓我們知道祢給我們的力量是足夠的
[00:01:01.160 --> 00:01:02.620]  今天我們教會來到祢面前
[00:01:02.620 --> 00:01:06.120]  我們求祢在上帝的懷語當中
[00:01:06.120 --> 00:01:08.820]  祢自己對我們作提醒
[00:01:08.820 --> 00:01:12.260]  求聲令祢都引領我們,祈禱奉主明
[00:01:12.260 --> 00:01:14.840]  好,我們繼續去看這個主題
[00:01:14.840 --> 00:01:17.460]  今次我們第幾講?
[00:01:17.460 --> 00:01:19.800]  好像是第四,是第四
[00:01:19.800 --> 00:01:21.960]  我們講到《馬太宗》第二十二章
[00:01:21.960 --> 00:01:25.180]  我們講到什麼呢?就是將來的天家
[00:01:25.180 --> 00:01:28.380]  將來的國度,上帝的國度
[00:01:28.380 --> 00:01:30.940]  已經展開了,在基督裡面
[00:01:30.940 --> 00:01:32.780]  在我們生命裡面展開了
[00:01:32.780 --> 00:01:36.460]  但是仍然是未完全實現的
[00:01:36.460 --> 00:01:38.140]  將來一定會實現
[00:01:38.140 --> 00:01:40.500]  這個就是耶穌基督給我們的盼望
[00:01:40.500 --> 00:01:44.440]  因為這個盼望的緣故,所以我們今天能夠繼續向前
[00:01:44.440 --> 00:01:46.260]  講到我們人生的終結的時候
[00:01:46.260 --> 00:01:49.860]  有時候是我們的目的地來決定
[00:01:49.860 --> 00:01:53.740]  我們今天的路向
[00:01:53.740 --> 00:01:58.980]  可能聽到,AI聽到我說話
[00:01:58.980 --> 00:02:05.120]  Anyways,將來的天國的盼望
[00:02:05.120 --> 00:02:08.340]  去決定我們今天的行走方向
[00:02:08.340 --> 00:02:10.700]  和我們今天所做的決定
[00:02:10.700 --> 00:02:13.620]  回到聖經,舊約,新約
[00:02:13.620 --> 00:02:19.460]  你都會見到,講到天家,講到天國
[00:02:19.460 --> 00:02:20.900]  在舊約裡面講到天國
[00:02:20.900 --> 00:02:23.380]  上帝會抹去人的眼淚
[00:02:23.380 --> 00:02:25.020]  會不會有痛苦
[00:02:25.020 --> 00:02:30.180]  他所答應給我們的國度,一定會臨到
[00:02:30.180 --> 00:02:33.740]  在聖經最後,也講到將來的天國
[00:02:33.740 --> 00:02:36.940]  同樣用這樣的字眼去形容
[00:02:36.940 --> 00:02:41.260]  在天國裡面,有所有的萬國萬民
[00:02:41.260 --> 00:02:44.780]  能夠進入上帝自己的國度,在榮耀裡面
[00:02:44.780 --> 00:02:48.100]  能夠和上帝一起同在
[00:02:48.100 --> 00:02:51.340]  有一個畫面,在聖經裡面經常會用的
[00:02:51.340 --> 00:02:53.140]  去形容天國
[00:02:53.140 --> 00:02:54.780]  就是在我們日常生活裡面
[00:02:54.780 --> 00:02:56.780]  我們經常會接觸的一些畫面
[00:02:56.780 --> 00:03:01.380]  就是婚禮,婚姻
[00:03:01.380 --> 00:03:08.140]  將來的天國,好像一個婚禮的賢席一樣
[00:03:08.140 --> 00:03:10.060]  羔羊的婚宴
[00:03:10.060 --> 00:03:12.340]  所以今天我們去看一個比喻
[00:03:12.340 --> 00:03:15.820]  我們去看看聖經裡面怎麼講天國
[00:03:15.820 --> 00:03:19.220]  和怎麼準備我們自己進入天國
[00:03:19.220 --> 00:03:21.980]  有三點
[00:03:21.980 --> 00:03:25.300]  第一,我想解釋一下當時耶穌的時候
