
[00:00:00.000 --> 00:00:05.000]  我好感恩今日可以同大家分享生命嘅訊息
[00:00:05.000 --> 00:00:07.000]  人生幾十年
[00:00:07.000 --> 00:00:10.000]  眨下眼就過去
[00:00:10.000 --> 00:00:12.000]  我點知
[00:00:12.000 --> 00:00:14.000]  因為幾年前
[00:00:14.000 --> 00:00:17.000]  我就已經登陸
[00:00:17.000 --> 00:00:19.000]  登陸嘅時候
[00:00:19.000 --> 00:00:22.000]  人生係有一種特別嘅感覺
[00:00:22.000 --> 00:00:25.000]  就知道嗰頭近
[00:00:25.000 --> 00:00:29.000]  即係之前嗰啲時間過咗好多
[00:00:29.000 --> 00:00:31.000]  之後嗰一截
[00:00:31.000 --> 00:00:34.000]  一定唔係同之前嗰一截係對等嘅
[00:00:34.000 --> 00:00:36.000]  除非我有120歲
[00:00:36.000 --> 00:00:38.000]  但我應該冇
[00:00:38.000 --> 00:00:40.000]  我都估計唔會有
[00:00:40.000 --> 00:00:43.000]  即係在咁樣嘅處境裏面
[00:00:43.000 --> 00:00:48.000]  我係思想到到底我應該點做人
[00:00:48.000 --> 00:00:50.000]  美滿嘅人生
[00:00:50.000 --> 00:00:53.000]  我唔知道你覺得點樣
[00:00:53.000 --> 00:00:56.000]  你覺得你快唔快樂
[00:00:56.000 --> 00:01:00.000]  你覺得你滿唔滿足
[00:01:00.000 --> 00:01:03.000]  你覺得你幸唔幸福
[00:01:03.000 --> 00:01:07.000]  或者再問深層一啲
[00:01:07.000 --> 00:01:11.000]  你覺得同你相處嘅人
[00:01:11.000 --> 00:01:15.000]  係痛苦定係快樂
[00:01:15.000 --> 00:01:17.000]  同你為伍嘅人
[00:01:17.000 --> 00:01:22.000]  係覺得羞愧定覺得有尊榮
[00:01:22.000 --> 00:01:26.000]  或者你爸爸媽媽諗起你嘅時候
[00:01:26.000 --> 00:01:29.000]  其實佢哋點嘅啫
[00:01:29.000 --> 00:01:32.000]  或者你諗到自己嘅身世嘅時候
[00:01:32.000 --> 00:01:34.000]  你覺得係點
[00:01:34.000 --> 00:01:36.000]  我60歲嗰年
[00:01:36.000 --> 00:01:40.000]  我突然間就有一種嘅感觸
[00:01:40.000 --> 00:01:42.000]  即係覺得
[00:01:42.000 --> 00:01:44.000]  有一啲嘢
[00:01:44.000 --> 00:01:47.000]  有一啲嘅生命嘅次序
[00:01:47.000 --> 00:01:49.000]  都要重整一下
[00:01:49.000 --> 00:01:52.000]  其中一種嘅次序就係話
[00:01:52.000 --> 00:01:54.000]  到底我要繼續
[00:01:54.000 --> 00:01:57.000]  為我嘅1800cc嘅電單車
[00:01:57.000 --> 00:01:59.000]  黎到抹死氣喉
[00:01:59.000 --> 00:02:03.000]  定係為我老婆抹抽氣扇
[00:02:03.000 --> 00:02:05.000]  所以我決定咗
[00:02:05.000 --> 00:02:10.000]  就拋棄人哋話係男人嘅依賴嘅東西
[00:02:10.000 --> 00:02:13.000]  其實我好討厭男人依賴呢四個字
[00:02:13.000 --> 00:02:17.000]  形容任何男人嘅嗜好或者係物品
[00:02:17.000 --> 00:02:21.000]  我覺得梗係精神污染
[00:02:21.000 --> 00:02:26.000]  我拋棄咗嗰一啲嘅身外物
[00:02:26.000 --> 00:02:31.000]  寧願學習去抹屋企
[00:02:31.000 --> 00:02:33.000]  雖然諗嘅多過做嘅
[00:02:33.000 --> 00:02:36.000]  不過有諗都好過唔諗
[00:02:36.000 --> 00:02:39.000]  然之後我就睇下自己
[00:02:39.000 --> 00:02:42.000]  押書櫃嘅書
[00:02:42.000 --> 00:02:45.000]  我就諗主若許可我繼續活到80歲
[00:02:45.000 --> 00:02:47.000]  到底我睇唔睇得哂呢
[00:02:47.000 --> 00:02:49.000]  如果我睇唔哂嘅話
[00:02:49.000 --> 00:02:52.000]  而家網上嘅圖書又咁方便
[00:02:52.000 --> 00:02:55.000]  咁我仲霸住啲書黎做乜嘢
[00:02:55.000 --> 00:02:57.000]  生書蟲
[00:02:57.000 --> 00:03:02.000]  於是乎我送走咗筆下40雙書
[00:03:02.000 --> 00:03:05.000]  剩返嘅我發覺
[00:03:05.000 --> 00:03:07.000]  如果主比我有80年命
[00:03:07.000 --> 00:03:09.000]  我都仲係要少少努力
[00:03:09.000 --> 00:03:12.000]  先可能會真係逐隻字讀哂佢
[00:03:12.000 --> 00:03:15.000]  當然揭書就好叻嘅我哋
[00:03:15.000 --> 00:03:17.000]  睇呢個大綱睇呢個introduction
[00:03:17.000 --> 00:03:19.000]  然之後睇個conclusion
[00:03:19.000 --> 00:03:21.000]  然之後就話大概知道講乜嘢
[00:03:21.000 --> 00:03:24.000]  當自己真係睇咗
[00:03:24.000 --> 00:03:27.000]  人生係有好多嘢調整
[00:03:27.000 --> 00:03:29.000]  但係我諗到我自己嘅生命
[00:03:29.000 --> 00:03:31.000]  嚟到呢個階段
[00:03:31.000 --> 00:03:34.000]  同埋我諗緊我繼續落去
[00:03:34.000 --> 00:03:36.000]  餘下嘅日子
[00:03:36.000 --> 00:03:39.000]  我都仲係覺得快樂
[00:03:39.000 --> 00:03:42.000]  你覺得我樣快唔快樂
[00:03:42.000 --> 00:03:48.000]  因為我日日都有愛情滋潤
[00:03:48.000 --> 00:03:50.000]  我覺得人生真係有愛
[00:03:50.000 --> 00:03:53.000]  就係好過一切
[00:03:53.000 --> 00:03:55.000]  但可能你都知道
[00:03:55.000 --> 00:03:58.000]  就算你有最深愛嘅人
[00:03:58.000 --> 00:04:01.000]  對咁深愛嘅人
[00:04:01.000 --> 00:04:04.000]  有時都會令你傷心
[00:04:04.000 --> 00:04:06.000]  唔係佢特登
