
[00:00:00.000 --> 00:00:01.840]  在我分享上了這個話語之先
[00:00:01.840 --> 00:00:03.840]  我們都一齊來禱告
[00:00:03.840 --> 00:00:08.900]  我們主耶穌我們的上帝
[00:00:08.900 --> 00:00:10.900]  我們在祢面前
[00:00:10.900 --> 00:00:14.480]  願意來釋放祢的話語
[00:00:14.480 --> 00:00:16.480]  打開我們的心
[00:00:16.480 --> 00:00:19.080]  讓祢的話語進入我們的心裏面
[00:00:19.080 --> 00:00:21.080]  成為生命的亮光和指引
[00:00:21.080 --> 00:00:23.080]  我們就遵主旨意而行
[00:00:23.080 --> 00:00:23.880]  我們的禱告
[00:00:23.880 --> 00:00:25.880]  乃奉我主耶穌基督的名字而求
[00:00:25.880 --> 00:00:27.880]  阿門
[00:00:29.280 --> 00:00:31.280]  我畢業已經有十年
[00:00:31.280 --> 00:00:33.280]  但在這十年當中
[00:00:33.280 --> 00:00:39.280]  這次是我第二次在婦女主義的崇拜裏面講道
[00:00:39.280 --> 00:00:41.280]  所以我是很少講婦女主義的
[00:00:41.280 --> 00:00:45.280]  當加勒牧師邀請我去講婦女主義的時候
[00:00:45.280 --> 00:00:47.280]  我也有一下子的猶豫
[00:00:47.280 --> 00:00:49.280]  但最終我還是答應了
[00:00:49.280 --> 00:00:54.280]  在準備今天的這個訊息的時候
[00:00:54.280 --> 00:00:58.280]  讓我想起我自己一小小的經歷
[00:00:58.280 --> 00:01:04.280]  就是我想起我在青少年時期
[00:01:04.280 --> 00:01:06.280]  有一段時間
[00:01:06.280 --> 00:01:09.280]  我是很想做男孩子的
[00:01:09.280 --> 00:01:12.280]  不知道是不是因為我家裏
[00:01:12.280 --> 00:01:14.280]  我家裏是六兄弟姐妹
[00:01:14.280 --> 00:01:16.280]  五個女兒
[00:01:16.280 --> 00:01:18.280]  一個兒子
[00:01:18.280 --> 00:01:22.280]  所以我就看到我哥哥在家裏
[00:01:22.280 --> 00:01:24.280]  是多麼備受眾矢
[00:01:24.280 --> 00:01:28.280]  如果我也是男孩子就好了
[00:01:28.280 --> 00:01:30.280]  但當然另外一樣
[00:01:30.280 --> 00:01:32.280]  我為什麼這麼想做男孩子
[00:01:32.280 --> 00:01:34.280]  就是我覺得做男孩子
[00:01:34.280 --> 00:01:36.280]  有些事情好像男孩子做到
[00:01:36.280 --> 00:01:38.280]  而女孩子做不到
[00:01:38.280 --> 00:01:42.280]  特別當時我再大一點
[00:01:42.280 --> 00:01:44.280]  我很想自己一個人去旅行
[00:01:44.280 --> 00:01:48.280]  但因為我是女孩子
[00:01:48.280 --> 00:01:50.280]  家裏是一個女兒
[00:01:50.280 --> 00:01:52.280]  所以我就沒有這個機會
[00:01:52.280 --> 00:01:56.280]  不過到我再去一路成長
[00:01:56.280 --> 00:02:00.280]  這個念頭我完全打消了
[00:02:00.280 --> 00:02:05.280]  我打消了我很想做男孩子的念頭
[00:02:05.280 --> 00:02:08.280]  雖然可能當時我仍然覺得
[00:02:08.280 --> 00:02:09.280]  做女孩子或者做男孩子
[00:02:09.280 --> 00:02:11.280]  始終都有一些分別
[00:02:11.280 --> 00:02:16.280]  但我很感謝上帝給我
[00:02:16.280 --> 00:02:18.280]  我是作為一個女性
[00:02:18.280 --> 00:02:19.280]  我很享受
[00:02:19.280 --> 00:02:21.280]  我能夠作為一個女性
[00:02:21.280 --> 00:02:23.280]  我如何去發揮我自己
[00:02:23.280 --> 00:02:25.280]  在女性當中的一些獨特
[00:02:25.280 --> 00:02:27.280]  一些特質
[00:02:27.280 --> 00:02:29.280]  我的個性
[00:02:29.280 --> 00:02:32.280]  特別當我有機會被上帝呼召
[00:02:32.280 --> 00:02:36.280]  我去成為去使用的人
[00:02:36.280 --> 00:02:39.280]  我能夠在教會當中去服侍的時候
[00:02:39.280 --> 00:02:41.280]  我更加覺得我很感恩
[00:02:41.280 --> 00:02:42.280]  我可以發揮到
[00:02:42.280 --> 00:02:47.280]  我作為女性的這個特質
[00:02:47.280 --> 00:02:50.280]  今天我揀選了阿比蓋這位婦女
[00:02:50.280 --> 00:02:53.280]  跟大家分享
[00:02:53.280 --> 00:02:55.280]  當我讀到這個故事的時候
[00:02:55.280 --> 00:02:58.280]  我是特別覺得很特別的
[00:02:58.280 --> 00:03:00.280]  阿比蓋是一個很特別的婦女
[00:03:00.280 --> 00:03:02.280]  所以我嘗試在這裡
[00:03:02.280 --> 00:03:05.280]  跟大家一起從阿比蓋這個人物
[00:03:05.280 --> 00:03:07.280]  去分享在當中
[00:03:07.280 --> 00:03:11.280]  我們有什麼可以一起來學習
[00:03:11.280 --> 00:03:14.280]  由於25章的經文都頗長
[00:03:14.280 --> 00:03:16.280]  所以我只揀選了今早
[00:03:16.280 --> 00:03:18.280]  讀23到31節
[00:03:18.280 --> 00:03:19.280]  其實整個故事
[00:03:19.280 --> 00:03:22.280]  25章就是我要所講的整個故事
[00:03:22.280 --> 00:03:25.280]  所以都讓我先交代一下
[00:03:25.280 --> 00:03:28.280]  故事的前半部分
[00:03:28.280 --> 00:03:30.280]  在撒慕爾記上
[00:03:30.280 --> 00:03:31.280]  這一章是比較特別的
[00:03:31.280 --> 00:03:35.280]  因為撒慕爾記上的24和26章
[00:03:35.280 --> 00:03:39.280]  是記載大衛被蘇羅追殺
[00:03:39.280 --> 00:03:44.280]  而這兩次大衛和蘇羅相遇的過程
[00:03:44.280 --> 00:03:47.280]  大衛其實有機會加害於蘇羅
[00:03:47.280 --> 00:03:49.280]  但大衛沒有這樣做
[00:03:49.280 --> 00:03:51.280]  而今天我選的這25章
[00:03:51.280 --> 00:03:55.280]  就是編排在這兩個事件的中間
[00:03:55.280 --> 00:03:57.280]  對於這個編排
[00:03:57.280 --> 00:03:59.280]  其實有不同的聖經學者
[00:03:59.280 --> 00:04:01.280]  他們都有不同的見解
[00:04:01.280 --> 00:04:03.280]  有些學者會研究
[00:04:03.280 --> 00:04:07.280]  大衛和拿伯或者大衛和阿比蓋的互動
[00:04:07.280 --> 00:04:08.280]  有什麼訊息
[00:04:08.280 --> 00:04:11.280]  帶出了一些不同的訊息和神學思考
[00:04:11.280 --> 00:04:13.280]  不過今天我會
[00:04:13.280 --> 00:04:19.280]  只集中看阿比蓋這個人物
[00:04:19.280 --> 00:04:21.280]  在整章的聖經裏面
[00:04:21.280 --> 00:04:24.280]  都是講述在巴蘭曠野
[00:04:24.280 --> 00:04:26.280]  有一個地方叫馬雲
[00:04:26.280 --> 00:04:30.280]  有一個很富有的農民叫拿伯
[00:04:30.280 --> 00:04:33.280]  和他的妻子阿比蓋
[00:04:33.280 --> 00:04:37.280]  他們怎樣和大衛相遇
[00:04:37.280 --> 00:04:41.280]  拿伯和阿比蓋是兩個完全不同性格的人
[00:04:41.280 --> 00:04:43.280]  聖經有形容
[00:04:43.280 --> 00:04:46.280]  拿伯的性情是剛愎兇惡
[00:04:46.280 --> 00:04:48.280]  行事愚頑
[00:04:48.280 --> 00:04:50.280]  就好像他的名字
