
[00:00:00.000 --> 00:00:04.500]  今年我們的主題名為「我是誰都倫社」
[00:00:04.500 --> 00:00:09.500]  主要是想講到我們在本地都有很多跨文化的體驗
[00:00:09.500 --> 00:00:12.500]  以至我們可以關心我們的倫社
[00:00:12.500 --> 00:00:15.500]  我們是誰的倫社呢?我們有沒有願意去了解他們呢?
[00:00:15.500 --> 00:00:18.000]  請你望一望你旁邊那個人
[00:00:18.000 --> 00:00:19.500]  然後問一問他
[00:00:19.500 --> 00:00:21.500]  我算不算是你的倫社呢?
[00:00:27.000 --> 00:00:30.000]  如果你發現你很有善去你旁邊那個微笑
[00:00:30.000 --> 00:00:34.000]  不過他對你完全沒有任何善意的眼光回報的話
[00:00:34.000 --> 00:00:36.000]  那你要檢討一下自己了
[00:00:36.000 --> 00:00:41.000]  願意我們作為一個群體一同去學習
[00:00:41.000 --> 00:00:43.500]  怎樣去活出基督給我們的使命
[00:00:43.500 --> 00:00:45.000]  好讓我們在近處
[00:00:45.000 --> 00:00:48.000]  在遠處都能夠為主造炎造光
[00:00:48.000 --> 00:00:51.000]  參與在這個普世宣教的使命當中
[00:00:51.000 --> 00:00:52.000]  如果你有聖經的話
[00:00:52.000 --> 00:00:54.000]  我鼓勵你一同去擁抱神的話語
[00:00:54.000 --> 00:00:55.000]  我們一起祈禱
[00:00:58.000 --> 00:01:00.000]  天主上我們多謝你
[00:01:00.000 --> 00:01:02.000]  讓我們作為一個群體
[00:01:02.000 --> 00:01:04.000]  一同在你們面前
[00:01:04.000 --> 00:01:06.000]  向你獻上我們的敬拜
[00:01:06.000 --> 00:01:10.000]  因為我們知道你是各位配得我們敬拜的主
[00:01:10.000 --> 00:01:13.000]  但當我們思想到很多人還沒有認識你
[00:01:13.000 --> 00:01:16.000]  他們沒有這個福分去敬拜你的時候
[00:01:16.000 --> 00:01:19.000]  主日就求你叫我們心裏面
[00:01:19.000 --> 00:01:21.000]  願意作出這個回應
[00:01:21.000 --> 00:01:23.000]  願意的可以和他們分享這個福音
[00:01:23.000 --> 00:01:25.000]  好讓他們都能夠認識你
[00:01:25.000 --> 00:01:27.000]  一同去敬拜你
[00:01:27.000 --> 00:01:29.000]  但我們開我們的眼睛
[00:01:29.000 --> 00:01:30.000]  讓我們發現到
[00:01:30.000 --> 00:01:33.000]  在香港我們都有很多不同跨文化的侍奉
[00:01:33.000 --> 00:01:34.000]  我們去參與
[00:01:34.000 --> 00:01:36.000]  擴闊我們的視野
[00:01:36.000 --> 00:01:38.000]  看得到你是全地的主
[00:01:38.000 --> 00:01:39.000]  全地的人
[00:01:39.000 --> 00:01:41.000]  全不同的民族
[00:01:41.000 --> 00:01:42.000]  都是你所創造
[00:01:42.000 --> 00:01:43.000]  是你所愛的
[00:01:43.000 --> 00:01:46.000]  好讓我們能夠從心裏面
[00:01:46.000 --> 00:01:48.000]  願意的去跟隨
[00:01:48.000 --> 00:01:49.000]  去回應你
[00:01:49.000 --> 00:01:50.000]  給我們的使命
[00:01:50.000 --> 00:01:52.000]  我們將這一刻的時間
[00:01:52.000 --> 00:01:55.000]  恭敬在你的手中
[00:01:55.000 --> 00:01:57.000]  求你親自向我們說話
[00:01:57.000 --> 00:01:59.000]  觸動我們的心靈
[00:01:59.000 --> 00:02:00.000]  改變我們的生命
[00:02:00.000 --> 00:02:02.000]  聽我們的祈禱
[00:02:02.000 --> 00:02:05.000]  奉靠耶穌基督得生的名字祈求
[00:02:05.000 --> 00:02:06.000]  阿門
[00:02:06.000 --> 00:02:13.000]  眼不見為乾淨
[00:02:13.000 --> 00:02:17.000]  我們都知道這個是自欺欺人的
[00:02:17.000 --> 00:02:19.000]  不過有時我也會這樣做
[00:02:19.000 --> 00:02:23.000]  我跟Kieran結婚也有差不多七年了
[00:02:23.000 --> 00:02:26.000]  話說我回想起我們在結婚之前的時候
[00:02:26.000 --> 00:02:28.000]  他都會在我家
[00:02:28.000 --> 00:02:30.000]  準備搬進來
[00:02:30.000 --> 00:02:32.000]  看到我的房間就跟我說
[00:02:32.000 --> 00:02:34.000]  有些雜物你要處理一下
[00:02:34.000 --> 00:02:36.000]  這些你就幫我收拾掉
[00:02:36.000 --> 00:02:37.000]  那些不要的
[00:02:37.000 --> 00:02:38.000]  你看看哪些不要就扔掉
[00:02:38.000 --> 00:02:40.000]  我說我明白的
[00:02:40.000 --> 00:02:43.000]  到他走了之後
[00:02:43.000 --> 00:02:44.000]  我就看一看
[00:02:44.000 --> 00:02:46.000]  我將那一堆東西
[00:02:46.000 --> 00:02:49.000]  有些可能是我以前的獎牌
[00:02:49.000 --> 00:02:52.000]  有些是我以前的卡片
[00:02:52.000 --> 00:02:54.000]  有些是不知道別人寫什麼信給我
[00:02:54.000 --> 00:02:56.000]  有些是什麼紀念品
[00:02:56.000 --> 00:02:57.000]  我全部都放在箱子裡
