
[00:00:00.000 --> 00:00:03.000]  很多教會都很強調
[00:00:03.000 --> 00:00:06.200]  我們希望多些頂尖的去了解認識聖經
[00:00:06.200 --> 00:00:09.000]  聖經亦都能夠很實用
[00:00:09.000 --> 00:00:14.000]  我覺得聖經如果你細心去研讀聖經
[00:00:14.000 --> 00:00:15.500]  發覺聖經裏面很多的東西
[00:00:15.500 --> 00:00:19.000]  雖然你說是幾千年前的一本書
[00:00:19.000 --> 00:00:24.500]  但是仍然今天有很多很多裏面的教導
[00:00:24.500 --> 00:00:28.200]  都適合我們去應用在我們的生活裏面
[00:00:28.200 --> 00:00:33.000]  所以我們今次講這個衝突的系列
[00:00:33.000 --> 00:00:35.000]  都希望我們無論在家庭裏面
[00:00:35.000 --> 00:00:36.000]  在教會裏面
[00:00:36.000 --> 00:00:37.500]  在人際關係裏面
[00:00:37.500 --> 00:00:38.500]  我們遇到衝突的時候
[00:00:38.500 --> 00:00:42.000]  如何應用聖經裏面的原則和教導
[00:00:42.000 --> 00:00:45.000]  去幫助我們去處理衝突
[00:00:45.000 --> 00:00:49.000]  周協倫傳道他在這裏講到
[00:00:49.000 --> 00:00:54.000]  為什麼這麼難彼此和平相處
[00:00:54.000 --> 00:00:55.000]  其實真的很簡單
[00:00:55.000 --> 00:00:58.000]  因為我們每一個人都是罪人
[00:00:58.000 --> 00:01:01.000]  我們都是一群被寬恕的
[00:01:01.000 --> 00:01:02.000]  所以在社會裏面
[00:01:02.000 --> 00:01:03.000]  在工作間裏面
[00:01:03.000 --> 00:01:04.000]  在家庭裏面
[00:01:04.000 --> 00:01:06.000]  甚至在教會裏面
[00:01:06.000 --> 00:01:08.000]  我們都不是完全的人
[00:01:08.000 --> 00:01:10.000]  所以我們看事物的眼光
[00:01:10.000 --> 00:01:15.000]  都是用了一個有罪的有色眼鏡去看很多東西
[00:01:15.000 --> 00:01:18.000]  所以才會有民主黨和共和黨
[00:01:18.000 --> 00:01:20.000]  如果你未投票的話
[00:01:20.000 --> 00:01:23.000]  記住接下來要去投票
[00:01:23.000 --> 00:01:25.000]  沒有人是完全的
[00:01:25.000 --> 00:01:30.000]  所以我們才會有機會去面對衝突
[00:01:30.000 --> 00:01:32.000]  所以今天我選的經文四行傳
[00:01:32.000 --> 00:01:34.000]  第六章一至七節裏面
[00:01:34.000 --> 00:01:36.000]  也講了初期教會
[00:01:36.000 --> 00:01:39.000]  其實是人類歷史上第一間教會
[00:01:39.000 --> 00:01:42.000]  面對一次衝突的危機
[00:01:42.000 --> 00:01:46.000]  這個衝突危機其實可能是來自一次的誤會
[00:01:46.000 --> 00:01:48.000]  我們讀聖經之前
[00:01:48.000 --> 00:01:51.000]  我想和大家講一個聖經的故事
[00:01:51.000 --> 00:01:54.000]  我覺得聖經的故事也很能夠幫助我們去明白
[00:01:54.000 --> 00:01:57.000]  當中的一些歷史
[00:01:57.000 --> 00:01:59.000]  以古遇今
[00:01:59.000 --> 00:02:01.000]  其實來來去去都是一樣的
[00:02:01.000 --> 00:02:06.000]  這些誤會都是來自人的有罪的有色眼鏡
[00:02:06.000 --> 00:02:12.000]  這件故事是記載在約書亞記第二十二章
[00:02:12.000 --> 00:02:16.000]  如果你有看過約書亞記或者看舊約
[00:02:16.000 --> 00:02:18.000]  你會明白當時的環境
[00:02:18.000 --> 00:02:24.000]  約書亞基本上已經佔領了很多重要的城市
[00:02:24.000 --> 00:02:26.000]  在迦南地裏面
[00:02:26.000 --> 00:02:28.000]  開始分地
[00:02:28.000 --> 00:02:30.000]  分了地之後
[00:02:30.000 --> 00:02:34.000]  於是有兩個半的支派
[00:02:34.000 --> 00:02:36.000]  和有十個支派
[00:02:36.000 --> 00:02:39.000]  分了地後回到自己所屬的土地
[00:02:39.000 --> 00:02:41.000]  有兩個半支派
[00:02:41.000 --> 00:02:44.000]  去了一單河的東邊
[00:02:44.000 --> 00:02:48.000]  就是他們原本在摩西分地時分給他們的土地
[00:02:48.000 --> 00:02:50.000]  在當中安居
