
[00:00:00.000 --> 00:00:01.140]  各位頂展會平安
[00:00:01.140 --> 00:00:06.220]  今天很高興再次和大家一起去到學習上帝的話語
[00:00:06.220 --> 00:00:11.520]  雖然因著未來我去到進修聖經研究的緣故要暫別大家
[00:00:11.520 --> 00:00:15.360]  但我相信在上帝所安排的時間裏面
[00:00:15.360 --> 00:00:19.460]  我們必然有機會再次一同在上帝的話語裏面
[00:00:19.460 --> 00:00:20.480]  一同學習
[00:00:20.480 --> 00:00:21.760]  以及去到長進
[00:00:21.760 --> 00:00:26.620]  今天我們繼續啟示錄的講道是一個門訓的系列
[00:00:26.620 --> 00:00:29.700]  當年今天的經文是比較短的
[00:00:30.200 --> 00:00:30.720]  只有四節
[00:00:30.720 --> 00:00:32.000]  只有五節
[00:00:32.000 --> 00:00:34.040]  只有五節六節
[00:00:34.040 --> 00:00:35.320]  十五節十九節
[00:00:35.320 --> 00:00:37.380]  其實這幾節雖然短
[00:00:37.380 --> 00:00:43.520]  雖然好像和前面我們講兩個的見證人
[00:00:43.520 --> 00:00:46.340]  和後面的段落好像有些分別
[00:00:46.340 --> 00:00:51.460]  但這段經文其實是扮演一個承上啟下的作用
[00:00:51.460 --> 00:00:53.500]  為何這樣說呢
[00:00:53.500 --> 00:00:55.800]  這裏先要有個概覽
[00:00:56.320 --> 00:01:00.940]  其實在啟示錄裏面有七印
[00:01:00.940 --> 00:01:03.240]  七號和七腕
[00:01:03.240 --> 00:01:06.040]  我們今天看的是七號的結尾
[00:01:06.040 --> 00:01:10.920]  大家會留意七號和七腕其實是隔了這幾章的
[00:01:10.920 --> 00:01:13.480]  即是十一到十四章
[00:01:13.480 --> 00:01:19.620]  上一次的門訓系列講到我們討論過十一章的一到十四節
[00:01:19.620 --> 00:01:23.960]  其實那是見證人和地上的人的真正
[00:01:24.480 --> 00:01:27.040]  今天看的幾節經文就是
[00:01:27.040 --> 00:01:28.580]  第七號的內容
[00:01:28.580 --> 00:01:30.620]  但這套劇透露了一樣東西
[00:01:30.620 --> 00:01:34.460]  第七號就不是一個審判的元素
[00:01:34.460 --> 00:01:37.540]  但它並不是講一個審判的內容
[00:01:37.540 --> 00:01:39.840]  反而是一個讚美
[00:01:39.840 --> 00:01:44.440]  如果我們放遠一點我們的眼睛去看
[00:01:44.440 --> 00:01:49.300]  其實十二和十三章就去到一個真戰的部分
[00:01:49.300 --> 00:01:53.400]  其實十二章是這個婦人和大紅龍的真戰
[00:01:53.660 --> 00:01:59.800]  十三章其實是兩隻獸和那些拜她和不拜她的人之間的真戰
[00:01:59.800 --> 00:02:04.660]  第十四章一到五節又是另一個好像很小的插曲
[00:02:04.660 --> 00:02:06.980]  你看同樣是很短的經文
[00:02:06.980 --> 00:02:10.040]  但這個同樣是一個讚美
[00:02:10.040 --> 00:02:17.720]  所以雖然由七號到七腕之間是有幾章的對抗
[00:02:18.240 --> 00:02:26.180]  但大概好像約翰在中間去提醒我們 用兩個敬拜和讚美的片段
[00:02:26.180 --> 00:02:33.860]  即是好像一頭一尾這樣去包住了中間 我們接下來會看十二和十三章 一個比較激烈的對抗
[00:02:33.860 --> 00:02:39.480]  似乎約翰去提醒我們 神其實已經去到得勝
[00:02:39.480 --> 00:02:43.060]  其實我們不是用一個很害怕的角度去看的
[00:02:43.320 --> 00:02:48.440]  因為如果我們看下幾個禮拜的經文 大概那些內容聽上去好像很害怕
[00:02:48.440 --> 00:02:54.080]  但約翰好像提醒我們 焦點並不是對抗有多激烈
[00:02:54.080 --> 00:02:58.940]  而是那個結局一早已經寫了
[00:02:58.940 --> 00:03:05.080]  所以如果用今天的劇情角度來說 這部電視劇就不是很好看的 因為你猜到結局
[00:03:05.080 --> 00:03:10.720]  但對當時的人以致我們來說 這個是非常重要的一個提醒
[00:03:11.480 --> 00:03:15.060]  當年如果我們仔細看這幾節的經文
[00:03:15.060 --> 00:03:18.140]  即是如果大家手上有聖經也可以一同去看的話
[00:03:18.140 --> 00:03:21.980]  十一章十五節其實是一個至誠段落的部分
[00:03:21.980 --> 00:03:25.560]  它是天使第七號的內容
[00:03:25.560 --> 00:03:35.540]  而十六到十八節是二十四個長老的回應來的 即是雖然他們去讚美 但其實是一個對天使的回應
[00:03:35.540 --> 00:03:40.160]  二十九章就講到神在天上的聖殿開了
[00:03:40.400 --> 00:03:45.020]  這是神對長老們的敬拜和第七號的回應
[00:03:45.020 --> 00:03:48.860]  當然這個是用對話的角度去理解
[00:03:48.860 --> 00:03:53.460]  但是如果我們用主題的角度去講 正如我剛才提及
[00:03:53.460 --> 00:03:57.300]  其實長老們的讚美是一個回應
[00:03:57.300 --> 00:04:03.440]  所以十一章十五到十七節 某程度上字眼會看得很類似
[00:04:03.440 --> 00:04:10.100]  是天使和長老好像互相唱和 即是好像對唱一樣回應
[00:04:10.600 --> 00:04:13.680]  而十八到十九節就是長老
[00:04:13.680 --> 00:04:20.080]  在讚美裡面去講神要準備做什麼 而十九章神也準備去開展他的審判
[00:04:20.080 --> 00:04:22.640]  所以
[00:04:22.640 --> 00:04:24.940]  這一段的經文其實對我們
[00:04:24.940 --> 00:04:30.320]  這個時間我們仍然等待耶穌再來的時候 其實是有一個重要的提醒
[00:04:30.320 --> 00:04:32.380]  所以我們先看第一個的主題
[00:04:32.380 --> 00:04:36.200]  我們用主題的角度去看這幾節的經文
[00:04:36.980 --> 00:04:40.560]  第一個主題剛才講到的是神掌權的時刻
[00:04:40.560 --> 00:04:43.380]  即是上帝已經掌權
[00:04:43.380 --> 00:04:47.720]  這個是我們去做見證甚至要
[00:04:47.720 --> 00:04:52.600]  受苦 即是啟示其中一個主題受苦的基礎
[00:04:52.600 --> 00:04:59.260]  當年我們如果有少少印象 我們上一次講到兩個見證人
[00:04:59.260 --> 00:05:03.100]  我們知道見證人是死了的 但是他們復活
[00:05:03.600 --> 00:05:08.980]  而其實那一段的結尾第十四節是這樣講的 他說兩個災禍過去
[00:05:08.980 --> 00:05:11.540]  看下第三個災禍快要來到
[00:05:11.540 --> 00:05:15.880]  如果就這樣聽這節經文 我們
[00:05:15.880 --> 00:05:18.960]  理解的內容應該跟著十五節
[00:05:18.960 --> 00:05:22.800]  應該是講第三個災禍是什麼 是不是 大家應該問好
[00:05:22.800 --> 00:05:27.140]  但正如剛才我講的 即是這裡是一個插曲
[00:05:27.140 --> 00:05:30.480]  所以不單止不是講審判
[00:05:30.740 --> 00:05:34.840]  即是第七號並不是一個恐怖的審判 還是不知道發生了什麼事情
[00:05:34.840 --> 00:05:39.960]  而是一個是天使去吹響號角
[00:05:39.960 --> 00:05:41.480]  的部分
[00:05:41.480 --> 00:05:46.100]  我想邀請大家一起去讀一次我們這裡十四到十五節
[00:05:46.100 --> 00:05:49.680]  第二個災禍過去了
[00:05:49.680 --> 00:05:53.520]  看下第三個災禍快要來到
[00:05:53.520 --> 00:05:56.600]  第七位天使吹響號角
[00:05:56.600 --> 00:05:59.920]  天上就有響亮的聲音說
[00:06:00.180 --> 00:06:05.300]  世界的國度已經屬於我們的主和他的基督了
[00:06:05.300 --> 00:06:09.640]  他要掌望權直到永永遠遠
[00:06:09.640 --> 00:06:18.100]  為什麼是一個讚美呢 好像還沒打完 即是至少我看十一章還沒打完
[00:06:18.100 --> 00:06:20.400]  剛才都講了後面繼續打
[00:06:20.400 --> 00:06:27.580]  大概可能是因為好像很多這些真戰是很容易令人有錯覺
[00:06:28.600 --> 00:06:33.200]  我們的焦點通常是看到一些害怕的東西 我們通常就是在想很害怕或者很恐怖
