
[00:00:00.000 --> 00:00:02.600]  我們今天會開一個新的系列
[00:00:02.600 --> 00:00:04.820]  大家知不知道?
[00:00:04.820 --> 00:00:06.400]  不太知道
[00:00:06.400 --> 00:00:07.600]  不要知道沒關係的
[00:00:07.600 --> 00:00:10.200]  因為他說是和你有關係
[00:00:10.200 --> 00:00:11.680]  啊~這樣
[00:00:11.680 --> 00:00:14.920]  就是講開一些很實際
[00:00:14.920 --> 00:00:18.680]  我們人與人彼此之間有關係
[00:00:18.680 --> 00:00:20.480]  人與人的關係
[00:00:20.480 --> 00:00:25.320]  有很多不同的角色、關係等等
[00:00:25.320 --> 00:00:29.280]  今天會和大家特別去集中去看
[00:00:29.280 --> 00:00:33.600]  這一個關係就是你和你的上一代
[00:00:33.600 --> 00:00:36.080]  你的父母的關係
[00:00:36.080 --> 00:00:38.080]  你和你父母的關係
[00:00:38.080 --> 00:00:40.640]  不如我們有一個祈禱,好嗎?
[00:00:40.640 --> 00:00:44.800]  莊主,我們敬拜你,我們多謝你
[00:00:44.800 --> 00:00:48.360]  在你面前,我們每一個在你的受造
[00:00:48.360 --> 00:00:53.080]  在你給我們的美好的生命的創造裏面有份
[00:00:53.080 --> 00:00:55.760]  多謝耶穌永久因呼召我們
[00:00:55.760 --> 00:00:57.040]  多謝你
[00:00:57.040 --> 00:01:00.240]  正如聖經所說,在我們母福當中
[00:01:00.240 --> 00:01:02.360]  你已經揀選了我們
[00:01:02.360 --> 00:01:05.040]  臣我們經歷不少的日子
[00:01:05.040 --> 00:01:07.360]  與父母的相處、生活
[00:01:07.360 --> 00:01:10.520]  也在當中有不少的建造
[00:01:10.520 --> 00:01:12.680]  也有不少的疊磨
[00:01:12.680 --> 00:01:15.400]  求主幫助我們,今天在你的話語當中
[00:01:15.400 --> 00:01:18.040]  在你給我們彼此分享的裏面
[00:01:18.040 --> 00:01:22.560]  我們能夠看見上帝喜悅的建造的
[00:01:22.560 --> 00:01:25.400]  以及你愛我們這個家庭的關係
[00:01:25.400 --> 00:01:26.440]  多謝耶穌
[00:01:26.440 --> 00:01:28.440]  我們在你面前等候你
[00:01:28.440 --> 00:01:31.080]  禱告,奉耶穌,你的聖名
[00:01:31.080 --> 00:01:32.240]  阿們
[00:01:32.240 --> 00:01:34.920]  好,今天我先跟大家玩一下
