
[00:00:00.000 --> 00:00:04.340]  很高興今天跟政務主席這樣說
[00:00:04.340 --> 00:00:06.440]  又是一個歡悅的日子
[00:00:06.440 --> 00:00:08.800]  亦是一個不太高興的日子
[00:00:08.800 --> 00:00:19.400]  亦是心情比較複雜一點
[00:00:19.400 --> 00:00:24.580]  如果大家上次有來聽我講道的話
[00:00:27.760 --> 00:00:30.640]  講到「羅」的日子
[00:00:30.640 --> 00:00:37.000]  講到很多很負面的新聞
[00:00:37.000 --> 00:00:43.600]  講到特別是道德的沉淪
[00:00:43.600 --> 00:00:57.720]  我們覺得這個世界有不斷的轉變
[00:00:57.760 --> 00:01:02.720]  政權可以轉移
[00:01:02.720 --> 00:01:07.040]  朝代可以更換
[00:01:07.040 --> 00:01:10.480]  但是戰爭可以變為和平
[00:01:10.480 --> 00:01:17.120]  但是道德的沉淪,我看不到會回頭
[00:01:17.120 --> 00:01:22.280]  昨天看新聞
[00:01:22.280 --> 00:01:26.960]  今次的疫症
[00:01:26.960 --> 00:01:32.680]  你是不是以為已經結束了?
[00:01:32.680 --> 00:01:38.800]  我看見有八個都沒有戴口罩
[00:01:38.800 --> 00:01:44.880]  沒有社交距離
[00:01:44.880 --> 00:01:49.880]  你不理我都不可以
[00:01:49.880 --> 00:01:52.920]  如果今天有社交距離,你們沒有位置坐
[00:01:56.960 --> 00:01:59.520]  你應該要坐在教堂旁邊
[00:01:59.520 --> 00:02:04.160]  記得早期,疫症重開之後
[00:02:04.160 --> 00:02:07.280]  記得早期,疫症重開之後
[00:02:07.280 --> 00:02:10.920]  我們很著重社交距離
[00:02:10.920 --> 00:02:15.960]  我們要注意社交距離
[00:02:15.960 --> 00:02:21.000]  要兩米的距離
[00:02:21.000 --> 00:02:22.640]  我們只可以放20張椅子
[00:02:22.640 --> 00:02:24.880]  我們只可以坐20張椅子
[00:02:24.880 --> 00:02:26.960]  今天起碼有超過100人參加
[00:02:26.960 --> 00:02:29.400]  今天我們很高興有100人參加
[00:02:29.400 --> 00:02:31.600]  疫症其實沒有消失
[00:02:31.600 --> 00:02:34.640]  疫症沒有消失
[00:02:34.640 --> 00:02:43.160]  世衛說,今年已經有100萬人死亡
[00:02:43.160 --> 00:02:47.040]  世衛說,今年已經有100萬人死亡
[00:02:47.040 --> 00:02:51.280]  世衛說,今年已經有100萬人死亡
[00:02:51.280 --> 00:02:55.520]  世衛說,今年已經有100萬人死亡
[00:02:55.520 --> 00:02:59.560]  世衛說,今年已經有100萬人死亡
[00:02:59.560 --> 00:03:07.120]  世衛說,今年已經有100萬人死亡
[00:03:07.120 --> 00:03:09.240]  世衛說,今年已經有100萬人死亡
[00:03:09.240 --> 00:03:15.280]  世衛說,今年已經有100萬人死亡
[00:03:15.280 --> 00:03:20.000]  世衛說,今年已經有100萬人死亡
[00:03:20.000 --> 00:03:23.520]  你說道德一直淪亡下去
[00:03:23.520 --> 00:03:28.720]  道德一直淪亡下去
[00:03:28.720 --> 00:03:33.520]  又有這麼多的疫症
[00:03:33.520 --> 00:03:36.480]  這麼多的災難
