
[00:00:00.000 --> 00:00:02.240]  祈求祢親自在當中
[00:00:02.240 --> 00:00:03.460]  我們所信的三一真神
[00:00:03.460 --> 00:00:05.600]  我們宣告祢是一位德性的主
[00:00:05.600 --> 00:00:06.880]  祢是一位醫治的主
[00:00:06.880 --> 00:00:09.120]  祢是帶著權柄
[00:00:09.120 --> 00:00:11.960]  來將這個疫情指著的主
[00:00:11.960 --> 00:00:14.340]  祢也賜給我們權柄向祢宣告
[00:00:14.340 --> 00:00:16.420]  我們可以看到這個疫情
[00:00:16.420 --> 00:00:17.640]  然後祢的手
[00:00:17.640 --> 00:00:19.760]  能夠可以將它平息
[00:00:19.760 --> 00:00:23.040]  將整個疫情能夠得著
[00:00:23.040 --> 00:00:24.840]  主祢自己的作為
[00:00:24.840 --> 00:00:27.720]  我們看到現在很多人都帶著恐懼
[00:00:27.720 --> 00:00:29.000]  帶著憂慮
[00:00:29.000 --> 00:00:30.120]  三孩子奉祢的名
[00:00:30.120 --> 00:00:32.660]  求祢同樣讓祢的愛
[00:00:32.660 --> 00:00:34.520]  進入到我們的生命當中
[00:00:34.520 --> 00:00:37.320]  讓祢的平安進入到我們的生命當中
[00:00:37.320 --> 00:00:38.400]  讓我們中國
[00:00:38.400 --> 00:00:39.280]  讓這個世界
[00:00:39.280 --> 00:00:40.240]  讓香港
[00:00:40.240 --> 00:00:41.040]  每一個地方
[00:00:41.040 --> 00:00:42.840]  韓國、日本、意大利
[00:00:42.840 --> 00:00:44.160]  很多很多的地方
[00:00:44.160 --> 00:00:45.520]  我們要看到
[00:00:45.520 --> 00:00:47.720]  我們要看到我們的神
[00:00:47.720 --> 00:00:48.840]  在這個世界裡面
[00:00:48.840 --> 00:00:50.240]  祢是坐著為王
[00:00:50.240 --> 00:00:52.440]  求祢親自帶著我們
[00:00:52.440 --> 00:00:53.520]  讓我們有信心
[00:00:53.520 --> 00:00:56.080]  繼續在這個時代裡面
[00:00:56.080 --> 00:00:57.800]  我們能夠可以活出
[00:00:57.800 --> 00:00:59.480]  祢要我們活出的見證
[00:00:59.480 --> 00:01:00.920]  求祢就與我們同在
[00:01:00.920 --> 00:01:02.720]  幫助我們
[00:01:02.720 --> 00:01:06.640]  讓上帝繼續帶著我們整個崇拜
[00:01:06.640 --> 00:01:08.840]  讓我們在崇拜當中
[00:01:08.840 --> 00:01:11.720]  能夠聆聽到祢自己的提醒
[00:01:11.720 --> 00:01:12.800]  祢自己的幫助
[00:01:12.800 --> 00:01:13.920]  祢自己的教導
[00:01:13.920 --> 00:01:16.040]  祢自己的安慰
