
[00:00:00.000 --> 00:00:08.000]  各位平安 感謝臣讓我有機會向新徵投和對應節目見面
[00:00:08.000 --> 00:00:11.000]  我其實都是宣導會的人
[00:00:11.000 --> 00:00:13.000]  以前我見到教了十年書
[00:00:13.000 --> 00:00:16.000]  所以我是宣導會外立的
[00:00:16.000 --> 00:00:18.000]  所以其實都是自己人
[00:00:18.000 --> 00:00:21.000]  我接受到這個邀請之後
[00:00:21.000 --> 00:00:23.000]  我就在想
[00:00:23.000 --> 00:00:29.000]  大年初一當然是說些有福的 祝福的說話
[00:00:29.000 --> 00:00:31.000]  但又不可以那麼俗套
[00:00:31.000 --> 00:00:34.000]  沒有理由恭喜大家 恭喜發財
[00:00:34.000 --> 00:00:38.000]  但立即就想起耶穌的八福
[00:00:38.000 --> 00:00:40.000]  有福了
[00:00:40.000 --> 00:00:44.000]  但是你不可能在那麼短時間內說完八福
[00:00:44.000 --> 00:00:47.000]  很明顯第一福就是最重要
[00:00:47.000 --> 00:00:52.000]  所以今天我和大家思想的八福的第一福
[00:00:52.000 --> 00:00:57.000]  「虛心的人有福了,因為天國是投不敵」
[00:00:57.000 --> 00:00:59.000]  我先說一下罪言
[00:00:59.000 --> 00:01:01.000]  當時很多人跟著耶穌
[00:01:01.000 --> 00:01:03.000]  剛才主席幫他讀
[00:01:03.000 --> 00:01:05.000]  耶穌走遍加利利
[00:01:05.000 --> 00:01:07.000]  在會堂教訓很多人
[00:01:07.000 --> 00:01:09.000]  「傳天下福音,醫治百姓」
[00:01:09.000 --> 00:01:11.000]  他的名聲傳到敘利亞那麼遠
[00:01:11.000 --> 00:01:15.000]  有人說其實作者馬太在安提柯寫《馬太福音》
[00:01:15.000 --> 00:01:18.000]  因為安提柯就是敘利亞的首都
[00:01:18.000 --> 00:01:21.000]  當時耶穌的名聲傳到敘利亞
[00:01:21.000 --> 00:01:23.000]  所以作者這樣說
[00:01:23.000 --> 00:01:27.000]  到了敘利亞
[00:01:27.000 --> 00:01:35.000]  於是那些人就把病、鬼附、癲間、癱瘓都帶來
[00:01:35.000 --> 00:01:38.000]  找耶穌幫幫他們
[00:01:38.000 --> 00:01:41.000]  這幫人古代來說治病是很辛苦的
[00:01:41.000 --> 00:01:45.000]  通常治病的人都是貧病教逼
[00:01:45.000 --> 00:01:48.000]  所以耶穌又治好病又餵飽人
[00:01:48.000 --> 00:01:50.000]  所以那些人就湧到來跟耶穌
[00:01:50.000 --> 00:01:52.000]  耶穌一群人跟著他
[00:01:52.000 --> 00:01:55.000]  所以作者說當下有許多人從加利利
[00:01:55.000 --> 00:01:57.000]  比加波利
[00:01:57.000 --> 00:01:59.000]  即是加利利之外
[00:01:59.000 --> 00:02:01.000]  這個字Decabris就是十個城市
[00:02:01.000 --> 00:02:03.000]  然後耶路撒冷
[00:02:03.000 --> 00:02:04.000]  猶太傳遞
[00:02:04.000 --> 00:02:06.000]  約旦河外
[00:02:06.000 --> 00:02:08.000]  是東面的地方
[00:02:08.000 --> 00:02:10.000]  來跟隨他
[00:02:10.000 --> 00:02:12.000]  所以耶穌是一個很偉大的拉比
[00:02:12.000 --> 00:02:17.000]  當時他帶動了一個很勁的信仰更生運動
[00:02:17.000 --> 00:02:21.000]  那麼人多是不是最好呢?
[00:02:21.000 --> 00:02:23.000]  那肯定比沒有好
[00:02:23.000 --> 00:02:27.000]  所以五章第一節說耶穌看見有許多人
