
[00:00:00.000 --> 00:00:07.280]  如果我們要去形容我們三位一體獨一的真誠的時候
[00:00:07.280 --> 00:00:12.960]  大家會怎樣形容我們對於這個三位一體的神的屬性
[00:00:12.960 --> 00:00:14.320]  我們會怎樣形容他呢?
[00:00:14.320 --> 00:00:15.520]  給大家一些提示
[00:00:15.520 --> 00:00:19.200]  如果大家剛才祈禱的時候有留意到少兒姐妹
[00:00:19.200 --> 00:00:22.240]  她一開始就提了兩個上帝的屬性
[00:00:22.240 --> 00:00:24.160]  是哪兩個呢?
[00:00:24.160 --> 00:00:29.920]  慈愛和公義
[00:00:29.920 --> 00:00:32.800]  除了慈愛和公義之外
[00:00:32.800 --> 00:00:35.680]  我們還會怎樣去形容我們的上主呢?
[00:00:35.680 --> 00:00:46.160]  聖潔、全知、全能、無所不在、自有永有、永恆不變等等
[00:00:46.160 --> 00:00:49.360]  在今天的經文裏面提到
[00:00:49.360 --> 00:00:51.360]  我是首先的也是末後的
[00:00:51.360 --> 00:00:53.360]  除我以外再沒有神
[00:00:53.360 --> 00:00:57.360]  我是首先的我是末後的
[00:00:57.360 --> 00:01:01.360]  其實這個說話連同今天的經文
[00:01:01.360 --> 00:01:06.400]  在二賽亞書裏面總共大概出現了三次
[00:01:06.400 --> 00:01:09.200]  分別就是41章的第4節
[00:01:09.200 --> 00:01:11.440]  以及48章的第12節
[00:01:11.440 --> 00:01:16.720]  這句說話其實是上主對於自己的自我表述
[00:01:16.720 --> 00:01:26.000]  而上主這一番的自我表述和我們今天的猜拳主人有什麼關係呢?
[00:01:26.000 --> 00:01:29.200]  我先邀請大家去打開今天的經文
[00:01:29.200 --> 00:01:33.200]  二賽亞書44章第6至第8節
[00:01:33.200 --> 00:01:37.200]  二賽亞書44章第6至第8節的經文
[00:01:47.200 --> 00:01:51.200]  大家先保留著這一頁的聖經
[00:01:51.200 --> 00:01:53.200]  因為我們今天除了看這一段經文外
[00:01:53.200 --> 00:01:55.200]  也會看其他的經文
[00:01:55.200 --> 00:02:01.200]  打開了這個二賽亞書44章第6至第8節的經文
[00:02:01.200 --> 00:02:13.200]  今天的經文其實都已經在之前講二賽亞書
[00:02:13.200 --> 00:02:17.200]  或者我們說到第二二賽亞的主題裏面
[00:02:17.200 --> 00:02:19.200]  我們經常都會提及背景是什麼呢?
[00:02:19.200 --> 00:02:23.200]  就是以色列文已經是秘魯巴比倫已經有一段日子
[00:02:23.200 --> 00:02:29.200]  當以色列文經歷了上主審判之後
[00:02:29.200 --> 00:02:33.200]  亦即是二賽亞書的第一章至第39章的經文內容
[00:02:33.200 --> 00:02:43.200]  但是到了四十至五十五章的經文內容由原本審判的主題轉為救贖的主題
[00:02:43.200 --> 00:02:51.200]  特別我們看一看大家保留著44章第6至第8節的經文
[00:02:51.200 --> 00:02:55.200]  我們再揭一前少少四十章一到二節
[00:02:55.200 --> 00:02:59.200]  大家揭一揭四十章一到二節的經文
[00:03:03.200 --> 00:03:07.200]  二賽亞書四十章一到二節的經文
[00:03:07.200 --> 00:03:11.200]  如果揭開的我邀請大家一起去讀
[00:03:11.200 --> 00:03:13.200]  預備一二三
[00:03:33.200 --> 00:03:39.200]  若果二賽亞書我們俗稱第二二賽亞
[00:03:39.200 --> 00:03:43.200]  即是四十章至到五十五章的經文裏面
[00:03:43.200 --> 00:03:47.200]  是關於安慰以及救贖這個主題
[00:03:47.200 --> 00:03:52.200]  但是我們揭回去四十四章六到八節今天的經文
[00:03:52.200 --> 00:03:57.200]  好像又沒有什麼直接關係和這個主題
[00:03:57.200 --> 00:04:02.200]  在四十四章六到八節的經文更似
[00:04:02.200 --> 00:04:09.200]  剛才我提及的就是上主的自述多過救贖的主題
[00:04:09.200 --> 00:04:13.200]  弟兄姊妹我們要細心去閱讀的時候
[00:04:13.200 --> 00:04:17.200]  我們會發現其實四十四章六到八節的經文
[00:04:17.200 --> 00:04:20.200]  很強烈表達一個主題
[00:04:20.200 --> 00:04:24.200]  就是上主是獨一的真神
[00:04:24.200 --> 00:04:31.200]  這一種的一神觀其實和救贖的主題息息相關
[00:04:31.200 --> 00:04:34.200]  對於當時的以色列民而言
[00:04:34.200 --> 00:04:37.200]  他們已經身處在巴比倫已經有一段日子
[00:04:37.200 --> 00:04:42.200]  巴比倫當時充滿敬拜偶像的風氣
[00:04:42.200 --> 00:04:47.200]  在四十四章九至到二十節
[00:04:47.200 --> 00:04:53.200]  其實反映當時的人是會為假神去製造偶像
[00:04:53.200 --> 00:04:57.200]  並且會向這些的神像去叩拜
[00:04:57.200 --> 00:05:03.200]  向他們祈禱去求他們施行拯救
[00:05:03.200 --> 00:05:06.200]  我們一起看一看四十四章十七節
[00:05:06.200 --> 00:05:08.200]  它裏面這樣提到
[00:05:08.200 --> 00:05:13.200]  然後又用剩下的一半做了一個神明
[00:05:13.200 --> 00:05:16.200]  就是雕刻的偶像
[00:05:16.200 --> 00:05:19.200]  向這偶像服服叩拜
[00:05:19.200 --> 00:05:23.200]  向他禱告說求你拯救我
[00:05:23.200 --> 00:05:27.200]  因你是我的神明
[00:05:27.200 --> 00:05:31.200]  我們看見其實當時有一班人
[00:05:31.200 --> 00:05:34.200]  為了假神去製造偶像
[00:05:34.200 --> 00:05:37.200]  亦都去拜這些偶像
[00:05:37.200 --> 00:05:41.200]  甚至乎在四十四章十八節
[00:05:41.200 --> 00:05:44.200]  他們的經文才知道去形容他們
[00:05:44.200 --> 00:05:49.200]  其實是無知又不思想
[00:05:49.200 --> 00:05:57.200]  這班人是一班心硬眼狠耳朵發沉的群體
[00:05:57.200 --> 00:06:01.200]  以為他們所製造出來的神像
[00:06:01.200 --> 00:06:04.200]  可以幫到他們
[00:06:04.200 --> 00:06:06.200]  可以拯救他們
[00:06:06.200 --> 00:06:10.200]  但是在四十四章二十節提到
[00:06:10.200 --> 00:06:12.200]  這班人的舉動
[00:06:12.200 --> 00:06:16.200]  其實沒有辦法得到真正的拯救
[00:06:16.200 --> 00:06:19.200]  基於這種背景情況之下
[00:06:19.200 --> 00:06:22.200]  先知福術上主的自述之中
[00:06:22.200 --> 00:06:26.200]  刻意去表達上主他是真實
[00:06:26.200 --> 00:06:29.200]  以及他是獨一的神
[00:06:29.200 --> 00:06:32.200]  目的其實就是要對抗
[00:06:32.200 --> 00:06:36.200]  當時人民向偶像追求
[00:06:36.200 --> 00:06:39.200]  敬拜偶像的環境和風氣
[00:06:39.200 --> 00:06:41.200]  我們一起再一次去看一看
[00:06:41.200 --> 00:06:43.200]  第六至第七節
[00:06:43.200 --> 00:06:45.200]  關於上主的自述
[00:06:45.200 --> 00:06:47.200]  第六至第七節裡說到
[00:06:47.200 --> 00:06:49.200]  我是首先也是末後
[00:06:49.200 --> 00:06:51.200]  除我以外再沒有神
[00:06:51.200 --> 00:06:54.200]  自從古時我設立人
[00:06:54.200 --> 00:06:58.200]  誰能將我宣告陳明
[00:06:58.200 --> 00:07:02.200]  又為自己陳述呢
[00:07:02.200 --> 00:07:08.200]  讓他指明未來的事和必成的事吧
[00:07:08.200 --> 00:07:10.200]  我是首先也是末後
[00:07:10.200 --> 00:07:11.200]  這一番的自述
[00:07:11.200 --> 00:07:16.200]  表達上主其實是歷史的主
[00:07:16.200 --> 00:07:20.200]  歷史的開始歷史的終結
[00:07:20.200 --> 00:07:23.200]  都是屬於上主
[00:07:23.200 --> 00:07:27.200]  上主是一切的開始
[00:07:27.200 --> 00:07:30.200]  也是一切的結束
[00:07:30.200 --> 00:07:34.200]  他才是歷史上的主宰
[00:07:34.200 --> 00:07:39.200]  沒有任何神明可以和他媲美
[00:07:39.200 --> 00:07:42.200]  所以去到第七節上主提到
[00:07:42.200 --> 00:07:45.200]  誰能將我宣告
[00:07:45.200 --> 00:07:48.200]  指明又為自己陳述呢
[00:07:48.200 --> 00:07:54.200]  讓他指明未來的事和必成的事吧
[00:07:54.200 --> 00:07:57.200]  其實這句說話
[00:07:57.200 --> 00:08:00.200]  如果更貼馬索拉文本的翻譯
[00:08:00.200 --> 00:08:03.200]  其實我們可以參考新譯本
[00:08:03.200 --> 00:08:05.200]  新譯本裡面這樣翻譯第七節
[00:08:05.200 --> 00:08:09.200]  誰將我呢讓他宣告
