
[00:00:00.000 --> 00:00:04.080]  我們先做一次同心的祈禱
[00:00:04.080 --> 00:00:05.960]  因主我們獻上感恩
[00:00:05.960 --> 00:00:08.000]  祢讓我們今天有很好的天氣
[00:00:08.000 --> 00:00:09.400]  很舒服的環境
[00:00:09.400 --> 00:00:11.040]  一起去崇拜祢
[00:00:11.040 --> 00:00:12.160]  願祢賜福
[00:00:12.160 --> 00:00:15.600]  讓我們在敬拜當中去看見祢的豐富
[00:00:15.600 --> 00:00:17.000]  看見祢的精彩
[00:00:17.000 --> 00:00:19.080]  以致我們能夠專心一意
[00:00:19.080 --> 00:00:21.120]  將最大的榮美歸給祢
[00:00:21.120 --> 00:00:22.040]  願祢與我們同在
[00:00:22.040 --> 00:00:23.120]  願本人口中的言語
[00:00:23.120 --> 00:00:24.800]  弟兄姊妹之間的心思意念
[00:00:24.800 --> 00:00:25.760]  蒙聖靈的啟迪
[00:00:25.760 --> 00:00:26.800]  蒙主的月立
[00:00:26.800 --> 00:00:28.840]  禱告奉耶穌基督的名
[00:00:28.840 --> 00:00:30.240]  大吾阿彌陀佛
[00:00:30.240 --> 00:00:34.400]  各位電視節目朋友
[00:00:34.400 --> 00:00:39.320]  前一陣子有一個很特別的對話
[00:00:39.320 --> 00:00:44.720]  有一位剛剛認識信仰的朋友跟我聊天
[00:00:44.720 --> 00:00:46.040]  當他跟我聊天的時候
[00:00:46.040 --> 00:00:47.920]  他就問我一些問題
[00:00:47.920 --> 00:00:49.000]  他就跟我說
[00:00:49.000 --> 00:00:50.320]  牧師呀牧師
[00:00:50.320 --> 00:00:55.080]  你應該很熟悉聖經的事情吧
[00:00:55.080 --> 00:00:58.720]  通常問一句話都是有點難題
[00:00:58.720 --> 00:01:00.760]  我當然回答他
[00:01:00.760 --> 00:01:01.800]  你問吧
[00:01:01.800 --> 00:01:03.000]  雖然未必很熟
[00:01:03.000 --> 00:01:03.920]  他就問
[00:01:03.920 --> 00:01:05.120]  牧師呀牧師呀
[00:01:05.120 --> 00:01:08.000]  教會經常說耶穌
[00:01:08.000 --> 00:01:13.320]  耶穌姓什麼的?
[00:01:13.320 --> 00:01:15.160]  我一開始的反應是
