
[00:00:00.000 --> 00:00:03.160]  好,我們在神的面前先有一個禱告
[00:00:03.160 --> 00:00:07.160]  祈禱上帝,求祢賜我力量
[00:00:07.160 --> 00:00:11.600]  保守,稍後我們的分享
[00:00:11.600 --> 00:00:15.240]  也願意神祢和我們每一個人同在開你的眼睛
[00:00:15.240 --> 00:00:17.720]  祈禱奉耶穌的聖名
[00:00:17.720 --> 00:00:20.740]  剛才讀到的是創世紀
[00:00:20.740 --> 00:00:23.120]  講到神創和天地的記載
[00:00:23.120 --> 00:00:26.560]  講到天地的來歷,宇宙的起源
[00:00:26.560 --> 00:00:29.140]  很多人信科學,不信聖經
[00:00:29.840 --> 00:00:32.900]  有一次,跟一位內地研究生講到
[00:00:32.900 --> 00:00:35.200]  神創和天地的問題
[00:00:35.200 --> 00:00:38.340]  他說這些只是故事
[00:00:38.340 --> 00:00:42.260]  是神話,不可以當真
[00:00:42.260 --> 00:00:45.520]  反而很肯定地告訴我
[00:00:45.520 --> 00:00:47.360]  宇宙的真正起源
[00:00:47.360 --> 00:00:48.760]  是始於
[00:00:48.760 --> 00:00:54.220]  138億年前的一次大爆炸
[00:00:54.220 --> 00:00:57.680]  宇宙到現在仍然不斷膨脹
[00:00:58.360 --> 00:01:00.280]  他所講的大爆炸
[00:01:00.280 --> 00:01:02.020]  其實是上世紀四十年代
[00:01:02.020 --> 00:01:06.220]  George Carmel 所講的大爆炸理論
[00:01:06.220 --> 00:01:07.900]  The Big Bang Theory
[00:01:07.900 --> 00:01:11.980]  四十年後,劍橋大學的物理學家
[00:01:11.980 --> 00:01:14.380]  Steven Hawking 霍金
[00:01:14.380 --> 00:01:17.080]  1988年的時候出了一本書
[00:01:17.080 --> 00:01:19.300]  叫做《時間簡史》
[00:01:19.300 --> 00:01:24.740]  這本書翻成了四十多種語言
[00:01:24.740 --> 00:01:27.360]  銷量超過一千萬本
[00:01:27.360 --> 00:01:29.360]  影響很大
[00:01:29.360 --> 00:01:31.360]  所以上世紀九十年代
[00:01:31.360 --> 00:01:33.360]  一講到宇宙的起源
[00:01:33.360 --> 00:01:35.360]  有一個流行的說法
[00:01:35.360 --> 00:01:38.360]  宇宙誕生於一個極高溫
[00:01:38.360 --> 00:01:40.360]  極大密度的奇點
[00:01:40.360 --> 00:01:43.360]  大約在
[00:01:43.360 --> 00:01:47.360]  138億年前
[00:01:47.360 --> 00:01:49.360]  很厲害的數字
[00:01:49.360 --> 00:01:52.360]  這個奇點發生了一次大爆炸
[00:01:52.360 --> 00:01:55.360]  然後一直在膨脹
[00:01:56.360 --> 00:01:59.360]  逐漸演變成現在我們的宇宙
[00:01:59.360 --> 00:02:01.360]  霍金更說
[00:02:01.360 --> 00:02:03.360]  宇宙膨脹的發現
[00:02:03.360 --> 00:02:06.360]  是二十世紀最偉大的
