
[00:00:00.000 --> 00:00:02.520]  恭喜大家新年快樂
[00:00:02.520 --> 00:00:08.060]  很多人很喜歡在新年的時候
[00:00:08.060 --> 00:00:11.400]  這個
[00:00:11.400 --> 00:00:15.540]  作新年的許願
[00:00:15.540 --> 00:00:22.060]  多數的願望或者目標都達不到
[00:00:22.060 --> 00:00:29.860]  我們可以年年都重複許願
[00:00:31.000 --> 00:00:33.000]  樹立目標
[00:00:33.000 --> 00:00:37.480]  達不到呢
[00:00:37.480 --> 00:00:39.480]  又樹立目標
[00:00:39.480 --> 00:00:42.300]  第二年達不到呢
[00:00:42.300 --> 00:00:44.300]  再樹立目標
[00:00:44.300 --> 00:00:50.200]  再達不到呢
[00:00:50.200 --> 00:00:52.200]  又樹立目標
[00:00:52.200 --> 00:00:55.880]  但是人生呢
[00:00:55.880 --> 00:00:59.760]  不能夠這樣重複
[00:01:01.000 --> 00:01:08.000]  如果要過一個有意義的人生
[00:01:08.000 --> 00:01:11.520]  就要確定你的目標
[00:01:11.520 --> 00:01:14.520]  和要達成這個目標
[00:01:14.520 --> 00:01:18.520]  如果你錯失了這個機會呢
[00:01:18.520 --> 00:01:22.520]  機會可能不再回來
[00:01:22.520 --> 00:01:27.520]  若白認為
[00:01:27.520 --> 00:01:31.520]  在世的日子不過是影兒
[00:01:31.520 --> 00:01:35.520]  摩西的禱告也提到
[00:01:35.520 --> 00:01:39.520]  我們的年日轉眼即逝
[00:01:39.520 --> 00:01:44.520]  我們也如飛而去
[00:01:44.520 --> 00:01:51.520]  保羅也用過眼的雲煙
[00:01:51.520 --> 00:01:55.520]  轉瞬之間就消滅
[00:01:55.520 --> 00:01:59.520]  來形容我們的人生
[00:01:59.520 --> 00:02:03.520]  在十二世紀
[00:02:03.520 --> 00:02:05.520]  有一位教士
[00:02:05.520 --> 00:02:11.520]  聖法蘭西
[00:02:11.520 --> 00:02:14.520]  給我們留下一個好的榜樣
[00:02:14.520 --> 00:02:19.520]  他的貴族家庭
[00:02:19.520 --> 00:02:21.520]  在他年輕的時候
[00:02:21.520 --> 00:02:26.520]  給他過了一個滿足他的私慾的生活
[00:02:26.520 --> 00:02:33.520]  他努力訓練自己成為一個打鬥的武士
[00:02:33.520 --> 00:02:38.520]  夢想成為作戰的時候的英雄
[00:02:38.520 --> 00:02:45.520]  聖法蘭西後來被敵人俘虜了之後
[00:02:47.520 --> 00:02:53.520]  在監獄裡神用聖經的華語打開他的心靈
[00:02:53.520 --> 00:02:59.520]  當時他認識自己是一個罪人
[00:02:59.520 --> 00:03:08.520]  後來他因為和一個麻風病的病人接觸
[00:03:08.520 --> 00:03:12.520]  滿心有喜樂
[00:03:14.520 --> 00:03:19.520]  他就決定傳道成為他人生的目標
[00:03:19.520 --> 00:03:26.520]  而且他還學習那十二個門徒
[00:03:26.520 --> 00:03:32.520]  不帶乾糧、不帶口袋、也不帶錢
[00:03:32.520 --> 00:03:34.520]  只穿一雙鞋
[00:03:34.520 --> 00:03:37.520]  過著一個很簡單的生活
[00:03:45.520 --> 00:03:51.520]  以色列人的歷史給我們一個很寶貴的屬靈的功課
[00:03:51.520 --> 00:03:57.520]  今天訊息的內容是在取自主前五百年
[00:03:57.520 --> 00:04:02.520]  哈蓋先知給神的子民的教訓
[00:04:02.520 --> 00:04:09.520]  幾千年來神都藉著眾先知說
[00:04:10.520 --> 00:04:18.520]  往往是我們信徒走人生路程的寫照
[00:04:18.520 --> 00:04:21.520]  今天訊息的題目
[00:04:21.520 --> 00:04:25.520]  確定人生的目標
[00:04:25.520 --> 00:04:31.520]  保羅教導我們信徒
[00:04:31.520 --> 00:04:34.520]  他說:忘記背後努力面前
[00:04:34.520 --> 00:04:36.520]  向著標竿直跑
[00:04:37.520 --> 00:04:40.520]  要得神在基督耶穌裡
[00:04:40.520 --> 00:04:46.520]  從上面召我來得的獎賞
[00:04:46.520 --> 00:04:50.520]  保羅描寫他自己的一生
[00:04:50.520 --> 00:04:53.520]  打過美好的仗
[00:04:53.520 --> 00:04:55.520]  跑盡當跑的路
[00:04:55.520 --> 00:04:58.520]  守住所信的道
