
[00:00:00.000 --> 00:00:02.400]  過去這個禮拜三
[00:00:02.400 --> 00:00:06.800]  就是禮拜三的黃昏到禮拜四的黃昏這段時間
[00:00:06.800 --> 00:00:10.760]  就是3月4號到5號這一天是普洱節
[00:00:10.760 --> 00:00:16.920]  普洱節是紀念以斯帖跟莫迪改
[00:00:16.920 --> 00:00:19.960]  在對抗哈曼的一個刺激
[00:00:19.960 --> 00:00:23.120]  我不曉得你們讀過以斯帖記的就能夠知道
[00:00:23.120 --> 00:00:25.920]  而且最近很多的基督徒
[00:00:25.920 --> 00:00:30.240]  都特別地進食 警醒再禱告
[00:00:30.240 --> 00:00:34.760]  爲什麼 因爲我們都在求神來制止這個ISIS
[00:00:34.760 --> 00:00:38.160]  我後來才知道ISIS的中文叫伊斯蘭國
[00:00:38.160 --> 00:00:40.800]  禁止這個伊斯蘭國的惡行
[00:00:40.800 --> 00:00:44.080]  特別是來保護在敘利亞的基督教的家庭
[00:00:44.080 --> 00:00:48.960]  還有一些宣教士他們在那裏堅持留守在那裏
[00:00:48.960 --> 00:00:52.280]  真本以斯帖的記的中心
[00:00:52.280 --> 00:00:55.720]  就在以斯帖記的第四章的14節
[00:00:55.720 --> 00:01:00.560]  莫迪改就在那一個刺激中他就跟以斯帖講
[00:01:00.560 --> 00:01:04.240]  他說你此時若閉口不言
[00:01:04.240 --> 00:01:09.360]  那尤大人必從別處得到解脫 蒙拯救
[00:01:09.360 --> 00:01:13.360]  你和你的父家必在 就必自滅亡
[00:01:13.360 --> 00:01:17.440]  他說焉知你得了王后的位分
[00:01:17.440 --> 00:01:20.200]  不是爲了現今的機會嗎
[00:01:20.200 --> 00:01:23.280]  這句話用在我們這個時代裏面
[00:01:23.280 --> 00:01:26.440]  怎麼說呢 我們說
[00:01:26.440 --> 00:01:28.400]  用在我們基督徒身上
[00:01:28.400 --> 00:01:35.600]  就是說 就是ISIS最近一直企圖要殺盡所有的基督徒
[00:01:35.600 --> 00:01:37.840]  迫害整個世界的安危
[00:01:37.840 --> 00:01:40.160]  面對這樣的危機
[00:01:40.160 --> 00:01:44.280]  我們要擺上我們禱告的代價 禱告的力量
[00:01:44.280 --> 00:01:47.880]  我們信主得了兒女的名分
[00:01:47.880 --> 00:01:52.120]  現今的機會就是要我們一致的與神同宮
[00:01:52.120 --> 00:01:55.680]  來挽救這個世界的和平
[00:01:55.680 --> 00:01:59.080]  當初哈曼爲了要除滅猶太人
[00:01:59.080 --> 00:02:03.520]  結果他自己反而被釘在他自己設的木架上面
[00:02:03.520 --> 00:02:10.040]  那我們也要禱告 祈求神來破壞ISIS的計謀
[00:02:10.040 --> 00:02:13.280]  來保守中東敘利亞那邊的安全
[00:02:13.280 --> 00:02:17.240]  所以弟兄姐妹 我邀請你現在跟我一起
[00:02:17.240 --> 00:02:24.480]  我們低頭很忠心的爲這個ISIS在中東地區的和平來禱告
[00:02:24.480 --> 00:02:26.440]  親愛的天父主耶穌聖靈保衛師
[00:02:26.440 --> 00:02:29.120]  我們用感恩的心來到你面前
[00:02:29.120 --> 00:02:31.120]  所以說我們看到我們的肢體
[00:02:31.120 --> 00:02:34.200]  看到我們的弟兄姐妹
