
[00:00:00.000 --> 00:00:03.200]  今晚我們講到從「恩信」「清義」
[00:00:03.200 --> 00:00:05.700]  從我們能夠有力量
[00:00:05.700 --> 00:00:07.300]  從罪的權勢
[00:00:07.300 --> 00:00:08.800]  從亞當的後裔
[00:00:08.800 --> 00:00:11.800]  遷到去耶穌基督的角度
[00:00:11.800 --> 00:00:14.600]  可以在基督裏面
[00:00:14.600 --> 00:00:19.100]  來到恩典遠遠超過過犯
[00:00:19.100 --> 00:00:20.800]  過犯不如恩切
[00:00:20.800 --> 00:00:22.300]  過犯不如恩典
[00:00:22.300 --> 00:00:23.400]  在基督裏面
[00:00:23.400 --> 00:00:26.100]  恩典是飽足的
[00:00:27.600 --> 00:00:30.100]  我想到今晚經文的時間
[00:00:30.100 --> 00:00:32.100]  我就想起
[00:00:32.100 --> 00:00:33.600]  其實很多人
[00:00:33.600 --> 00:00:34.900]  在我們當中
[00:00:34.900 --> 00:00:36.900]  或許都有不少弟兄姊妹
[00:00:36.900 --> 00:00:38.100]  你都有移民
[00:00:38.100 --> 00:00:39.400]  或者有移民的經歷
[00:00:39.400 --> 00:00:43.400]  或者認識移民的親友朋友
[00:00:43.400 --> 00:00:46.600]  移到去另外一個陌生的地方
[00:00:46.600 --> 00:00:48.200]  都有很多適應的
[00:00:48.200 --> 00:00:49.500]  譬如開車
[00:00:49.500 --> 00:00:53.400]  左右軚要適應
[00:00:53.400 --> 00:00:54.700]  洗衣服
[00:00:54.700 --> 00:00:56.600]  原來大部份都是用乾衣的
[00:00:56.600 --> 00:00:57.600]  香港要曬的
[00:00:57.600 --> 00:01:00.100]  你找不到地方曬衣服的
[00:01:00.100 --> 00:01:01.600]  我見到香港很多人把衣服
[00:01:01.600 --> 00:01:03.400]  放在騎樓 放在窗台那裏
[00:01:03.400 --> 00:01:04.400]  如果外面這樣做
[00:01:04.400 --> 00:01:05.400]  可能會被人勸語
[00:01:05.400 --> 00:01:07.600]  請你收回它
[00:01:07.600 --> 00:01:10.400]  語言的適應等等
[00:01:10.400 --> 00:01:11.800]  我記得我剛剛去
[00:01:11.800 --> 00:01:12.600]  我不是移民的
[00:01:12.600 --> 00:01:15.100]  不過我去外國讀書的時候
[00:01:15.100 --> 00:01:16.400]  都有很多適應
[00:01:16.400 --> 00:01:18.600]  很多罵的笑話
[00:01:18.600 --> 00:01:20.800]  有一科的老師
[00:01:20.800 --> 00:01:22.100]  他講得很興奮
[00:01:22.100 --> 00:01:23.600]  然後他說
[00:01:23.600 --> 00:01:25.100]  過幾分鐘
[00:01:25.100 --> 00:01:26.600]  我們chapel
[00:01:26.600 --> 00:01:27.600]  我們午會的時間
[00:01:27.600 --> 00:01:30.100]  或者我們早會的時間
[00:01:30.100 --> 00:01:32.100]  然後他講一個英文
[00:01:32.100 --> 00:01:33.600]  我有點誤會
[00:01:33.600 --> 00:01:34.600]  他說
[00:01:34.600 --> 00:01:37.100]  We have five minutes to go
[00:01:37.100 --> 00:01:38.100]  我以為我們五分鐘
[00:01:38.100 --> 00:01:39.600]  走過去chapel那裏
[00:01:39.600 --> 00:01:41.100]  所以我差不多起身想撿起
[00:01:41.100 --> 00:01:42.600]  為什麼大家都不動
[00:01:42.600 --> 00:01:43.600]  原來他說
[00:01:43.600 --> 00:01:45.100]  We have five minutes to go
[00:01:45.100 --> 00:01:47.100]  即是我還有五分鐘才下課
[00:01:47.100 --> 00:01:48.100]  我差點起身
[00:01:48.100 --> 00:01:51.100]  如果起身都非常尷尬
[00:01:51.100 --> 00:01:52.600]  你發現
[00:01:52.600 --> 00:01:56.100]  移民有很多的適應
[00:01:56.100 --> 00:01:58.600]  如果從這個觀念來講
[00:01:58.600 --> 00:02:00.600]  我不知道大家體不體會
[00:02:00.600 --> 00:02:03.100]  在我們世上
[00:02:03.100 --> 00:02:05.600]  或者我們個人的身上
[00:02:05.600 --> 00:02:07.100]  最大
[00:02:07.100 --> 00:02:10.600]  最徹底的移民
[00:02:10.600 --> 00:02:14.600]  就是我們信耶穌
[00:02:14.600 --> 00:02:17.100]  我是講真的
[00:02:17.100 --> 00:02:20.600]  我們是從撒旦的權勢
[00:02:20.600 --> 00:02:23.600]  移進到上帝的國度
[00:02:23.600 --> 00:02:25.100]  因此
[00:02:25.100 --> 00:02:27.600]  如果移民有很多適應的話
[00:02:27.600 --> 00:02:29.100]  這個更大
[00:02:29.100 --> 00:02:30.600]  或者最徹底的移民
[00:02:30.600 --> 00:02:33.600]  我們一定會有很多很多的適應
[00:02:33.600 --> 00:02:36.100]  請你翻開今天的經文
[00:02:36.100 --> 00:02:38.100]  羅馬書第六章
[00:02:38.100 --> 00:02:41.600]  第一到第十四節
[00:02:41.600 --> 00:02:42.600]  羅馬書六章
[00:02:42.600 --> 00:02:43.600]  很明顯
[00:02:43.600 --> 00:02:46.100]  接著上文所講的訊息
