
[00:00:00.000 --> 00:00:04.200]  宣道之前我們也有一個禱告
[00:00:04.200 --> 00:00:07.800]  主我們求祢
[00:00:07.800 --> 00:00:10.700]  在將臨期的時候
[00:00:10.700 --> 00:00:15.400]  在繁囂的都市裡面
[00:00:15.400 --> 00:00:18.700]  給我們心靈都有一份寧靜
[00:00:18.700 --> 00:00:21.200]  去等候主的降臨
[00:00:21.200 --> 00:00:25.200]  讓我們體會到在二千年前
[00:00:25.200 --> 00:00:27.800]  耶穌基督降生
[00:00:27.800 --> 00:00:30.400]  祂的實在和意義
[00:00:30.400 --> 00:00:33.000]  都呈現在我們的心裡面
[00:00:33.000 --> 00:00:37.400]  我們今天一起的敬拜聚會領受
[00:00:37.400 --> 00:00:38.600]  願主此恩
[00:00:38.600 --> 00:00:40.800]  祈禱奉耶穌基督的名
[00:00:40.800 --> 00:00:45.800]  誠心所願
[00:00:45.800 --> 00:00:50.000]  聖誕節有很多角色會跳出來
[00:00:50.000 --> 00:00:51.800]  平時很少說的
[00:00:51.800 --> 00:00:54.800]  包括野地的牧羊人
[00:00:54.800 --> 00:00:57.800]  博士,不是三個博士
[00:00:57.800 --> 00:00:59.800]  有幾個博士
[00:00:59.800 --> 00:01:01.800]  因為我們常說有三個博士
[00:01:01.800 --> 00:01:03.800]  因為有黃金與香配藥
[00:01:03.800 --> 00:01:05.800]  所以三個博士東方來
[00:01:05.800 --> 00:01:07.800]  嚴格來說不知道有多少個
[00:01:07.800 --> 00:01:08.800]  只有幾個
[00:01:08.800 --> 00:01:10.800]  不過我們勸了三樣東西
[00:01:10.800 --> 00:01:12.800]  有幾個博士
[00:01:12.800 --> 00:01:14.800]  或者叫做智者
[00:01:14.800 --> 00:01:15.800]  因為那時候沒有博士的
[00:01:15.800 --> 00:01:17.800]  沒有PhD的
[00:01:17.800 --> 00:01:19.800]  叫做智者
[00:01:19.800 --> 00:01:22.800]  有天使
[00:01:22.800 --> 00:01:26.800]  那麼多的角色裡面
[00:01:26.800 --> 00:01:28.800]  我想瑪利亞和耶穌
[00:01:28.800 --> 00:01:32.800]  就是主角中的主角
[00:01:32.800 --> 00:01:34.800]  一定會提到
[00:01:34.800 --> 00:01:37.800]  今天我們會思想瑪利亞
[00:01:37.800 --> 00:01:40.800]  透過瑪利亞來思想
[00:01:40.800 --> 00:01:43.800]  猶太人沒有聖誕節
[00:01:43.800 --> 00:01:45.800]  但是他們有他們的節期
[00:01:45.800 --> 00:01:47.800]  有禹節,有鑄牌節
[00:01:47.800 --> 00:01:49.800]  有他們的節期
[00:01:49.800 --> 00:01:52.800]  猶太人的首節的心是怎麼樣的呢?
[00:01:52.800 --> 00:01:54.800]  他們就是要
[00:01:54.800 --> 00:01:58.800]  好像經驗他們的先祖
[00:01:58.800 --> 00:02:00.800]  好像阿布拉罕
[00:02:00.800 --> 00:02:04.800]  好像摩西
[00:02:04.800 --> 00:02:07.800]  好像經驗他們的先祖
[00:02:07.800 --> 00:02:08.800]  所經驗的
[00:02:08.800 --> 00:02:10.800]  就是他們透過過節
[00:02:10.800 --> 00:02:12.800]  透過一提罪
[00:02:12.800 --> 00:02:15.800]  他們透過他們的
[00:02:15.800 --> 00:02:18.800]  一種的心靈上面
[00:02:18.800 --> 00:02:21.800]  好像重複經驗
[00:02:21.800 --> 00:02:25.800]  走回他們信心的先祖
[00:02:25.800 --> 00:02:28.800]  他們的先祖所經驗過
[00:02:28.800 --> 00:02:31.800]  就是他們要學回
