
[00:00:00.000 --> 00:00:08.000]  我們一起去看《士道行傳》十六章十六至三十四節
[00:00:08.000 --> 00:00:13.000]  後來我們往那禱告的地方去時
[00:00:13.000 --> 00:00:19.000]  有一個被占卜的靈附身的侍女迎面走來
[00:00:19.000 --> 00:00:24.000]  她使用法術使她的主人們發了大財
[00:00:24.000 --> 00:00:27.000]  她跟隨保羅和我們
[00:00:28.000 --> 00:00:33.000]  「這些人是至高神的僕人對你們傳講救人的道路」
[00:00:33.000 --> 00:00:36.000]  她一連好幾天這樣喊叫
[00:00:36.000 --> 00:00:39.000]  保羅就心中厭煩
[00:00:39.000 --> 00:00:42.000]  轉身對那靈說
[00:00:42.000 --> 00:00:45.000]  「我奉耶穌基督的名
[00:00:45.000 --> 00:00:48.000]  吩咐你從他身上出來」
[00:00:48.000 --> 00:00:51.000]  那靈立刻出來了
[00:00:51.000 --> 00:00:56.000]  侍女的主人們見發財的指望沒有了
[00:00:57.000 --> 00:00:59.000]  那靈就抽著保羅和西拉
[00:00:59.000 --> 00:01:03.000]  拉他們到市上去見官
[00:01:03.000 --> 00:01:08.000]  又帶他們到行政官長們面前說
[00:01:08.000 --> 00:01:13.000]  「這些騷擾我們城的他們是猶太人
[00:01:13.000 --> 00:01:17.000]  竟傳報我們羅馬人所不可接受
[00:01:17.000 --> 00:01:20.000]  不可遵守的規矩」
[00:01:20.000 --> 00:01:23.000]  群眾就一起起來攻擊他們
[00:01:23.000 --> 00:01:26.000]  官長們吩咐撕開他們的衣裳
[00:01:27.000 --> 00:01:28.000]  用棍子去打
[00:01:28.000 --> 00:01:32.000]  打了許多棍就把他們下到監裡
[00:01:32.000 --> 00:01:35.000]  祝福獄警嚴謹看守
[00:01:35.000 --> 00:01:40.000]  獄警領了這樣的命令就把他們下到內監
[00:01:40.000 --> 00:01:44.000]  兩腳山在木下上
[00:01:44.000 --> 00:01:46.000]  又在半夜
[00:01:46.000 --> 00:01:49.000]  保羅和西拉正在禱告
[00:01:49.000 --> 00:01:52.000]  「唱詩讚美神」
[00:01:52.000 --> 00:01:55.000]  眾囚犯也質以慶祝的時候
[00:01:56.000 --> 00:01:57.000]  忽然地帶震動
[00:01:57.000 --> 00:02:00.000]  甚至監牢的地基都搖動了
[00:02:00.000 --> 00:02:02.000]  監門立刻全開
[00:02:02.000 --> 00:02:05.000]  眾囚犯的鎖鏈也都解開了
[00:02:05.000 --> 00:02:07.000]  獄警一醒
[00:02:07.000 --> 00:02:10.000]  看見監門全開以為囚犯已經逃走
[00:02:10.000 --> 00:02:12.000]  就拔刀要自殺
[00:02:12.000 --> 00:02:14.000]  保羅大聲呼叫
[00:02:14.000 --> 00:02:16.000]  「不要傷害自己
[00:02:16.000 --> 00:02:19.000]  我們都在這裡」
[00:02:19.000 --> 00:02:22.000]  獄警叫人拿燈籠就衝進去
[00:02:23.000 --> 00:02:27.000]  戰戰兢兢地俯伏在保羅和西拉的面前
[00:02:27.000 --> 00:02:30.000]  然後獄警領他們出來說
[00:02:30.000 --> 00:02:32.000]  「二位先生
[00:02:32.000 --> 00:02:35.000]  我必須做什麼才可以得救」
[00:02:35.000 --> 00:02:37.000]  他們說
[00:02:37.000 --> 00:02:39.000]  「當信主耶穌
[00:02:39.000 --> 00:02:42.000]  你和你一家都必得救」
[00:02:42.000 --> 00:02:44.000]  他們就把主的道
[00:02:44.000 --> 00:02:47.000]  講給他和他全家的人聽
[00:02:47.000 --> 00:02:50.000]  當夜就在那個時候
[00:02:51.000 --> 00:02:55.000]  獄警把他們帶去洗他們的傷
[00:02:55.000 --> 00:02:59.000]  他和他所有的家人立刻都受了浸
[00:02:59.000 --> 00:03:02.000]  於是獄警領他們上自己的家裡
[00:03:02.000 --> 00:03:05.000]  去給他們擺上飯
[00:03:05.000 --> 00:03:08.000]  他和全家的人
[00:03:08.000 --> 00:03:14.000]  因為信了神就滿心的喜樂
[00:03:14.000 --> 00:03:16.000]  我們同心禱告
[00:03:17.000 --> 00:03:21.000]  「親愛的主,多謝真公來到我們當中
[00:03:21.000 --> 00:03:23.000]  著實以馬來尼
[00:03:23.000 --> 00:03:26.000]  求祢恩代我們城鎮家
[00:03:26.000 --> 00:03:29.000]  我們一家人對祢有經歷
[00:03:29.000 --> 00:03:32.000]  和祢有親密的關係
[00:03:32.000 --> 00:03:34.000]  我們相信祢
[00:03:34.000 --> 00:03:38.000]  我們就一同去歡喜快樂
[00:03:38.000 --> 00:03:40.000]  主,我們仰望祢,我們愛祢
[00:03:40.000 --> 00:03:42.000]  如今我們要聽祢的話
[00:03:42.000 --> 00:03:44.000]  求祢向我們說話
[00:03:45.000 --> 00:03:47.000]  讓我們眾兄弟姊妹都能夠有好的耳朵
[00:03:47.000 --> 00:03:50.000]  聽得見,就一同的相信
[00:03:50.000 --> 00:03:52.000]  就一同的去快樂」
[00:03:52.000 --> 00:03:56.000]  我們的祈禱是奉主耶穌基督命之求
[00:03:56.000 --> 00:03:58.000]  阿們
[00:03:58.000 --> 00:04:05.000]  各位提菲羅大人的朋友
[00:04:05.000 --> 00:04:07.000]  神所愛的
[00:04:07.000 --> 00:04:12.000]  你們知不知道初期教會是一間怎樣的教會?
[00:04:13.000 --> 00:04:17.000]  初期教會是一間被聖靈充滿的教會
[00:04:17.000 --> 00:04:19.000]  在五旬節那天
[00:04:19.000 --> 00:04:24.000]  教會弟兄姊妹們就在樓房被聖靈充滿
[00:04:24.000 --> 00:04:26.000]  後來被聖靈充滿
[00:04:26.000 --> 00:04:30.000]  他們能夠說出別國的語言
[00:04:30.000 --> 00:04:34.000]  他們被呼喚離開安全的樓房
[00:04:34.000 --> 00:04:36.000]  跑到危險的街道
[00:04:36.000 --> 00:04:39.000]  要說出神的作為
[00:04:39.000 --> 00:04:42.000]  傳揚耶穌基督的福音
[00:04:43.000 --> 00:04:44.000]  他們都有勇氣
[00:04:44.000 --> 00:04:46.000]  沒有害怕
[00:04:46.000 --> 00:04:50.000]  因為聖靈是神的光合
[00:04:50.000 --> 00:04:54.000]  提供給他們能夠有見證的力量
