
[00:00:00.000 --> 00:00:05.000]  好,請大英姐妹一起讀這三字的經文,好嗎?
[00:00:05.000 --> 00:00:07.000]  預備,1,2,3
[00:00:07.000 --> 00:00:12.000]  這不是說我已經得著了,已經完全了
[00:00:12.000 --> 00:00:23.000]  弟兄們,我不是以為自己已經得著了
[00:00:23.000 --> 00:00:28.000]  我只有一件事,就是忘記背後努力面前
[00:00:28.000 --> 00:00:30.000]  向著標桿直跑
[00:00:30.000 --> 00:00:36.000]  要得上帝在基督耶穌裡從上面照我來得的獎賞
[00:00:36.000 --> 00:00:42.000]  我猜你回教會若果不是少於三個月或一年內
[00:00:42.000 --> 00:00:44.000]  大致上你會聽過這段經文
[00:00:44.000 --> 00:00:47.000]  或者你未回教會之前都已經聽過這段經文
[00:00:47.000 --> 00:00:50.000]  如果剛才那三節的經文
[00:00:50.000 --> 00:00:54.000]  你覺得最stand out,最突出的是哪一句?
[00:00:56.000 --> 00:00:58.000]  是不是這一句?
[00:00:58.000 --> 00:01:01.000]  我猜而已,不過我猜應該都是
[00:01:01.000 --> 00:01:04.000]  這句經文突出到一個地步
[00:01:04.000 --> 00:01:09.000]  其實你去基督教書局找書籤,多數都有
[00:01:09.000 --> 00:01:13.000]  我不知道你上一次寫書籤給別人是
[00:01:13.000 --> 00:01:15.000]  不過現在不寫書籤了
[00:01:15.000 --> 00:01:18.000]  現在可能你都是上網找到一張照片
[00:01:18.000 --> 00:01:22.000]  WhatsApp給他就等於寫了一張書籤給他
[00:01:22.000 --> 00:01:24.000]  你有沒有想過這一句說話
[00:01:24.000 --> 00:01:30.000]  忘記背後努力面前向著標竿直跑
[00:01:30.000 --> 00:01:32.000]  你通常什麼時候送給別人?
[00:01:32.000 --> 00:01:38.000]  通常什麼時候送給別人?
[00:01:38.000 --> 00:01:41.000]  退休嗎?
[00:01:41.000 --> 00:01:44.000]  退休你才送給他?
[00:01:44.000 --> 00:01:46.000]  你對他都挺好的
[00:01:46.000 --> 00:01:47.000]  背後很多憂傷
[00:01:47.000 --> 00:01:49.000]  通常有兩個情況
[00:01:49.000 --> 00:01:54.000]  好像Charles說的,其中一個就是當那個人面對一些不如意的事情
[00:01:54.000 --> 00:01:58.000]  例如考試不合格、失業、失戀
[00:01:58.000 --> 00:02:01.000]  其實這句說話你差不多是鼓勵他
[00:02:01.000 --> 00:02:03.000]  或者安慰他
[00:02:03.000 --> 00:02:05.000]  不要不開心
[00:02:05.000 --> 00:02:08.000]  忘記了你的過去
[00:02:08.000 --> 00:02:10.000]  忘記了一些不開心的事情
[00:02:10.000 --> 00:02:13.000]  這是第一個用法,我覺得挺普遍的
[00:02:13.000 --> 00:02:17.000]  或者你回想一下你上一次收這張的時候
[00:02:17.000 --> 00:02:19.000]  是不是我失戀
[00:02:19.000 --> 00:02:20.000]  我找不到工作
[00:02:20.000 --> 00:02:21.000]  我失業
