
[00:00:00.000 --> 00:00:03.320]  今日是生死教育崇拜
[00:00:03.320 --> 00:00:07.840]  我開宗明義和大家談死亡
[00:00:07.840 --> 00:00:11.920]  主題是「死亡是敵是友」
[00:00:11.920 --> 00:00:16.480]  我們先看看兩個很熟悉的比喻
[00:00:16.480 --> 00:00:19.200]  第一個是半杯水
[00:00:19.200 --> 00:00:23.800]  看著它,你見到的只有半杯水
[00:00:23.800 --> 00:00:26.240]  那種失望、埋怨
[00:00:26.240 --> 00:00:31.560]  還是很棒,還有半杯水的感恩珍惜
[00:00:31.560 --> 00:00:34.560]  就很在乎你怎樣去看
[00:00:34.560 --> 00:00:38.200]  一個客觀現實擺在你的眼前
[00:00:38.200 --> 00:00:40.840]  原來你的觀點角度會影響
[00:00:40.840 --> 00:00:45.440]  你對那件事物的感受和態度
[00:00:45.440 --> 00:00:49.360]  另一個比喻是銀幣
[00:00:49.360 --> 00:00:53.320]  銀幣從正面反面看是不同的
[00:00:53.320 --> 00:00:57.120]  但它們都屬於同一個銀幣
[00:00:57.120 --> 00:01:01.800]  帶出的道理,細心想,其實和半杯水有點不同
[00:01:01.800 --> 00:01:03.600]  銀幣的比喻告訴我們
[00:01:03.600 --> 00:01:06.120]  原來我們以為的客觀現實
[00:01:06.120 --> 00:01:09.520]  本身都可以有很多層面
[00:01:09.520 --> 00:01:11.600]  我們要面面都看
[00:01:11.600 --> 00:01:16.520]  我們才可以認識這件事物
[00:01:16.520 --> 00:01:19.600]  說了這麼久,和死亡有什麼關係呢?
[00:01:19.600 --> 00:01:23.000]  死亡,有些人覺得好像半杯水
[00:01:23.000 --> 00:01:25.000]  我同意的,你怎樣看死亡
[00:01:25.000 --> 00:01:27.000]  就決定你對死亡的態度
[00:01:27.000 --> 00:01:29.600]  你是會主動去了解、傾談
[00:01:29.600 --> 00:01:33.200]  還是你迴避,視而不見
[00:01:33.200 --> 00:01:36.600]  但同時死亡亦都好像銀幣
[00:01:36.600 --> 00:01:39.600]  死亡這個現象不是這麼單純
[00:01:39.600 --> 00:01:42.800]  它有很多層面,就連我們今天要看的經文
[00:01:42.800 --> 00:01:45.600]  我們的聖經都讓我們有兩個
[00:01:45.600 --> 00:01:49.600]  很截然不同的角度去了解死亡
[00:01:49.600 --> 00:01:53.600]  是我們兩邊兩點都需要去看
[00:01:53.600 --> 00:01:57.600]  而且這兩個角度,它們不單是沒有矛盾
[00:01:57.600 --> 00:01:59.600]  而且是互相的捕捉
[00:01:59.600 --> 00:02:01.600]  讓我們全面認識死亡
[00:02:01.600 --> 00:02:05.600]  更重要的是讓我們可以很持平地
[00:02:05.600 --> 00:02:07.600]  靠著聖經的真理
[00:02:07.600 --> 00:02:11.600]  去面對我們自己的死亡
[00:02:11.600 --> 00:02:16.200]  我稱這個是一個相同的望遠鏡
[00:02:16.200 --> 00:02:19.200]  一邊叫做日光之上
[00:02:19.200 --> 00:02:23.200]  另一邊叫做日光之下
[00:02:23.200 --> 00:02:26.200]  我們一起禱告
[00:02:26.200 --> 00:02:28.200]  主,我們知道
[00:02:28.200 --> 00:02:32.200]  有些姐妹當提及死亡這個課題的時候
