
[00:00:00.000 --> 00:00:04.360]  好,弟兄姊妹,平安,讓我們一起去祈禱
[00:00:04.360 --> 00:00:08.000]  親愛的主,我們多謝你,你的話語是寶貴
[00:00:08.000 --> 00:00:12.600]  讓我們藉著這個正道的時刻,我們思考你自己的說話
[00:00:12.600 --> 00:00:17.280]  讓我們生命裏面更加清楚明白你的那種心意
[00:00:17.280 --> 00:00:19.880]  讓我們知道活得更好
[00:00:19.880 --> 00:00:22.880]  願主你帶領我們,讓我們曉得明白
[00:00:22.880 --> 00:00:27.360]  祈禱是奉耶穌的名字而求,阿們
[00:00:27.360 --> 00:00:31.960]  今天和大家思考一個題目叫《更美的祭物》
[00:00:31.960 --> 00:00:41.040]  當我們思考這個題目的時候,其實和我們思考的主題都很相關
[00:00:41.040 --> 00:00:48.040]  你記得我們在過去九個月裏面時間,我們都思考到阿巴拉罕的一生
[00:00:48.040 --> 00:00:53.600]  阿巴拉罕的一生裏面,如何在他的信裏面,如何能夠稱為義
[00:00:53.600 --> 00:00:57.720]  但是我們同時間在上次總結阿巴拉罕的一生裏面
[00:00:57.720 --> 00:01:02.600]  我們都看到希伯來書這一段聖經第十一章的段落
[00:01:02.600 --> 00:01:07.000]  在這個第十一章的段落裏面,我們之前說有個結構
[00:01:07.000 --> 00:01:13.240]  第二節就是在說信就是想盼望之事有把握
[00:01:13.240 --> 00:01:19.720]  對未見之事有確據,古人恩著者信,獲得了讚許
[00:01:19.720 --> 00:01:24.560]  到第三十九節的時候就說,寫詩人都是因信獲得了讚許
[00:01:24.560 --> 00:01:30.800]  卻仍未得著所應許的,因為上帝給我們預備了更美好的事
[00:01:30.800 --> 00:01:34.640]  若會有我們,或他們就不能達到完全
[00:01:34.640 --> 00:01:39.360]  正正好我們在希伯來書第十一章裏面說的就是一個好像包圍著的結構
[00:01:39.360 --> 00:01:44.040]  就是第一、第二節和三十九和四十節,好像一個括號一樣
[00:01:44.040 --> 00:01:49.800]  說「恩著者信,獲得了讚許」,「恩著者信,獲得了讚許」
[00:01:49.800 --> 00:01:51.560]  所以就是一個這樣的段落
[00:01:51.560 --> 00:01:55.560]  而在當中我們發現,在第三節到第三十八節
[00:01:55.560 --> 00:01:59.120]  有一群信心英雄,一群信心英雄
[00:01:59.120 --> 00:02:04.280]  而我們特別上次就看到在這個信心英雄榜裏面一群英雄裏面
[00:02:04.280 --> 00:02:10.920]  在阿巴拉罕人生裏面有四件事去總結
[00:02:10.920 --> 00:02:17.000]  阿巴拉罕他一生裏面如何能夠「恩著信」,能夠被稱為「義」
[00:02:17.000 --> 00:02:21.480]  所以我們看回整個英雄榜裏面有一堆不同的人物
[00:02:21.480 --> 00:02:25.320]  而今天我們都會去思考到在這個英雄榜裏面
[00:02:25.320 --> 00:02:29.920]  原來第一個提及的人就叫做阿巴
[00:02:29.920 --> 00:02:33.400]  這個英雄榜裏面第一個提及的就叫做阿巴
[00:02:33.400 --> 00:02:35.400]  和阿巴拉罕不一樣的就是
[00:02:35.400 --> 00:02:39.720]  阿巴拉罕特別提到四件「恩著信」的事件
[00:02:39.720 --> 00:02:43.280]  而阿巴在這段聖經裏面只提到一件
[00:02:43.280 --> 00:02:48.720]  一件在他生平裏面一件「恩著信」的事件
[00:02:48.720 --> 00:02:51.400]  或者當我們熟悉阿巴這個人的時候
[00:02:51.400 --> 00:02:56.640]  我們知道在聖經裏面對阿巴的描述不是太多
[00:02:56.640 --> 00:03:02.480]  但我們可以藉著在關於有提到阿巴的事情裏面的蛛絲馬跡
