
[00:00:00.000 --> 00:00:03.000]  今天講的是阿伯拉罕
[00:00:03.000 --> 00:00:06.000]  阿伯拉罕的故事很多人都很熟悉
[00:00:06.000 --> 00:00:08.000]  都聽過
[00:00:08.000 --> 00:00:13.000]  今天是第四次講阿伯拉罕
[00:00:13.000 --> 00:00:16.000]  其實講阿伯拉罕可以很短可以很長
[00:00:16.000 --> 00:00:20.000]  我之前都在想阿伯拉罕真的很重要
[00:00:20.000 --> 00:00:22.000]  對我們基督徒來講
[00:00:22.000 --> 00:00:26.000]  怎樣去認識神在我們身上的恩典和信心
[00:00:26.000 --> 00:00:27.000]  真的很重要
[00:00:27.000 --> 00:00:31.000]  所以我決定拆開它做很多講
[00:00:31.000 --> 00:00:35.000]  來講得比較詳細一點
[00:00:35.000 --> 00:00:38.000]  但都不會太過詳細
[00:00:38.000 --> 00:00:41.000]  詳細得來都適中
[00:00:41.000 --> 00:00:45.000]  每一次都有些重點可以帶給我們
[00:00:45.000 --> 00:00:49.000]  希望大家能夠領受到
[00:00:49.000 --> 00:00:55.000]  今次第四個標題叫奉勇戰奉獻
[00:00:55.000 --> 00:00:58.000]  如果我們記得上一次講到哪一處
[00:00:58.000 --> 00:01:01.000]  上一次講到阿伯南和羅德
[00:01:01.000 --> 00:01:03.000]  因為牛羊太多
[00:01:03.000 --> 00:01:07.000]  多到僕人爭地爭吵
[00:01:07.000 --> 00:01:10.000]  阿伯南就跟羅德說要分開
[00:01:10.000 --> 00:01:13.000]  在當中阿伯南是長輩
[00:01:13.000 --> 00:01:17.000]  他沒有以自己長輩自居去選擇好的地方
[00:01:17.000 --> 00:01:19.000]  反而讓阿伯南先選擇
[00:01:19.000 --> 00:01:21.000]  讓羅德先選擇
[00:01:21.000 --> 00:01:24.000]  羅德就選擇了漂亮的地方
[00:01:24.000 --> 00:01:28.000]  看上去約旦平原很肥沃很漂亮
[00:01:28.000 --> 00:01:31.000]  他就選了約旦平原
[00:01:31.000 --> 00:01:34.000]  而阿伯南就留在山地那裡
[00:01:34.000 --> 00:01:36.000]  經文就繼續講
[00:01:36.000 --> 00:01:39.000]  羅德在去約旦平原的時候
[00:01:39.000 --> 00:01:45.000]  一直慢慢遷移去索多瑪
[00:01:45.000 --> 00:01:47.000]  經文到那裡就完結
[00:01:47.000 --> 00:01:50.000]  今天我們繼續講那個故事
[00:01:50.000 --> 00:01:53.000]  進入《創世記》第十四章
[00:01:53.000 --> 00:01:55.000]  我們可以看看
[00:01:55.000 --> 00:02:00.000]  因為那個故事都很長
[00:02:00.000 --> 00:02:02.000]  如果不看又講不到
[00:02:02.000 --> 00:02:04.000]  所以還是要看一看
[00:02:04.000 --> 00:02:06.000]  有些名字很掉漆
[00:02:06.000 --> 00:02:10.000]  前頭那兩章等我讀
[00:02:10.000 --> 00:02:15.000]  《創世記》第十四章一開始就講一些人物
[00:02:15.000 --> 00:02:17.000]  當暗拉妃作是拿王
[00:02:17.000 --> 00:02:19.000]  亞略作以拉薩王
[00:02:19.000 --> 00:02:21.000]  非太魯馬作以南王
[00:02:21.000 --> 00:02:25.000]  提達作過印王的時候
[00:02:25.000 --> 00:02:29.000]  他們都攻打索多瑪王比拉
[00:02:29.000 --> 00:02:31.000]  摩拉王比沙
[00:02:31.000 --> 00:02:33.000]  亞瑪王士納
[00:02:33.000 --> 00:02:35.000]  洗扁王善爾
[00:02:35.000 --> 00:02:37.000]  和比拉王
[00:02:37.000 --> 00:02:39.000]  比拉就是索爾
[00:02:39.000 --> 00:02:41.000]  五王都在西定谷會合
[00:02:41.000 --> 00:02:43.000]  西定谷就是沿海
[00:02:43.000 --> 00:02:47.000]  他們已經侍奉基大老馬十二年
[00:02:47.000 --> 00:02:49.000]  到十三年就背叛了
[00:02:49.000 --> 00:02:53.000]  十四年基大老馬和同盟的王都萊
[00:02:53.000 --> 00:02:55.000]  在阿特津加尼
[00:02:55.000 --> 00:02:57.000]  殺了利弗欽人
[00:02:57.000 --> 00:02:59.000]  在哈瑪殺了蘇西人
[00:02:59.000 --> 00:03:01.000]  在沙尼基利廷
[00:03:01.000 --> 00:03:02.000]  殺了二米人
[00:03:02.000 --> 00:03:04.000]  在荷里人的西爾山
[00:03:04.000 --> 00:03:05.000]  殺了荷爾人
[00:03:05.000 --> 00:03:09.000]  一直殺到靠近曠野的伊勒巴南
[00:03:09.000 --> 00:03:12.000]  他們回到安密巴就是加底斯
[00:03:12.000 --> 00:03:14.000]  殺了亞瑪力全地的人
[00:03:14.000 --> 00:03:19.000]  以及處在哈西遜哈瑪的亞摩尼人
[00:03:19.000 --> 00:03:20.000]  於是索多瑪王
[00:03:20.000 --> 00:03:22.000]  阿摩拉王
[00:03:22.000 --> 00:03:23.000]  亞瑪王
[00:03:23.000 --> 00:03:24.000]  洗扁王
[00:03:24.000 --> 00:03:26.000]  和比拉王
[00:03:26.000 --> 00:03:27.000]  都出來
[00:03:27.000 --> 00:03:29.000]  在西定谷擺陣
[00:03:29.000 --> 00:03:31.000]  與他們交戰
[00:03:31.000 --> 00:03:39.000]  就是與亞與爾蘭王
[00:03:39.000 --> 00:03:40.000]  基大老馬
[00:03:40.000 --> 00:03:41.000]  戈印王
[00:03:41.000 --> 00:03:43.000]  提達士那王
[00:03:43.000 --> 00:03:45.000]  阿姆拉菲
[00:03:45.000 --> 00:03:46.000]  以拉薩王
[00:03:46.000 --> 00:03:47.000]  亞略交戰
[00:03:47.000 --> 00:03:50.000]  乃至四王與五王交戰
[00:03:50.000 --> 00:03:52.000]  西定谷有許多石漆坑
[00:03:52.000 --> 00:03:55.000]  索多瑪王和阿摩拉王逃跑
[00:03:55.000 --> 00:03:57.000]  有凋在坑裡的
[00:03:57.000 --> 00:03:58.000]  其餘的人
[00:03:58.000 --> 00:04:01.000]  都往山上去逃跑
[00:04:01.000 --> 00:04:04.000]  四王就把索多瑪王和阿摩拉王
[00:04:04.000 --> 00:04:05.000]  所有的財物
[00:04:05.000 --> 00:04:06.000]  並一切的糧食
[00:04:06.000 --> 00:04:08.000]  都擄掠去了
[00:04:08.000 --> 00:04:10.000]  又把亞伯南的侄兒
[00:04:10.000 --> 00:04:12.000]  羅德和羅德的財物
[00:04:12.000 --> 00:04:13.000]  擄掠去了
[00:04:13.000 --> 00:04:15.000]  當時羅德正住在索多瑪
[00:04:15.000 --> 00:04:17.000]  有一個逃出來的人
[00:04:17.000 --> 00:04:19.000]  告訴希伯來人
[00:04:19.000 --> 00:04:20.000]  亞伯南正住在
[00:04:20.000 --> 00:04:23.000]  阿摩拉人萬里匠主那裡
[00:04:23.000 --> 00:04:25.000]  萬里和爾實國
[00:04:25.000 --> 00:04:27.000]  並阿乃都士弟兄
[00:04:27.000 --> 00:04:29.000]  曾與亞伯南聯盟
[00:04:29.000 --> 00:04:31.000]  亞伯南聽見他侄兒被擄去
[00:04:31.000 --> 00:04:33.000]  就率領他家裡
[00:04:33.000 --> 00:04:35.000]  森陽的精年壯丁
[00:04:35.000 --> 00:04:37.000]  三百一十八人
[00:04:37.000 --> 00:04:38.000]  直追到達
[00:04:38.000 --> 00:04:39.000]  變成夜間
