
[00:00:00.000 --> 00:00:02.000]  我們同心做個祈禱
[00:00:02.000 --> 00:00:07.420]  天父我們知道今天是一個崇拜的時間
[00:00:07.420 --> 00:00:11.300]  無論是唱詩、讀經、祈禱、講道
[00:00:11.300 --> 00:00:15.900]  我們都要集中思念祢的恩典和祢的救恩
[00:00:15.900 --> 00:00:19.180]  但願祢在我們當中做主做王
[00:00:19.180 --> 00:00:23.100]  但願我口中的言語、心中的意念
[00:00:23.100 --> 00:00:24.820]  在祢面前蒙圓立
[00:00:24.820 --> 00:00:27.460]  祈禱感謝奉主的名氣,好嗎?
[00:00:29.420 --> 00:00:31.420]  今天教會的主題就是
[00:00:31.420 --> 00:00:35.800]  不如你們講吧
[00:00:35.800 --> 00:00:37.180]  教會是什麼主題?
[00:00:37.180 --> 00:00:39.020]  剛才唱詩都看過了
[00:00:39.020 --> 00:00:42.180]  看看周刊吧
[00:00:42.180 --> 00:00:47.620]  我們叫「成熟」
[00:00:47.620 --> 00:00:51.780]  其實「成熟」有很多的意思
[00:00:51.780 --> 00:00:56.140]  今天就跟大家講講在智慧當中我們有長進
[00:00:56.740 --> 00:00:59.620]  就是「成熟」,夢照在基督裡面成熟
[00:00:59.620 --> 00:01:02.380]  這段經文剛才都讀過了
[00:01:02.380 --> 00:01:06.780]  不過紅字是和合本、修訂本
[00:01:06.780 --> 00:01:09.780]  最後一句紅字是
[00:01:09.780 --> 00:01:13.060]  「智慧是由所有智慧的人來證實的」
[00:01:13.060 --> 00:01:16.060]  什麼叫智慧呢?
[00:01:16.060 --> 00:01:18.460]  就是由那些有智慧的人
[00:01:18.460 --> 00:01:20.460]  慢慢在生活當中
[00:01:20.460 --> 00:01:23.460]  在言語上的行為上
[00:01:23.460 --> 00:01:25.740]  印證了這些就是智慧
[00:01:27.220 --> 00:01:28.540]  好像比較明白一點
[00:01:28.540 --> 00:01:32.820]  因為和合本大概是一百年前的中文
[00:01:32.820 --> 00:01:35.900]  和合本、修訂本就是十幾年前的中文
[00:01:35.900 --> 00:01:39.500]  有時候就是稍為比較清楚一點
[00:01:39.500 --> 00:01:43.820]  夢照在基督裡面成熟
[00:01:43.820 --> 00:01:49.380]  其實「成熟」就好像是長大成人一樣
[00:01:49.380 --> 00:01:53.740]  我們能夠獨立判斷是非對錯
[00:01:53.740 --> 00:01:55.700]  能夠自己生存
[00:01:56.220 --> 00:01:57.220]  不用靠別人
[00:01:57.220 --> 00:02:00.220]  在基督裡面成熟
[00:02:00.220 --> 00:02:02.220]  其實意思也是一樣
[00:02:02.220 --> 00:02:05.620]  我們能夠很獨立的判斷什麼是真理
[00:02:05.620 --> 00:02:07.940]  不需要依賴別人
[00:02:07.940 --> 00:02:10.420]  告訴你什麼是對、什麼是錯
[00:02:10.420 --> 00:02:11.820]  你自己可以判斷
[00:02:11.820 --> 00:02:13.420]  什麼是對、什麼是錯
[00:02:13.420 --> 00:02:15.980]  你也能夠自己生存
[00:02:15.980 --> 00:02:18.500]  如果是識字的話就是
[00:02:18.500 --> 00:02:20.140]  自己讀聖經
[00:02:20.140 --> 00:02:22.940]  自己去找參考書
[00:02:22.940 --> 00:02:24.700]  自己上網
[00:02:25.500 --> 00:02:26.940]  學怎麼去解釋聖經
[00:02:26.940 --> 00:02:31.140]  你不明白的時候就要問別人
[00:02:31.140 --> 00:02:34.220]  如果你又不識字
[00:02:34.220 --> 00:02:36.620]  你可以用心聽聖經
[00:02:36.620 --> 00:02:39.020]  現在很多聖經都是讀出來
[00:02:39.020 --> 00:02:42.300]  廣東話就比較容易找到版本
[00:02:42.300 --> 00:02:45.260]  我不知道台山話有沒有台山話的聖經
[00:02:45.260 --> 00:02:49.180]  其實台山話的聖經比廣東話的聖經更早翻譯
[00:02:49.180 --> 00:02:51.700]  你用心記
[00:02:51.700 --> 00:02:53.980]  或者不懂的時候問別人
[00:02:54.340 --> 00:02:55.780]  也知道是問誰
[00:02:55.780 --> 00:02:57.100]  這個成熟
[00:02:57.100 --> 00:02:59.060]  在基督裡面是成熟的
[00:02:59.060 --> 00:03:02.940]  成熟的人也懂得怎麼祈禱
[00:03:02.940 --> 00:03:05.060]  不用每次都說
[00:03:05.060 --> 00:03:06.100]  你幫我祈禱吧
[00:03:06.100 --> 00:03:07.460]  我不懂得祈禱
[00:03:07.460 --> 00:03:09.940]  你自己可以祈禱
[00:03:09.940 --> 00:03:13.740]  甚至是為了自己為其他人祈禱
[00:03:13.740 --> 00:03:16.620]  這是一個成熟的標記
[00:03:16.620 --> 00:03:20.180]  所以今天所說的主題就是智慧
[00:03:20.180 --> 00:03:23.020]  成熟的人有智慧
[00:03:24.420 --> 00:03:25.620]  越來越有智慧
[00:03:25.620 --> 00:03:28.860]  什麼叫做智慧
[00:03:28.860 --> 00:03:33.660]  我們先不說聖經的標準答案
