
[00:00:00.000 --> 00:00:02.000]  石硤尾一間中學 叫冥賢中學
[00:00:02.000 --> 00:00:06.000]  冥賢中學教書
[00:00:06.000 --> 00:00:10.000]  我下午回家吃飯
[00:00:10.000 --> 00:00:14.000]  早上教完書之後 下午回家
[00:00:14.000 --> 00:00:16.000]  爸爸煮好飯
[00:00:16.000 --> 00:00:18.000]  我們一齊吃飯
[00:00:18.000 --> 00:00:20.000]  兩仔爺有聊有講
[00:00:20.000 --> 00:00:22.000]  過日我如常地回家
[00:00:22.000 --> 00:00:24.000]  吃完飯之後
[00:00:24.000 --> 00:00:26.000]  我就趕回去學校教書
[00:00:26.000 --> 00:00:28.000]  完了之後
[00:00:28.000 --> 00:00:30.000]  就跟學生一齊打球
[00:00:30.000 --> 00:00:32.000]  打完球就拖著疲乏的身軀回家
[00:00:32.000 --> 00:00:36.000]  一回到入門口
[00:00:36.000 --> 00:00:38.000]  爸爸就跟我說
[00:00:38.000 --> 00:00:40.000]  我有點不舒服
[00:00:40.000 --> 00:00:42.000]  你去九龍城街市
[00:00:42.000 --> 00:00:44.000]  買些魚煲粥給我吃
[00:00:44.000 --> 00:00:48.000]  我又很累
[00:00:48.000 --> 00:00:50.000]  不太正常
[00:00:50.000 --> 00:00:52.000]  於是跟他說
[00:00:52.000 --> 00:00:54.000]  幾個鐘頭前你都好好的
[00:00:54.000 --> 00:00:56.000]  又煮飯又跟我聊天
[00:00:56.000 --> 00:00:58.000]  這當然是心理作用
[00:00:58.000 --> 00:01:00.000]  你凝住不舒服就不舒服
[00:01:00.000 --> 00:01:02.000]  你凝住舒服
[00:01:02.000 --> 00:01:04.000]  你就舒服了
[00:01:04.000 --> 00:01:06.000]  我爸爸就聽了不太高興
[00:01:06.000 --> 00:01:08.000]  是不舒服就不舒服
[00:01:08.000 --> 00:01:10.000]  你不想去就算了
[00:01:10.000 --> 00:01:14.000]  我知道我自己不好
[00:01:14.000 --> 00:01:18.000]  覺得自己好不好
[00:01:18.000 --> 00:01:20.000]  死死地走到街市
[00:01:20.000 --> 00:01:22.000]  買了些魚回來煲粥
[00:01:22.000 --> 00:01:24.000]  回來就見到一個人
[00:01:24.000 --> 00:01:26.000]  坐在客廳
[00:01:26.000 --> 00:01:28.000]  我想跟他聊天
[00:01:28.000 --> 00:01:30.000]  我問他怎樣
[00:01:30.000 --> 00:01:32.000]  他說沒事
[00:01:32.000 --> 00:01:34.000]  我跟他說
[00:01:34.000 --> 00:01:36.000]  對不起
[00:01:36.000 --> 00:01:38.000]  剛才我藉口
[00:01:38.000 --> 00:01:40.000]  因為我不想下去累
[00:01:40.000 --> 00:01:42.000]  所以就說些說話
[00:01:42.000 --> 00:01:44.000]  令你很不舒服
[00:01:44.000 --> 00:01:46.000]  我伸手出來
[00:01:46.000 --> 00:01:48.000]  他也伸手出來
[00:01:48.000 --> 00:01:50.000]  兩父子握手
[00:01:50.000 --> 00:01:52.000]  你笑我笑
[00:01:52.000 --> 00:01:56.000]  你做了工之後肚子大了很多
[00:01:56.000 --> 00:01:58.000]  去打一下球也對
[00:01:58.000 --> 00:02:00.000]  我們又笑了一大輪
[00:02:00.000 --> 00:02:02.000]  到七點鐘的時候
[00:02:02.000 --> 00:02:04.000]  我太太放工
[00:02:04.000 --> 00:02:06.000]  我弟弟又放工回家
[00:02:06.000 --> 00:02:08.000]  我們在廚房一起吃飯
[00:02:08.000 --> 00:02:10.000]  爸爸因為要吃粥
[00:02:10.000 --> 00:02:12.000]  所以他就稍遲
[00:02:12.000 --> 00:02:14.000]  我們吃完飯的時候
[00:02:14.000 --> 00:02:16.000]  他就走來廚房
[00:02:16.000 --> 00:02:18.000]  揭開鍋子看一看
[00:02:18.000 --> 00:02:20.000]  煲豆腐
[00:02:20.000 --> 00:02:22.000]  看一看
[00:02:22.000 --> 00:02:24.000]  哥哥跟你煲粥
[00:02:24.000 --> 00:02:26.000]  大家又笑
[00:02:26.000 --> 00:02:28.000]  他就回去
[00:02:28.000 --> 00:02:30.000]  後來就吃了粥
[00:02:30.000 --> 00:02:32.000]  我弟弟就要去禮拜堂練師
[00:02:32.000 --> 00:02:34.000]  我跟我太太就要去神學院
[00:02:34.000 --> 00:02:36.000]  但是心裏
[00:02:36.000 --> 00:02:38.000]  總是覺得有點不舒服
[00:02:38.000 --> 00:02:40.000]  我臨走的時候
[00:02:40.000 --> 00:02:42.000]  我太太給了一個橙給他吃
