
[00:00:00.000 --> 00:00:03.200]  上次講到Donald Whitley
[00:00:03.200 --> 00:00:09.600]  在他那本《診斷靈命狀況的十個問題》裡說
[00:00:09.600 --> 00:00:17.000]  每個人的靈魂在某種意義上都有一種渴慕
[00:00:17.000 --> 00:00:22.900]  儘管人不是每時每刻都感覺到這一點
[00:00:22.900 --> 00:00:29.500]  神助我們,不是讓我們滿足在自身的光景
[00:00:29.500 --> 00:00:33.900]  不管在哪方面以及什麼程度
[00:00:33.900 --> 00:00:40.500]  每個人都想擁有比他現在擁有的更多
[00:00:40.500 --> 00:00:42.400]  讓我再說多一次
[00:00:42.400 --> 00:00:49.000]  每個人都想擁有比他現在所擁有的更多
[00:00:49.000 --> 00:00:51.600]  人與人之間的差異
[00:00:51.600 --> 00:00:56.600]  就在他們靈魂所渴慕的不同
[00:00:56.600 --> 00:01:02.000]  因此他分析說,有三種屬靈的渴慕
[00:01:02.000 --> 00:01:06.800]  於是我們就做了一個屬靈的診斷
[00:01:06.800 --> 00:01:12.600]  看看我們屬於哪一種的渴慕
[00:01:12.600 --> 00:01:19.400]  第一是空虛靈魂的渴慕(empty soul)
[00:01:19.400 --> 00:01:22.900]  所有的人屬血氣的
[00:01:22.900 --> 00:01:26.700]  就是未曾歸入基督名下的人
[00:01:26.700 --> 00:01:30.000]  都有一個空虛的靈魂
[00:01:30.000 --> 00:01:35.400]  這些人包括很多已經受洗的基督徒
[00:01:35.400 --> 00:01:40.100]  因為他們還不知道自己是否已經得救
[00:01:40.100 --> 00:01:42.500]  也沒有認罪悔改
[00:01:42.500 --> 00:01:45.200]  生命更加沒有什麼改變
[00:01:45.200 --> 00:01:48.900]  與未信的沒有分別
[00:01:48.900 --> 00:01:51.300]  這些人因為沒有神
[00:01:51.300 --> 00:01:53.800]  他們只是不斷地去追求
[00:01:53.800 --> 00:02:00.300]  那些可以填滿他空虛心靈的東西
[00:02:00.300 --> 00:02:06.800]  第二是乾渴靈魂的渴慕(dry soul)
[00:02:06.800 --> 00:02:12.100]  乾渴靈魂與空虛靈魂之間的區別就是在於
[00:02:12.100 --> 00:02:18.100]  空虛靈魂是從來未經歷過活水的江河
[00:02:18.100 --> 00:02:21.700]  簡單來說,沒有經歷過水
[00:02:21.700 --> 00:02:27.000]  又或者他們經歷了而懵然不知
[00:02:27.000 --> 00:02:30.700]  而乾渴靈魂他們經歷過
[00:02:30.700 --> 00:02:35.200]  而且知道他們現在就是最缺乏這一點
[00:02:35.200 --> 00:02:40.400]  最缺乏更多的經歷
[00:02:40.400 --> 00:02:45.700]  第三是已得滿足靈魂的渴慕(satisfied soul)
[00:02:45.700 --> 00:02:48.900]  satisfied soul
[00:02:48.900 --> 00:02:52.900]  已得滿足的靈魂渴慕神
[00:02:52.900 --> 00:02:56.700]  正是因為他以神為滿足
[00:02:56.700 --> 00:02:59.200]  他已經嘗過主人的滋味
[00:02:59.200 --> 00:03:01.700]  知道祂的美善
[00:03:01.700 --> 00:03:04.600]  就正正是這種的滋味
[00:03:04.600 --> 00:03:09.000]  這樣獨特的滋味讓他滿足
[00:03:09.000 --> 00:03:15.100]  以致他更加的渴慕
[00:03:15.100 --> 00:03:17.400]  親密認識基督
[00:03:17.400 --> 00:03:21.600]  就能夠解人靈裡面的渴
[00:03:21.600 --> 00:03:25.900]  跟基督相交才能夠真正的滿足我們
[00:03:25.900 --> 00:03:28.800]  因為在祂裡面得到的一切
[00:03:28.800 --> 00:03:31.700]  都不會使我們失望
[00:03:31.700 --> 00:03:36.400]  真正的認識基督就不會缺乏滿足
[00:03:36.400 --> 00:03:42.800]  我們就明白到這個無限的循環
[00:03:42.800 --> 00:03:47.300]  一個人因渴慕而得著
[00:03:47.300 --> 00:03:52.500]  並且因為得著而渴望得到更多
[00:03:52.500 --> 00:03:55.800]  a man by thirsting receives
[00:03:55.800 --> 00:04:01.700]  and receiving thirsts for more
[00:04:01.700 --> 00:04:05.700]  我將已得滿足加了一個引號
[00:04:05.700 --> 00:04:10.600]  是因為我們很多時候都會自己騙自己
[00:04:10.600 --> 00:04:15.600]  也自欺欺人 甚至想欺神
[00:04:15.600 --> 00:04:20.000]  作為牧師 傳道 天天在教會侍奉
[00:04:20.000 --> 00:04:22.300]  天天拿著聖經
[00:04:22.300 --> 00:04:26.800]  我們可以是最乾涸的人
[00:04:26.800 --> 00:04:30.500]  進途之中 滿腦之聖經知識的
[00:04:30.500 --> 00:04:33.900]  在教會擔任要職作帶領的
[00:04:33.900 --> 00:04:39.700]  可以是最需要渴慕的人
[00:04:39.700 --> 00:04:43.300]  不是因為我們渴慕更多
[00:04:43.300 --> 00:04:45.600]  thirsts for more
[00:04:45.600 --> 00:04:55.400]  而是我們自以為已得滿足
[00:04:55.400 --> 00:04:58.300]  了解了屬靈的斷證
[00:04:58.300 --> 00:05:01.700]  知道了我們是屬於哪一種的渴慕
[00:05:01.700 --> 00:05:06.900]  明白了在靈裡面和神的狀況
[00:05:06.900 --> 00:05:11.100]  應該是時候看看有什麼配方
[00:05:11.100 --> 00:05:13.400]  不過在配藥之前
[00:05:13.400 --> 00:05:17.900]  讓我們再讀這幾節的經文
[00:05:17.900 --> 00:05:22.900]  詩篇六十三篇 一到三節
[00:05:22.900 --> 00:05:25.000]  神啊 你是我的神
[00:05:25.000 --> 00:05:27.600]  我要徹徹地尋求你
[00:05:27.600 --> 00:05:30.700]  在乾旱疲乏無水之地
[00:05:30.700 --> 00:05:34.900]  我渴想你 我的心切慕你
[00:05:34.900 --> 00:05:37.700]  我在聖所中如此尖釀你
[00:05:37.700 --> 00:05:41.800]  惟要見你的能力和你的榮耀
[00:05:41.800 --> 00:05:44.600]  因你的慈愛比生命更好
[00:05:44.600 --> 00:05:48.700]  我的嘴唇要重讚你
[00:05:48.700 --> 00:05:53.800]  我們真正明白這些境界是怎樣的嗎
[00:05:53.800 --> 00:05:58.200]  Jonathan Edwards 在他的著作
[00:05:58.200 --> 00:06:01.400]  The Works of Jonathan Edwards 裡面
[00:06:01.400 --> 00:06:04.600]  就他和基督相交得以享受
[00:06:04.600 --> 00:06:07.200]  屬靈裡面的甘甜
[00:06:07.200 --> 00:06:12.300]  以及之後產生更加渴慕的效應之間的關係
[00:06:12.300 --> 00:06:15.000]  作出了這樣的描述
[00:06:15.000 --> 00:06:18.100]  他說 屬靈的甜美
[00:06:18.100 --> 00:06:21.200]  是具有令人滿足的性質
[00:06:21.200 --> 00:06:22.900]  正是因為這個原因
[00:06:22.900 --> 00:06:25.200]  嘗到這種滋味
[00:06:25.200 --> 00:06:28.300]  認識這個性質的靈魂
[00:06:28.300 --> 00:06:31.600]  將會更加渴慕他
[00:06:31.600 --> 00:06:34.500]  渴慕充分地得到他
[00:06:34.500 --> 00:06:37.300]  以便得到滿足
[00:06:37.300 --> 00:06:40.300]  並且他經歷得越多
[00:06:40.300 --> 00:06:43.700]  對這種美妙絕倫 絕慕僅有
[00:06:43.700 --> 00:06:47.700]  令人滿足的甘甜明白得越多
[00:06:47.700 --> 00:06:54.200]  他就會更加的迫切渴慕
[00:06:54.200 --> 00:06:56.700]  這樣的描述 簡單來說
[00:06:56.700 --> 00:06:59.700]  豈不是就是我們廣東話所說的
[00:06:59.700 --> 00:07:04.800]  吃過番沉味的那個滋味
[00:07:04.800 --> 00:07:06.200]  這種的渴慕
[00:07:06.200 --> 00:07:11.000]  是不是你渴慕已久的呢
[00:07:11.000 --> 00:07:16.900]  但是你番沉的是什麼味呢
[00:07:16.900 --> 00:07:19.300]  圖書A.W. Tozer
[00:07:19.300 --> 00:07:20.700]  在他的著作
[00:07:20.700 --> 00:07:22.400]  《The Pursuit of God》
[00:07:22.400 --> 00:07:26.500]  《渴慕神》裡面所說的
[00:07:26.500 --> 00:07:29.000]  The piercing sweetness
[00:07:29.000 --> 00:07:33.100]  被基督征服的甜蜜
[00:07:33.100 --> 00:07:36.400]  這種迷人的滋味
[00:07:36.400 --> 00:07:41.100]  使你在一種屬天的不滿足
[00:07:41.100 --> 00:07:45.000]  而又渴慕更多的光景裡面
[00:07:45.000 --> 00:07:50.700]  A divine discontent that desires more
[00:07:50.700 --> 00:07:53.400]  圖書在同一本書裡面
[00:07:53.400 --> 00:07:55.900]  有以下的一個禱告
[00:07:55.900 --> 00:08:00.400]  它是不是可以反映到你的渴望呢
[00:08:00.400 --> 00:08:01.500]  無論如何
[00:08:01.500 --> 00:08:04.700]  我盼望這個禱告
[00:08:04.700 --> 00:08:09.700]  是成為你和我的寫照
[00:08:09.700 --> 00:08:13.100]  這個禱告是怎樣的呢
[00:08:13.100 --> 00:08:17.300]  Oh God, I have tasted thy goodness
[00:08:17.300 --> 00:08:19.500]  and it has both satisfied me
[00:08:19.500 --> 00:08:22.300]  and made me thirsty for more
[00:08:22.300 --> 00:08:27.100]  I am painfully conscious of my need for further grace
[00:08:27.100 --> 00:08:30.900]  I am ashamed of my lack of desire
[00:08:30.900 --> 00:08:34.100]  Oh God, the Triune God
[00:08:34.100 --> 00:08:37.100]  I want to want thee
[00:08:37.100 --> 00:08:39.900]  I long to be filled with longing
[00:08:39.900 --> 00:08:46.100]  I thirst to be made thirsty still
[00:08:46.100 --> 00:08:49.600]  神啊,我已經嘗過你的美善
[00:08:49.600 --> 00:08:51.700]  它既滿足了我
[00:08:51.700 --> 00:08:56.700]  又讓我更加的渴慕
[00:08:56.700 --> 00:09:02.300]  我痛徹的意識到我需要更多的恩典
[00:09:02.300 --> 00:09:06.200]  我羞於自己缺乏渴望
[00:09:06.200 --> 00:09:08.800]  神啊,三一的神
[00:09:08.800 --> 00:09:11.300]  我渴望渴慕你
[00:09:11.300 --> 00:09:14.900]  我渴望被渴慕充滿
[00:09:14.900 --> 00:09:21.700]  我渴望變得營救渴慕
[00:09:21.700 --> 00:09:25.400]  你有沒有痛徹的
[00:09:25.400 --> 00:09:31.200]  需要更多的恩典呢
[00:09:31.200 --> 00:09:38.500]  有沒有羞於自己的缺乏渴望呢
[00:09:38.500 --> 00:09:40.200]  這個禱告
[00:09:40.200 --> 00:09:42.500]  是不是你的禱告呢
[00:09:42.500 --> 00:09:47.200]  你想不想可以這樣禱告呢
[00:09:47.200 --> 00:09:52.700]  我們怎樣才能夠去到這樣的光景呢
[00:09:52.700 --> 00:09:55.600]  如果我們必須要選擇一個形容詞
[00:09:55.600 --> 00:09:59.000]  來形容現今的社會
[00:09:59.000 --> 00:10:04.900]  或者最準確的形容詞就是壓力
[00:10:04.900 --> 00:10:07.100]  我們在生活的各個方面
[00:10:07.100 --> 00:10:11.100]  每一天都標誌著壓力
[00:10:11.100 --> 00:10:12.900]  在這樣的壓力之中
[00:10:12.900 --> 00:10:18.700]  有一件事將決定我們的人生歷程
[00:10:18.700 --> 00:10:24.500]  我們每一個人都有一組人生的優先次序
[00:10:24.500 --> 00:10:26.000]  Priorities
[00:10:26.000 --> 00:10:30.400]  如果我們的重點都沒有明確的規定
[00:10:30.400 --> 00:10:32.600]  我們將會在生活之中
[00:10:32.600 --> 00:10:38.400]  被各種的壓力拉扯成為五馬分屍
[00:10:38.400 --> 00:10:40.700]  因此至關重要的是
[00:10:40.700 --> 00:10:43.600]  我們要有正確的優先次序
[00:10:43.600 --> 00:10:45.200]  有了正確的優先次序
[00:10:45.200 --> 00:10:48.500]  將可以決定我們怎樣渡過我們的時間
[00:10:48.500 --> 00:10:51.900]  和我們怎樣善用我們的時間
[00:10:51.900 --> 00:10:55.300]  以及我們怎樣去做決定
[00:10:55.300 --> 00:10:57.700]  但是這個優先次序
[00:10:57.700 --> 00:11:03.300]  是要在神裡面的優先次序
[00:11:03.300 --> 00:11:04.600]  簡單來說
[00:11:04.600 --> 00:11:08.500]  小時候我們放學之後要去玩
[00:11:08.500 --> 00:11:11.600]  媽媽說做完功課才去
[00:11:11.600 --> 00:11:14.700]  這個就是Priorities
[00:11:14.700 --> 00:11:20.100]  靈修重要還是多睡15分鐘重要呢
[00:11:20.100 --> 00:11:21.900]  其實說實在一點
[00:11:21.900 --> 00:11:24.300]  如果昨晚你早睡15分鐘
[00:11:24.300 --> 00:11:27.400]  其實就已經解決了問題
[00:11:27.400 --> 00:11:32.100]  又或者化少15分鐘妝就可以了
[00:11:32.100 --> 00:11:36.500]  少看15分鐘TikTok、抖音、YouTube
[00:11:36.500 --> 00:11:40.300]  電話、電視就可以
[00:11:40.300 --> 00:11:44.100]  電影《烈火戰車》(Chariots of Fire)
[00:11:44.100 --> 00:11:46.200]  是真人真事
[00:11:46.200 --> 00:11:49.600]  說到當中Eric Liddell
[00:11:49.600 --> 00:11:52.700]  他面對的是奧運金牌重要
[00:11:52.700 --> 00:11:57.000]  還是在主人敬拜神重要
[00:11:57.000 --> 00:11:59.200]  你回教會敬拜重要
[00:11:59.200 --> 00:12:03.200]  還是和朋友和家人喝茶重要
[00:12:03.200 --> 00:12:04.700]  你敬拜神重要
[00:12:04.700 --> 00:12:07.400]  還是讀書考試重要
[00:12:07.400 --> 00:12:10.200]  再說團契主一學
[00:12:10.200 --> 00:12:12.500]  究竟你買菜重要
[00:12:12.500 --> 00:12:14.900]  和朋友聚舊重要
[00:12:14.900 --> 00:12:19.500]  還是和神和弟兄姊妹相交重要
[00:12:19.500 --> 00:12:24.900]  這一連串的問題都是Priorities
[00:12:24.900 --> 00:12:26.300]  優先次序
[00:12:26.300 --> 00:12:32.300]  在神裡面的優先次序
[00:12:32.300 --> 00:12:38.100]  大衛是知道什麼叫做生活在壓力底下的人
[00:12:38.100 --> 00:12:39.900]  作為以色列的王
[00:12:39.900 --> 00:12:43.000]  他知道領導的壓力
[00:12:43.000 --> 00:12:47.300]  在更高位就有更大的壓力
[00:12:47.300 --> 00:12:49.300]  大衛在位期間
[00:12:49.300 --> 00:12:54.600]  他的兒子阿撒隆領導了反對他的叛亂
[00:12:54.600 --> 00:12:59.000]  大衛和他忠實的追隨者不得不逃命
[00:12:59.000 --> 00:13:00.300]  就在這段時間
[00:13:00.300 --> 00:13:04.900]  大衛在猶大曠野的東北部逗留了一會
[00:13:04.900 --> 00:13:07.400]  他越過約旦河之前
[00:13:07.400 --> 00:13:11.400]  在那塊貧窒的土地為了生存
[00:13:11.400 --> 00:13:14.200]  他逃離自己的兒子
[00:13:14.200 --> 00:13:18.300]  感覺沮喪灰心
[00:13:18.300 --> 00:13:22.300]  面對拒絕和不確定的未來
[00:13:22.300 --> 00:13:24.700]  大衛就在這個時候
[00:13:24.700 --> 00:13:31.300]  寫了詩篇六十三篇
[00:13:31.300 --> 00:13:32.800]  早期教父
[00:13:32.800 --> 00:13:36.200]  君士丹丁堡大主教John Chrysostom
[00:13:36.200 --> 00:13:38.400]  他說這一篇的詩篇
[00:13:38.400 --> 00:13:42.200]  是早期教會頒布並且確認
[00:13:42.200 --> 00:13:43.700]  是每一天
[00:13:43.700 --> 00:13:45.500]  若果不讀過一次
[00:13:45.500 --> 00:13:47.700]  詩篇六十三篇的話
[00:13:47.700 --> 00:13:53.200]  你這一天就是白過
[00:13:53.200 --> 00:13:54.800]  很多古老的教堂
[00:13:54.800 --> 00:14:01.500]  每個主人都以詩篇六十三篇作為開始
[00:14:01.500 --> 00:14:04.500]  因此這篇詩又被稱為
[00:14:04.500 --> 00:14:09.900]  祖上的讚歌The Morning Hymn
[00:14:09.900 --> 00:14:12.100]  我們這個星期
[00:14:12.100 --> 00:14:15.400]  朝早或者夜晚的靈修
[00:14:15.400 --> 00:14:17.300]  你又會不會試一試
[00:14:17.300 --> 00:14:23.000]  以詩篇六十三篇作為開始?
[00:14:23.000 --> 00:14:26.000]  詩篇六十三篇表明了在壓力之下
[00:14:26.000 --> 00:14:30.800]  大衛這個渴慕神的人的優先次序
[00:14:30.800 --> 00:14:33.100]  如果你或者我
[00:14:33.100 --> 00:14:35.200]  在好像大衛面對著
[00:14:35.200 --> 00:14:39.300]  各種那麼大的壓力之下
[00:14:39.300 --> 00:14:40.300]  我懷疑
[00:14:40.300 --> 00:14:44.100]  我們還會不會有心情寫詩、寫歌?
[00:14:44.100 --> 00:14:45.500]  又或者
[00:14:45.500 --> 00:14:47.400]  如果我們真的這樣做的話
[00:14:47.400 --> 00:14:51.900]  這首詩歌可能包含著大量的緊急請求
[00:14:51.900 --> 00:14:57.200]  「救命啊!上帝!讓我離開這裡!」
[00:14:57.200 --> 00:14:59.900]  大衛的確在詩篇六十三篇
[00:14:59.900 --> 00:15:02.400]  寫了一首這樣的詩歌
[00:15:02.400 --> 00:15:03.900]  但是有趣的是
[00:15:03.900 --> 00:15:05.900]  在詩篇六十三篇裏面
[00:15:05.900 --> 00:15:09.700]  大衛表示嚮往神的存在
[00:15:09.700 --> 00:15:12.700]  讚美、歡樂、友情
[00:15:12.700 --> 00:15:14.400]  以及對神的信心
[00:15:14.400 --> 00:15:16.900]  信靠神的救恩
[00:15:16.900 --> 00:15:20.900]  其中並沒有任何要求的時間
[00:15:20.900 --> 00:15:23.600]  甚至要求的字眼
[00:15:23.600 --> 00:15:27.700]  連一個屬靈的祝福的字眼都沒有
[00:15:27.700 --> 00:15:29.400]  詩篇告訴我們
[00:15:29.400 --> 00:15:36.300]  大衛的首要任務是尋求神
[00:15:36.300 --> 00:15:41.700]  尋求神、渴慕神、渴想神
[00:15:41.700 --> 00:15:47.300]  應該是我們最重要的優先事項
