
[00:00:00.000 --> 00:00:03.120]  會點很多不同的人
[00:00:03.120 --> 00:00:06.400]  很多不同的全道目者
[00:00:06.400 --> 00:00:08.520]  但是我感謝上帝
[00:00:08.520 --> 00:00:11.520]  神給我們每一個都有不同的恩賜
[00:00:11.520 --> 00:00:13.040]  每一個都有不同的恩賜
[00:00:13.040 --> 00:00:14.600]  不單止我是目者
[00:00:14.600 --> 00:00:16.920]  今天你、我
[00:00:16.920 --> 00:00:18.560]  在你們的生命當中
[00:00:18.560 --> 00:00:20.560]  神都將不同的東西
[00:00:20.560 --> 00:00:22.400]  擠進了我們生命當中
[00:00:22.400 --> 00:00:24.800]  所以我們每人也只有一生
[00:00:24.800 --> 00:00:26.600]  我們今天一起去學習
[00:00:26.600 --> 00:00:28.680]  我們這一生怎樣去運用
[00:00:28.680 --> 00:00:29.960]  合神心意
[00:00:29.960 --> 00:00:33.400]  好嗎?我們一起禱告
[00:00:33.400 --> 00:00:35.400]  真是天父我們感謝、讚美祢
[00:00:35.400 --> 00:00:36.760]  神啊,是呀
[00:00:36.760 --> 00:00:38.280]  祢教導我們
[00:00:38.280 --> 00:00:40.240]  將我們的生命交給我們
[00:00:40.240 --> 00:00:41.680]  自己去管理
[00:00:41.680 --> 00:00:42.760]  不是因為我們
[00:00:42.760 --> 00:00:43.600]  祢信得過我們
[00:00:43.600 --> 00:00:45.480]  一定我們不會搞壞我們的生命
[00:00:45.480 --> 00:00:46.280]  不是
[00:00:46.280 --> 00:00:47.080]  現在神啊
[00:00:47.080 --> 00:00:48.360]  祢告訴我們
[00:00:48.360 --> 00:00:50.240]  我們怎樣要學習
[00:00:50.240 --> 00:00:53.200]  在祢裏面做我們生命的好管家
[00:00:53.200 --> 00:00:54.280]  神啊,我們眾言
[00:00:54.280 --> 00:00:55.960]  我們成為了基督徒
[00:00:55.960 --> 00:00:58.120]  但是神啊,我們有時生命都是一塌糊塗
[00:00:58.120 --> 00:00:59.600]  有時我們成為了基督徒
[00:00:59.600 --> 00:01:00.880]  我們還是不懂得
[00:01:00.880 --> 00:01:02.440]  祢在我們生命上有甚麼計劃
[00:01:02.440 --> 00:01:03.840]  所以今天教導我們
[00:01:03.840 --> 00:01:06.080]  求祢特別教導小復
[00:01:06.080 --> 00:01:07.480]  叫我口所說的
[00:01:07.480 --> 00:01:08.800]  神啊,都是祝福人的說話
[00:01:08.800 --> 00:01:10.080]  叫我口所說的
[00:01:10.080 --> 00:01:11.320]  和我所行的
[00:01:11.320 --> 00:01:12.240]  都是言行一致
[00:01:12.240 --> 00:01:13.200]  不單止是這樣
[00:01:13.200 --> 00:01:14.240]  今天他們要學習
[00:01:14.240 --> 00:01:15.120]  突然之間我學習
[00:01:15.120 --> 00:01:16.920]  同樣我也是要和他們
[00:01:16.920 --> 00:01:18.080]  一起學習
[00:01:18.080 --> 00:01:19.400]  上帝祢給我們話語
[00:01:19.400 --> 00:01:20.640]  我們感謝、讚美祢
[00:01:20.640 --> 00:01:21.960]  禱告、交託
[00:01:21.960 --> 00:01:22.920]  奉耶穌基督
[00:01:22.920 --> 00:01:24.400]  得生命之祈求
[00:01:24.400 --> 00:01:24.920]  Amen
[00:01:24.920 --> 00:01:29.560]  完了這個呼喊式的祈禱
[00:01:29.560 --> 00:01:31.920]  接著就要開始講道
[00:01:31.920 --> 00:01:34.880]  今天講道的題目
[00:01:34.880 --> 00:01:36.480]  叫「及時行樂」
[00:01:36.480 --> 00:01:40.280]  我們先看看我們今天的經文
[00:01:40.280 --> 00:01:42.240]  聽我讀出
[00:01:42.240 --> 00:01:44.000]  全道書十一章七至十節
[00:01:44.000 --> 00:01:45.720]  光是甜美的
[00:01:45.720 --> 00:01:47.920]  眼見日光是多麼好
[00:01:47.920 --> 00:01:50.440]  人活多年就當快樂多少年
[00:01:50.440 --> 00:01:52.880]  然而也當想到黑暗的日子
[00:01:52.880 --> 00:01:54.880]  因為這樣的日子必多
[00:01:54.880 --> 00:01:57.960]  所以要來臨的全是虛空
[00:01:57.960 --> 00:02:00.880]  年輕人你在年少的時候當快樂
[00:02:00.880 --> 00:02:03.200]  在年輕的時候你的心寬敞
[00:02:03.200 --> 00:02:05.600]  做你所心與所願做的
[00:02:05.600 --> 00:02:07.400]  看你眼所開漢的
[00:02:07.400 --> 00:02:09.560]  卻要知道為這一切
[00:02:09.560 --> 00:02:11.040]  神必審問你
[00:02:11.040 --> 00:02:15.080]  所以當從心中除掉愁煩
[00:02:15.080 --> 00:02:16.880]  從肉體中除去痛苦
[00:02:16.880 --> 00:02:19.600]  因為年少和年輕之事
[00:02:19.600 --> 00:02:22.200]  全是虛空
[00:02:22.200 --> 00:02:24.360]  稍後我們看看
[00:02:24.360 --> 00:02:25.640]  在全道書裡面
[00:02:25.640 --> 00:02:26.600]  我們知道很多時候
[00:02:26.600 --> 00:02:28.600]  都經常講一件事叫做「虛空」
[00:02:28.600 --> 00:02:30.440]  即是什麼都沒有的
[00:02:30.440 --> 00:02:31.160]  虛空
[00:02:31.160 --> 00:02:34.120]  在字面的解釋就好像什麼都沒有
[00:02:34.120 --> 00:02:35.360]  但是在實質上
[00:02:35.360 --> 00:02:36.720]  原文的解釋就是
[00:02:36.720 --> 00:02:38.720]  一口氣
[00:02:38.720 --> 00:02:40.440]  一些泡沫
[00:02:40.440 --> 00:02:42.280]  我們玩泡沫的時候吹了出來
[00:02:42.280 --> 00:02:43.640]  就沒有了
[00:02:43.640 --> 00:02:45.160]  我們不會覺得這些泡沫
[00:02:45.160 --> 00:02:46.000]  拿了回去
[00:02:46.000 --> 00:02:47.560]  可不可以儲起來呢
[00:02:47.560 --> 00:02:49.720]  我記得我小時候的女兒
[00:02:49.720 --> 00:02:51.640]  覺得很想問我一個問題
[00:02:51.640 --> 00:02:52.880]  為什麼抓不到
[00:02:52.880 --> 00:02:54.720]  我想帶回家 為什麼帶不到
[00:02:54.720 --> 00:02:56.280]  我說你傻啦 不用帶
[00:02:56.280 --> 00:02:57.800]  你抓不到
[00:02:57.800 --> 00:02:59.360]  所以虛空的東西
[00:02:59.360 --> 00:03:00.840]  我們要由得它去虛空
[00:03:00.840 --> 00:03:03.360]  但是全道書
[00:03:03.360 --> 00:03:05.400]  它所說的虛空是不是這件事呢
[00:03:05.400 --> 00:03:08.640]  我們先來看看全道書的基本資料
[00:03:08.640 --> 00:03:10.520]  作者是所羅門
[00:03:10.520 --> 00:03:12.080]  也有很多不同的說法
[00:03:12.080 --> 00:03:14.480]  我們今天不和大家在這裡
[00:03:14.480 --> 00:03:16.360]  詳細討論了
[00:03:16.360 --> 00:03:18.000]  我們先說作者是所羅門
[00:03:18.000 --> 00:03:18.960]  和一些傳道者
[00:03:18.960 --> 00:03:20.760]  或者一些傳道者
[00:03:20.760 --> 00:03:25.920]  用所羅門的智慧言語去歸式成書
[00:03:25.920 --> 00:03:26.760]  重點字
[00:03:26.760 --> 00:03:28.440]  日光之下
[00:03:28.440 --> 00:03:29.640]  虛空
[00:03:29.640 --> 00:03:30.960]  年幼
