
[00:00:00.000 --> 00:00:03.740]  很高興可以跟大家一齊分享
[00:00:03.740 --> 00:00:06.540]  剛才宗師說我很有經驗
[00:00:06.540 --> 00:00:07.240]  其實不是的
[00:00:07.240 --> 00:00:09.160]  因為我只有兩個兒女
[00:00:09.160 --> 00:00:11.800]  他們都已經長大成人了
[00:00:11.800 --> 00:00:15.380]  我兒子結婚也有兩個女兒
[00:00:15.380 --> 00:00:16.380]  是孿孫
[00:00:16.380 --> 00:00:19.820]  所以其實我不是很多的經驗
[00:00:19.820 --> 00:00:22.260]  是跟小孩子一起的
[00:00:22.260 --> 00:00:25.920]  但是我在英國裡面也經常為我預備
[00:00:25.920 --> 00:00:27.520]  我有一個使命
[00:00:27.520 --> 00:00:28.700]  就是很想關心別人
[00:00:28.700 --> 00:00:31.840]  當我去不同的教會崇拜聚會
[00:00:31.840 --> 00:00:36.760]  就發覺到少年人的那一絕是斷層的
[00:00:36.760 --> 00:00:40.600]  就是十一、二歲之前還可以押回教會
[00:00:40.600 --> 00:00:43.120]  但是到了十一、二歲之後
[00:00:43.120 --> 00:00:45.360]  就算你押回教會也好
[00:00:45.360 --> 00:00:46.940]  那個人的軀殼在那裡
[00:00:46.940 --> 00:00:48.280]  靈魂是不在那裡的
[00:00:48.280 --> 00:00:49.640]  是斷層的
[00:00:49.640 --> 00:00:53.020]  熟悉我也知道我很關心青少年的
[00:00:53.020 --> 00:00:55.620]  所以在三年多
[00:00:55.620 --> 00:00:57.020]  差不多現在四年前
[00:00:57.020 --> 00:00:59.520]  我就在網上開了一個聚會
[00:00:59.520 --> 00:01:01.380]  就叫「學是學非」
[00:01:01.380 --> 00:01:03.340]  「是」是侍奉的「是」
[00:01:03.340 --> 00:01:05.260]  「非」是信心
[00:01:05.260 --> 00:01:06.400]  「學是學非」
[00:01:06.400 --> 00:01:11.280]  都感恩拿到三、四十個青少年
[00:01:11.280 --> 00:01:14.840]  年齡層現在是很闊的
[00:01:14.840 --> 00:01:17.020]  由九歲到十九歲
[00:01:17.020 --> 00:01:19.560]  我都不知道可以跟他們談些什麼
[00:01:19.560 --> 00:01:20.640]  但是都OK的
[00:01:20.640 --> 00:01:22.440]  都仍然可以哄到小朋友的
[00:01:22.440 --> 00:01:24.160]  跟他們有聚會
[00:01:24.160 --> 00:01:26.520]  在網上都很感恩
[00:01:26.520 --> 00:01:28.880]  都保持到一群人
[00:01:28.880 --> 00:01:31.720]  都很大的感受
[00:01:31.720 --> 00:01:35.760]  所以某個程度我都會盡量去了解多些
[00:01:35.760 --> 00:01:38.440]  我亦都為了這個課題
[00:01:38.440 --> 00:01:42.260]  小牧師說因為我們是從香港來的父母
[00:01:42.260 --> 00:01:44.580]  但是我們的子女跟了我們幾年之後
[00:01:44.580 --> 00:01:47.900]  他們已經是英國的親生兒子
[00:01:47.900 --> 00:01:51.100]  那時候怎樣去面對這個衝擊呢?
[00:01:51.100 --> 00:01:54.160]  所以我都為了這個原因
[00:01:54.160 --> 00:01:57.260]  我就接觸過不少的父母
[00:01:57.260 --> 00:02:01.700]  他們的小朋友年齡多數是在十三、四歲以下的
[00:02:01.700 --> 00:02:06.160]  了解一下他們的情況是怎樣
[00:02:06.160 --> 00:02:11.080]  我不想講一些很空泛的東西
