
[00:00:00.000 --> 00:00:02.000]  各位領事們,平安!
[00:00:02.000 --> 00:00:09.000]  我們開始之前也有個祈禱,我們一起低頭同心禱告
[00:00:09.000 --> 00:00:14.000]  愛我們的主,求祢與我們同在
[00:00:14.000 --> 00:00:17.000]  幫助我們明白祢的話語
[00:00:17.000 --> 00:00:19.000]  叫我們不知道聽到
[00:00:19.000 --> 00:00:22.000]  而且能夠有勇氣去實踐出來
[00:00:22.000 --> 00:00:25.000]  指教我們專心去聆聽祢的話
[00:00:25.000 --> 00:00:28.000]  叫我們每天都用不同的方式去思想祢
[00:00:28.000 --> 00:00:31.000]  叫我們遵守,遵行祢的道
[00:00:31.000 --> 00:00:35.000]  全心全意,做祢所喜,願我們要做的事
[00:00:35.000 --> 00:00:39.000]  祈禱,託奉主耶穌基督,得聖的名祈求
[00:00:39.000 --> 00:00:40.000]  阿們
[00:00:40.000 --> 00:00:45.000]  我們看看今天的題目
[00:00:45.000 --> 00:00:48.000]  題目是「獨木可知」
[00:00:48.000 --> 00:00:52.000]  獨木與獨木橋和獨木舟是沒有關係的
[00:00:52.000 --> 00:00:57.000]  經文是《使徒行傳》24章1至27節
[00:00:57.000 --> 00:01:00.000]  剛才我們讀了1至21節
[00:01:00.000 --> 00:01:05.000]  好,今天我想帶大家去一個場景
[00:01:05.000 --> 00:01:08.000]  這是一個法庭的場景
[00:01:08.000 --> 00:01:12.000]  我們想想我們現在在一個法庭裏面
[00:01:12.000 --> 00:01:15.000]  各位是一個陪審團、陪審員
[00:01:15.000 --> 00:01:17.000]  各位都是陪審員
[00:01:17.000 --> 00:01:23.000]  我們看看,現在我們一起進入一個案件裏面
[00:01:23.000 --> 00:01:25.000]  一起看看審訊
[00:01:25.000 --> 00:01:28.000]  首先我帶大家去到
[00:01:28.000 --> 00:01:32.000]  主後的57年,大約是57年的時間
[00:01:32.000 --> 00:01:35.000]  被跌在蓋薩尼亞
[00:01:35.000 --> 00:01:37.000]  很快便開審了
[00:01:37.000 --> 00:01:41.000]  各位陪審團,你們準備好了嗎?
[00:01:41.000 --> 00:01:44.000]  準備好了吧?好,我們先進入經文
[00:01:44.000 --> 00:01:47.000]  我們看看原告人是誰
[00:01:47.000 --> 00:01:50.000]  當然在法庭裏面有原告人
[00:01:50.000 --> 00:01:52.000]  原告人有三個單位
[00:01:52.000 --> 00:01:55.000]  第一個就是大祭司阿拿尼亞
[00:01:55.000 --> 00:01:58.000]  第二個單位就是幾位長老
[00:01:58.000 --> 00:02:01.000]  接著就是鐵土羅律師
[00:02:01.000 --> 00:02:02.000]  這位律師
[00:02:02.000 --> 00:02:05.000]  他們三個單位都是有權有勢的人
[00:02:05.000 --> 00:02:08.000]  好,我們當然有一個被告人
[00:02:08.000 --> 00:02:10.000]  被告就是保羅
[00:02:10.000 --> 00:02:13.000]  保羅是一個無權無勢的人
[00:02:13.000 --> 00:02:16.000]  接著我們看看誰是做主審官
[00:02:16.000 --> 00:02:18.000]  他就是菲力斯大人
[00:02:18.000 --> 00:02:20.000]  我們在第二節裏看到了
[00:02:20.000 --> 00:02:24.000]  這裏已經清楚地列出
[00:02:24.000 --> 00:02:28.000]  誰是主審官、原告人和被告
[00:02:28.000 --> 00:02:33.000]  我們看看這宗案件有甚麼控罪
[00:02:33.000 --> 00:02:37.000]  以及證人以及證據
[00:02:37.000 --> 00:02:39.000]  我們看看經文
[00:02:39.000 --> 00:02:42.000]  控罪,控罪一就在第五節裏面
[00:02:42.000 --> 00:02:44.000]  它裏面說到
[00:02:44.000 --> 00:02:49.000]  鼓動普天下所有猶太人作亂的人
[00:02:49.000 --> 00:02:51.000]  好像瘟疫那樣
[00:02:51.000 --> 00:02:53.000]  是一位知事份子
[00:02:53.000 --> 00:02:54.000]  如果是屬實的話
[00:02:54.000 --> 00:02:56.000]  即是保羅所作所為
[00:02:56.000 --> 00:02:59.000]  是一個威脅到羅馬帝國的安全
[00:02:59.000 --> 00:03:03.000]  也觸犯了羅馬的法律
[00:03:03.000 --> 00:03:05.000]  好,我們看看第一個控罪
[00:03:05.000 --> 00:03:06.000]  第二個控罪是甚麼呢
[00:03:06.000 --> 00:03:07.000]  就在第六節裏面
[00:03:07.000 --> 00:03:10.000]  它說是污穢聖殿
[00:03:10.000 --> 00:03:13.000]  聖殿是猶太人敬拜的地方
[00:03:13.000 --> 00:03:21.000]  因為它描示了猶太人最高敬拜的上帝的忠心
[00:03:21.000 --> 00:03:23.000]  所以這裏是頗大罪
[00:03:23.000 --> 00:03:27.000]  好,有了兩條控罪
[00:03:27.000 --> 00:03:29.000]  我們看看有沒有證人
[00:03:29.000 --> 00:03:31.000]  證人我們看看有沒有
[00:03:31.000 --> 00:03:37.000]  第九節裏面說中猶太人也隨著控告他
[00:03:37.000 --> 00:03:39.000]  好,我們可以看到
[00:03:39.000 --> 00:03:44.000]  在場的猶太人同聲附和
[00:03:44.000 --> 00:03:47.000]  和認這個律師
[00:03:47.000 --> 00:03:50.000]  好,似乎好像沒有甚麼正式的證人
[00:03:50.000 --> 00:03:53.000]  召他來到這個法庭裏面
[00:03:53.000 --> 00:03:55.000]  我們看看證據
[00:03:55.000 --> 00:03:57.000]  我們再看多一點
[00:03:57.000 --> 00:04:01.000]  證據其實猶太人沒有任何確實的證據
[00:04:01.000 --> 00:04:05.000]  沒有人見到保羅在聖殿裏面跟別人爭辯
[00:04:05.000 --> 00:04:07.000]  或者在會堂裏面
[00:04:07.000 --> 00:04:10.000]  或者在城裏面煽動群眾
[00:04:10.000 --> 00:04:14.000]  暫時未有確實的證據
[00:04:14.000 --> 00:04:17.000]  這裏簡單地列明
[00:04:17.000 --> 00:04:23.000]  我們看到被告的控罪有兩點
[00:04:23.000 --> 00:04:27.000]  證人沒有,證據亦沒有任何確鑿的證據
[00:04:27.000 --> 00:04:31.000]  好,我們在法庭裏面
[00:04:31.000 --> 00:04:35.000]  又聽到控方的控罪的陳詞
[00:04:35.000 --> 00:04:38.000]  我們進入經文細心看一看
[00:04:38.000 --> 00:04:40.000]  控方一些細節的地方
[00:04:40.000 --> 00:04:45.000]  以及保羅如何為自己去自辯的內容
[00:04:45.000 --> 00:04:49.000]  我們看看第24章的第一節
[00:04:49.000 --> 00:04:53.000]  這裏提到當保羅被押到秦府大人
[00:04:53.000 --> 00:04:59.000]  阿拉利亞,即菲力斯大人那裏的時候
[00:04:59.000 --> 00:05:01.000]  過了五天
[00:05:01.000 --> 00:05:07.000]  短時間後,猶太公會的人派人到蓋薩利亞
[00:05:07.000 --> 00:05:14.000]  可以見到這班公會的人都著急地去捉拿保羅
[00:05:14.000 --> 00:05:18.000]  要對付他,務求將問題快些解決
[00:05:18.000 --> 00:05:21.000]  商討對策後
[00:05:21.000 --> 00:05:26.000]  大祭司、長老及會中的人
[00:05:26.000 --> 00:05:31.000]  聘請了鐵土羅律師
[00:05:31.000 --> 00:05:34.000]  這位律師很有口才
[00:05:34.000 --> 00:05:37.000]  亦是精通律法的人
[00:05:37.000 --> 00:05:43.000]  可以代表他們在秦府大人面前控告保羅
[00:05:43.000 --> 00:05:45.000]  大祭司、阿拉利亞
