
[00:00:00.000 --> 00:00:02.000]  各位聽聽節目的各位朋友 早安
[00:00:02.000 --> 00:00:04.240]  中秋節快樂
[00:00:04.240 --> 00:00:07.320]  還有兩天
[00:00:07.320 --> 00:00:10.320]  今天是8月13日
[00:00:10.320 --> 00:00:11.600]  農曆的8月13日
[00:00:11.600 --> 00:00:13.280]  還有兩天 星期二
[00:00:13.280 --> 00:00:15.280]  就是8月15日 知道嗎
[00:00:15.280 --> 00:00:16.680]  不知道吧
[00:00:16.680 --> 00:00:17.960]  我們在海外
[00:00:17.960 --> 00:00:20.480]  還有兩天 星期二晚上
[00:00:20.480 --> 00:00:21.920]  就是中秋節
[00:00:21.920 --> 00:00:24.880]  我們經常說中秋節
[00:00:24.880 --> 00:00:28.240]  是一個滿月
[00:00:29.200 --> 00:00:31.480]  不知道今天星期二我們能否看到月亮呢
[00:00:31.480 --> 00:00:34.520]  昨晚也不太能看到
[00:00:34.520 --> 00:00:35.720]  最近很多雲
[00:00:35.720 --> 00:00:37.520]  滿月
[00:00:37.520 --> 00:00:39.600]  特別對我們中國人來說
[00:00:39.600 --> 00:00:40.880]  8月15日滿月
[00:00:40.880 --> 00:00:42.160]  我們會有很多
[00:00:42.160 --> 00:00:43.880]  這些概念
[00:00:43.880 --> 00:00:46.560]  滿月的時候就是人月團圓
[00:00:46.560 --> 00:00:48.240]  花好月圓
[00:00:48.240 --> 00:00:52.480]  說到很好的一家人相處
[00:00:52.480 --> 00:00:54.280]  好
[00:00:54.280 --> 00:00:56.120]  上個星期BBQ很開心
[00:00:56.120 --> 00:00:57.080]  我有常識題
[00:00:57.080 --> 00:00:58.720]  看看大家懂不懂
[00:00:58.720 --> 00:00:59.760]  這個文學題
[00:00:59.760 --> 00:01:03.040]  人有悲歡離合
[00:01:03.040 --> 00:01:05.040]  月有陰晴圓缺
[00:01:05.040 --> 00:01:06.400]  嘩
[00:01:06.400 --> 00:01:08.880]  上了年紀的那些是比較厲害的
[00:01:08.880 --> 00:01:12.880]  對了
[00:01:12.880 --> 00:01:15.680]  這一句就是來自宋詞
[00:01:15.680 --> 00:01:17.360]  蘇式的水調歌頭
[00:01:17.360 --> 00:01:19.320]  這裡是最後那兩句
[00:01:19.320 --> 00:01:21.000]  人有悲歡離合
[00:01:21.000 --> 00:01:23.360]  月有陰晴圓缺
[00:01:23.360 --> 00:01:24.840]  此事古難傳
[00:01:24.840 --> 00:01:26.440]  但願人長久
[00:01:26.440 --> 00:01:28.560]  千里共善捐
[00:01:28.840 --> 00:01:29.600]  嘩
[00:01:29.600 --> 00:01:33.320]  年紀大的特別有更多感受
[00:01:33.320 --> 00:01:34.760]  這一句其實是說什麼呢?
[00:01:34.760 --> 00:01:35.480]  就是說
[00:01:35.480 --> 00:01:37.680]  人有悲歡離合這些變遷
[00:01:37.680 --> 00:01:39.440]  其實是很容易有的
[00:01:39.440 --> 00:01:41.400]  正如我們看月亮一樣
[00:01:41.400 --> 00:01:43.600]  有時候是一個滿月
[00:01:43.600 --> 00:01:45.160]  有時候是一個峨眉月
