
[00:00:00.000 --> 00:00:02.460]  親天我們感謝祢讓我們能夠經歷祢更多
[00:00:02.460 --> 00:00:05.900]  求祢的愛 祢的榮美 更大的與我們同在
[00:00:05.900 --> 00:00:08.000]  誰聽我們的禱告 誰聽我們的代求
[00:00:08.000 --> 00:00:12.460]  只好讓香港繼續成為一個蒙福的地方
[00:00:12.460 --> 00:00:14.240]  成為一個祝福眾人的地方
[00:00:14.240 --> 00:00:16.680]  有什麼禱告是奉主耶穌基督的命求
[00:00:16.680 --> 00:00:17.460]  Amen
[00:00:17.460 --> 00:00:21.560]  我們今天會繼續講 以馬來尼亞實現的第四講
[00:00:21.560 --> 00:00:23.560]  以馬來尼亞是一件很偉大的事情 弟兄姊妹
[00:00:23.560 --> 00:00:25.080]  這個救恩是很偉大的事情
[00:00:25.080 --> 00:00:28.280]  因為上帝承受了一件很偉大很偉大的事情
[00:00:28.280 --> 00:00:30.440]  有一條智商題是這樣問的
[00:00:30.440 --> 00:00:38.140]  就是A點去B點應該最快最快最快的方法是什麼呢
[00:00:38.140 --> 00:00:41.560]  說明智商題就不是你在計數的事情
[00:00:41.560 --> 00:00:44.600]  由A點去B點最快的方法是什麼呢
[00:00:44.600 --> 00:00:47.760]  答案是由A點去B點最快的方法
[00:00:47.760 --> 00:00:52.160]  是A點和B點沒有距離
[00:00:52.160 --> 00:00:53.360]  Amen
[00:00:53.360 --> 00:00:55.040]  A點和B點沒有距離
[00:00:55.040 --> 00:00:57.520]  以馬來尼亞就承受了一件這樣的事情
[00:00:57.520 --> 00:01:00.840]  就是上帝和我們之間沒有距離
[00:01:00.840 --> 00:01:03.840]  和你隔離的那張神沒有距離
[00:01:03.840 --> 00:01:06.160]  你想像一下這個宇宙多恐怖
[00:01:06.160 --> 00:01:09.640]  剛剛我們發現了一個最近地球的星體
[00:01:09.640 --> 00:01:11.320]  可能適合人居住的
[00:01:11.320 --> 00:01:12.120]  你知不知道要飛多久
[00:01:12.120 --> 00:01:14.920]  以光速飛行4.2年
[00:01:14.920 --> 00:01:15.960]  光速飛行
[00:01:15.960 --> 00:01:18.360]  就是說有一天我們能夠人類發明到光速飛行器
[00:01:18.360 --> 00:01:19.920]  我們人類能夠坐進去的時候
[00:01:19.920 --> 00:01:23.760]  我飛去那個行星要4.2年才去到那裡
[00:01:23.760 --> 00:01:26.360]  飛回來4.2年 也就是8.4年
[00:01:26.360 --> 00:01:27.880]  一來一回沒有了8.4年
[00:01:27.880 --> 00:01:30.280]  你一生人有多少個8.4年
[00:01:30.280 --> 00:01:32.960]  你的兒子剛剛出世上飛機
[00:01:32.960 --> 00:01:34.920]  上那個光速的飛機
[00:01:34.920 --> 00:01:37.200]  他落地已經4.2歲
[00:01:37.200 --> 00:01:39.320]  是不是很恐怖的事情
[00:01:39.320 --> 00:01:42.800]  想像一下這個宇宙大到嚇死我們
[00:01:42.800 --> 00:01:45.120]  但是上帝能夠創造一個這麼偉大的宇宙
[00:01:45.120 --> 00:01:46.280]  竟然要承受一件事
[00:01:46.280 --> 00:01:47.120]  以馬來尼亞
[00:01:47.120 --> 00:01:48.800]  祂要居住在我們的心中
[00:01:48.800 --> 00:01:51.360]  祂和我們之間並沒有距離
[00:01:51.360 --> 00:01:54.720]  和你隔離的那張神住在你裡面
[00:01:54.720 --> 00:01:56.800]  神長在我們裡面要將祂出天國
[00:01:56.800 --> 00:01:57.600]  是這個人格
[00:01:57.600 --> 00:01:59.000]  弟兄姊妹你不要忘記
[00:01:59.000 --> 00:02:01.520]  救恩不是帶我們上天堂
[00:02:01.520 --> 00:02:07.960]  救恩是要讓天國藉助你和我進入人間
[00:02:07.960 --> 00:02:10.360]  如果救恩是要帶你和我上天堂
[00:02:10.360 --> 00:02:13.480]  我們報道會很容易一舉手就馬上死了
[00:02:13.480 --> 00:02:15.080]  如果報道會一舉手就死了
[00:02:15.080 --> 00:02:16.360]  誰來當講員呢
[00:02:16.360 --> 00:02:18.720]  講員上不了天堂
[00:02:18.720 --> 00:02:20.520]  但問題是現在的重點不在這裡
[00:02:20.520 --> 00:02:22.960]  重點是我們要得到一個救恩
[00:02:22.960 --> 00:02:24.440]  讓天國進入人間
[00:02:24.440 --> 00:02:29.680]  每一個國家要具備三個元素
[00:02:29.680 --> 00:02:31.800]  所以你看到今天有些國家不成國家
[00:02:31.800 --> 00:02:33.320]  因為它沒有土地
[00:02:33.320 --> 00:02:34.520]  在天國裡面
[00:02:34.520 --> 00:02:36.000]  將來耶穌再來的時候
[00:02:36.000 --> 00:02:37.080]  要得到真實的土地
[00:02:37.080 --> 00:02:39.120]  但是現在天國降臨
[00:02:39.120 --> 00:02:42.800]  天國的土地就是人的心
[00:02:42.800 --> 00:02:44.760]  而我們看到的指紋就是
[00:02:44.760 --> 00:02:47.560]  凡求告主名的人就成為神的兒女
[00:02:47.560 --> 00:02:48.720]  是一件很簡單的事情
[00:02:48.720 --> 00:02:50.680]  這個得救是非常簡單
[00:02:50.680 --> 00:02:51.640]  為什麼這麼簡單
[00:02:51.640 --> 00:02:53.000]  有人會不相信
[00:02:53.000 --> 00:02:54.600]  一會兒我們告訴你原因是什麼
[00:02:54.600 --> 00:02:56.080]  第三是法律
[00:02:56.080 --> 00:02:57.840]  這個法律在登山補訓裡面
[00:02:57.840 --> 00:02:59.240]  馬達科五到七章
[00:02:59.240 --> 00:03:02.240]  耶穌一出來就宣告了天國的法律
[00:03:02.240 --> 00:03:05.440]  最近有一套電影很值得鼓勵你去看
[00:03:05.440 --> 00:03:07.080]  叫《崩墟》
[00:03:07.080 --> 00:03:09.800]  我以前說崩墟這樣的場面
[00:03:09.800 --> 00:03:11.280]  現在你進去看完之後
[00:03:11.280 --> 00:03:13.800]  你覺得這句話都不成氣候
[00:03:13.800 --> 00:03:14.360]  為什麼呢
[00:03:14.360 --> 00:03:17.080]  因為現在這些場面太多了
[00:03:17.080 --> 00:03:20.480]  但是整個崩墟裡面要講的其中一樣東西
[00:03:20.480 --> 00:03:22.440]  就是人如何報仇
[00:03:22.440 --> 00:03:23.640]  但是和耶穌相遇
[00:03:23.640 --> 00:03:26.320]  耶穌要講的是饒恕和愛
[00:03:26.320 --> 00:03:28.240]  這個就是天國的律法
[00:03:28.240 --> 00:03:30.920]  天國的律法跟人很不一樣
[00:03:30.920 --> 00:03:32.560]  當你看完這套電影之後
[00:03:32.560 --> 00:03:34.840]  你要更深的明白
[00:03:34.840 --> 00:03:37.520]  究竟耶穌的律法要求什麼
[00:03:37.520 --> 00:03:38.920]  在猶太人來說
[00:03:38.920 --> 00:03:40.520]  全世界的人類只有兩種
[00:03:40.520 --> 00:03:42.400]  就是猶太人和非猶太人
[00:03:42.400 --> 00:03:43.880]  但是在救恩裡面
[00:03:43.880 --> 00:03:44.920]  全世界只有兩類人
[00:03:44.920 --> 00:03:47.040]  就是信耶穌和不信耶穌的人
[00:03:47.040 --> 00:03:48.040]  Amen
[00:03:48.040 --> 00:03:49.040]  只有兩類而已
[00:03:49.040 --> 00:03:54.200]  不信主的人是服在魔鬼和死亡的權勢底下
[00:03:54.200 --> 00:03:56.760]  但是信主的人有兩類
[00:03:56.760 --> 00:03:58.600]  連信主的人都有兩類
[00:03:58.600 --> 00:04:01.280]  你現在看一看你旁邊的電影姊妹
[00:04:01.280 --> 00:04:02.280]  看完之後
[00:04:02.280 --> 00:04:03.200]  你跟自己說
[00:04:03.200 --> 00:04:05.520]  我自己聽到的
[00:04:05.520 --> 00:04:07.160]  你不是為了她聽到的
[00:04:07.160 --> 00:04:08.840]  你今天不會拿驗身報告
[00:04:08.840 --> 00:04:10.360]  然後看完之後打電話給你老婆
[00:04:10.360 --> 00:04:12.440]  哇 老婆你很健康
[00:04:12.440 --> 00:04:13.560]  那個驗身報告是你的
[00:04:13.560 --> 00:04:14.480]  不是老婆的
[00:04:14.480 --> 00:04:15.800]  你明白嗎
[00:04:15.800 --> 00:04:19.720]  我們看看這兩個分類你不要看旁邊的人
