
[00:00:00.000 --> 00:00:06.500]  好,那我們來到我今年YS的最後一篇信息啦
[00:00:06.500 --> 00:00:10.320]  那其實,只不過是12月17日
[00:00:10.320 --> 00:00:12.720]  不過,如果你有回到我們教會的話
[00:00:12.720 --> 00:00:16.920]  都知道我們下個星期,就是12月24日,就會聖誕崇拜啦
[00:00:16.920 --> 00:00:18.920]  那所以我們YS就沒有崇拜
[00:00:18.920 --> 00:00:23.120]  而12月31日呢,是我們會搞年終感恩的一個崇拜
[00:00:23.120 --> 00:00:26.520]  所以都沒有YS的崇拜
[00:00:26.520 --> 00:00:28.720]  那所以呢,今天就是最後一篇啦
[00:00:28.720 --> 00:00:33.220]  那而,也是我們今年查約書亞記的最後一篇啦
[00:00:33.220 --> 00:00:36.720]  那所以很想在整個約書亞記完結之前呢
[00:00:36.720 --> 00:00:41.920]  很快地跟大家重申究竟我們這一年在約書亞記裏面說了些什麼
[00:00:41.920 --> 00:00:45.120]  那約書亞記呢,其實呢,我們一開始年頭的時候
[00:00:45.120 --> 00:00:47.120]  有一個系列叫"On Your Mark"
[00:00:47.120 --> 00:00:51.720]  那其實呢,講的是約書亞去接了摩西的那個盤之後呢
[00:00:51.720 --> 00:00:54.320]  就按着耶和華的吩咐
[00:00:54.320 --> 00:00:57.520]  要帶領一幫以色列人要去過約淡河啦
[00:00:57.520 --> 00:00:59.320]  要攻取加南地
[00:00:59.320 --> 00:01:03.020]  而事前呢,約書亞就曾經派過兩個探子
[00:01:03.020 --> 00:01:06.220]  先去過耶利哥城去打探軍情啦
[00:01:06.220 --> 00:01:09.820]  那但是就很不幸運,就被那個耶利哥王聽到
[00:01:09.820 --> 00:01:12.220]  發現了,就立刻找人去抓他
[00:01:12.220 --> 00:01:15.220]  不過很感恩的就是有"喇合"的幫忙啦
[00:01:15.220 --> 00:01:16.820]  那就將他們收起了
[00:01:16.820 --> 00:01:21.120]  然後他們就最後呢,可以平安無事地回到約書亞那裏
[00:01:21.120 --> 00:01:24.020]  然後呢,那當那些探子回報過後啦
[00:01:24.020 --> 00:01:26.120]  那以色列人就真的要起行啦
[00:01:26.120 --> 00:01:30.120]  那他們就經歷了這個約淡河的神跡啦
[00:01:30.120 --> 00:01:31.520]  而在過河之後呢
[00:01:31.520 --> 00:01:36.820]  以色列人就用了一個垃圾的方法去紀念上帝這一次的恩典
[00:01:36.820 --> 00:01:38.220]  那這個就是第一個系列
