
[00:00:00.000 --> 00:00:01.360]  如果神問你
[00:00:01.360 --> 00:00:04.700]  我們現在距離神
[00:00:04.700 --> 00:00:08.360]  和祂的關係 怎麼樣
[00:00:08.360 --> 00:00:10.120]  遠嗎
[00:00:10.120 --> 00:00:14.920]  神當然會說 來吧
[00:00:14.920 --> 00:00:19.000]  來敬拜祂 聽祂的話語 我們一起恭聽
[00:00:19.000 --> 00:00:20.640]  親愛的主
[00:00:20.640 --> 00:00:23.660]  當我們打開你的話語的時候
[00:00:23.660 --> 00:00:27.380]  同時打開我們的心
[00:00:29.120 --> 00:00:32.440]  讓我們在你面前很好的領受
[00:00:32.440 --> 00:00:34.460]  謝謝你聽我們禱告
[00:00:34.460 --> 00:00:36.960]  奉靠主耶穌基督的名字
[00:00:36.960 --> 00:00:38.100]  阿們
[00:00:38.100 --> 00:00:41.100]  時代
[00:00:41.100 --> 00:00:43.800]  我這裡後來再加了一個字
[00:00:43.800 --> 00:00:45.640]  好像中文字加一個德字
[00:00:45.640 --> 00:00:47.240]  比較通順一點
[00:00:47.240 --> 00:00:49.920]  一樣的 時代呼聲
[00:00:49.920 --> 00:00:56.260]  在經文《撒慕爾記》上
[00:00:56.260 --> 00:00:58.480]  三章一到二十一節
[00:01:00.120 --> 00:01:03.120]  有個牧師
[00:01:03.120 --> 00:01:05.280]  我有時候向他學習
[00:01:05.280 --> 00:01:07.900]  因為我跟著他一起學講道
[00:01:07.900 --> 00:01:11.600]  那牧師 我也知道他的原文很好
[00:01:11.600 --> 00:01:14.040]  楊熙昌
[00:01:14.040 --> 00:01:16.700]  楊熙昌牧師
[00:01:16.700 --> 00:01:19.700]  他講了一句他很多年的體會
[00:01:19.700 --> 00:01:20.700]  他說
[00:01:20.700 --> 00:01:24.420]  人的通病 特別是現代人的通病
[00:01:24.420 --> 00:01:27.580]  就是消極被動 同意嗎
[00:01:27.580 --> 00:01:30.320]  你變得很缺乏動力
[00:01:30.320 --> 00:01:33.120]  那我們看看以下這個
[00:01:33.120 --> 00:01:39.360]  你知道我多少錢
[00:01:39.360 --> 00:01:40.980]  還是題外話
[00:01:40.980 --> 00:01:42.700]  剛剛
[00:01:42.700 --> 00:01:45.740]  你有看到 你很喜歡車子
[00:01:45.740 --> 00:01:46.740]  有寫了嗎
[00:01:46.740 --> 00:01:52.800]  那我以為寫了反幾次你不會看
[00:01:52.800 --> 00:01:56.300]  這個跑車
[00:01:56.680 --> 00:01:59.260]  如果在屯門公路裡面
[00:01:59.260 --> 00:02:01.520]  如果你見到這輛車
[00:02:01.520 --> 00:02:03.200]  你馬上見不到它
[00:02:03.200 --> 00:02:05.120]  我坐了一輛是富豪的
[00:02:05.120 --> 00:02:07.880]  我本來以為我朋友那輛車已經不錯了
[00:02:07.880 --> 00:02:09.740]  偶爾有一次我看到
[00:02:09.740 --> 00:02:13.100]  這個叫法拉利
[00:02:13.100 --> 00:02:14.880]  它就在你隔壁
[00:02:14.880 --> 00:02:16.880]  就不見了
[00:02:16.880 --> 00:02:18.380]  那幹嘛用這麼快
[00:02:18.380 --> 00:02:19.880]  這麼大動力
[00:02:19.880 --> 00:02:22.340]  因為它的動力從裡面而來的
[00:02:22.340 --> 00:02:23.340]  對不對
[00:02:23.340 --> 00:02:25.600]  當然那油費很貴了
[00:02:25.600 --> 00:02:26.800]  這是代價
[00:02:26.800 --> 00:02:32.460]  在社會裡面
[00:02:32.460 --> 00:02:34.760]  公司裡面 學校裡面
[00:02:34.760 --> 00:02:38.800]  很知道人從裡面而來是沒有動力的
[00:02:38.800 --> 00:02:40.380]  所以在這社會上面
[00:02:40.380 --> 00:02:42.840]  它用了很多格外的東西
[00:02:42.840 --> 00:02:44.400]  使你有動力
[00:02:44.400 --> 00:02:48.460]  以前我知道有一些校長
[00:02:48.460 --> 00:02:51.180]  他手上有權
[00:02:51.180 --> 00:02:53.020]  他知道有些升職的
[00:02:53.420 --> 00:02:55.720]  一些位可以升職的
[00:02:55.720 --> 00:02:58.420]  在香港如果做老師的
[00:02:58.420 --> 00:03:00.060]  他升職升一級
[00:03:00.060 --> 00:03:01.640]  相差很遠
[00:03:01.640 --> 00:03:03.220]  所以他知道這個道理
[00:03:03.220 --> 00:03:05.340]  他就告訴老師們
[00:03:05.340 --> 00:03:09.740]  他說現在我頭疼有三個升職的位
[00:03:09.740 --> 00:03:11.240]  那你們這麼多人
[00:03:11.240 --> 00:03:12.640]  看看誰有機會
[00:03:12.640 --> 00:03:15.540]  很多人都很努力想升職那些
