
[00:00:00.000 --> 00:00:02.500]  我想先問大家一個問題
[00:00:02.500 --> 00:00:04.500]  過去四堂裏面
[00:00:04.500 --> 00:00:06.500]  我每次問這個問題
[00:00:06.500 --> 00:00:09.000]  每一堂都是很靜的
[00:00:09.000 --> 00:00:11.500]  大家會覺得為甚麼會這麼靜呢
[00:00:11.500 --> 00:00:13.000]  大家會很怕我這個問題
[00:00:13.000 --> 00:00:14.500]  好像作弄他們一樣
[00:00:14.500 --> 00:00:16.500]  但其實這個問題沒有作弄他們
[00:00:16.500 --> 00:00:17.500]  大家放心
[00:00:17.500 --> 00:00:19.000]  你可以想這個問題
[00:00:19.000 --> 00:00:20.500]  你怎樣回應
[00:00:20.500 --> 00:00:24.500]  如果由你出生那天
[00:00:24.500 --> 00:00:26.500]  去到你回天家那天
[00:00:26.500 --> 00:00:28.500]  我不管你七十歲八十歲九十歲
[00:00:28.500 --> 00:00:29.500]  一百歲一百零五歲
[00:00:29.500 --> 00:00:33.500]  不論我們活得多長
[00:00:33.500 --> 00:00:35.500]  由你出生那天
[00:00:35.500 --> 00:00:39.500]  去到你回天家那天
[00:00:39.500 --> 00:00:44.500]  如果你每一餐都是喝奶
[00:00:44.500 --> 00:00:48.500]  你會不會很滿足
[00:00:48.500 --> 00:00:50.500]  當然不會滿足
[00:00:50.500 --> 00:00:51.500]  今天早堂的時候
[00:00:51.500 --> 00:00:53.500]  看到一個嬰兒喝奶
[00:00:53.500 --> 00:00:55.500]  他很滿足
[00:00:55.500 --> 00:00:57.500]  但如果今天你這麼大個
[00:00:57.500 --> 00:00:58.500]  我仍然給你一瓶奶喝
[00:00:58.500 --> 00:01:00.500]  你會不會滿足
[00:01:00.500 --> 00:01:03.500]  當然不會滿足
[00:01:03.500 --> 00:01:05.500]  但第二個問題
[00:01:05.500 --> 00:01:10.500]  吃飯辛苦嗎
[00:01:10.500 --> 00:01:11.500]  你不用怕
[00:01:11.500 --> 00:01:13.500]  我不會作弄你
[00:01:13.500 --> 00:01:15.500]  吃飯辛苦嗎
[00:01:15.500 --> 00:01:17.500]  不辛苦
[00:01:17.500 --> 00:01:20.500]  但剛剛吃飯的時候很辛苦
[00:01:20.500 --> 00:01:25.500]  因為當你拿起筷子
[00:01:25.500 --> 00:01:28.500]  拿起筷子都很辛苦
[00:01:28.500 --> 00:01:29.500]  其實很多時候
[00:01:29.500 --> 00:01:30.500]  我小時候拿筷子的時候
[00:01:30.500 --> 00:01:33.500]  媽媽都會拿不到打我的手
[00:01:33.500 --> 00:01:35.500]  拿錯筷子
[00:01:35.500 --> 00:01:37.500]  當你夾菜的時候
[00:01:37.500 --> 00:01:41.500]  不單是手到還要眼到
[00:01:41.500 --> 00:01:43.500]  當你夾第一塊菜的時候
[00:01:43.500 --> 00:01:45.500]  你已經看著第二塊菜
[00:01:45.500 --> 00:01:47.500]  我打一塊夾什麼
[00:01:47.500 --> 00:01:48.500]  有沒有想過
[00:01:48.500 --> 00:01:51.500]  當你放飯進嘴裡
[00:01:51.500 --> 00:01:53.500]  你要咀嚼多少次
[00:01:53.500 --> 00:01:55.500]  你才能吞下肚子
[00:01:55.500 --> 00:01:58.500]  我很快就吞下去
[00:01:58.500 --> 00:01:59.500]  但其實你試想
[00:01:59.500 --> 00:02:02.500]  如果你的口不辛苦
[00:02:02.500 --> 00:02:04.500]  哪個部位會辛苦
