
[00:00:00.000 --> 00:00:05.880]  斬斷咒主 擁抱 祝福
[00:00:05.880 --> 00:00:08.340]  題目已經講得非常明白了
[00:00:08.340 --> 00:00:13.080]  因為很多時候我們搞錯了
[00:00:13.080 --> 00:00:15.640]  我們擁抱的是咒主
[00:00:15.640 --> 00:00:21.240]  卻把祝福給斬斷了
[00:00:21.240 --> 00:00:22.740]  你知道嗎
[00:00:22.740 --> 00:00:26.200]  有的時候
[00:00:26.200 --> 00:00:28.780]  我常喜歡舉的例子是
[00:00:28.780 --> 00:00:31.280]  我們吃大魚大肉
[00:00:31.280 --> 00:00:34.280]  還以為是神在祝福我們
[00:00:34.280 --> 00:00:38.080]  其實反而
[00:00:38.080 --> 00:00:43.080]  粗茶淡飯才是神的祝福
[00:00:43.080 --> 00:00:44.080]  我們先要來看一下
[00:00:44.080 --> 00:00:46.080]  聖經裡面到底有多少
[00:00:46.080 --> 00:00:49.280]  關於咒主 祝福
[00:00:49.280 --> 00:00:50.780]  那麼我們要斬斷咒主
[00:00:50.780 --> 00:00:52.480]  我們要擁抱祝福
[00:00:52.480 --> 00:00:56.380]  我們要化咒主成為祝福
[00:00:56.380 --> 00:00:57.980]  最後我們怎麼做
[00:00:57.980 --> 00:01:00.680]  就是用三步祝福
[00:01:00.680 --> 00:01:02.380]  就是Bless
[00:01:02.380 --> 00:01:06.780]  好的
[00:01:06.780 --> 00:01:10.480]  聖經裡面有多少咒主一祝福呢
[00:01:10.480 --> 00:01:12.280]  大概你如果去查聖經
[00:01:12.280 --> 00:01:15.280]  查「福」這個字
[00:01:15.280 --> 00:01:17.980]  有六百多處
[00:01:17.980 --> 00:01:19.980]  但是你如果再加上
[00:01:19.980 --> 00:01:25.780]  保守眷顧 恩典 恩待 恩寵 恩賜
[00:01:25.780 --> 00:01:29.380]  那麼這有上千次
[00:01:29.380 --> 00:01:30.880]  所以我常常喜歡講
[00:01:30.880 --> 00:01:32.680]  你隨便手一翻
[00:01:32.680 --> 00:01:34.480]  一翻聖經一指
[00:01:34.480 --> 00:01:38.380]  你很可能就指到一個神的祝福
[00:01:38.380 --> 00:01:39.680]  祂保守你 祂帶領你
[00:01:39.680 --> 00:01:41.180]  祂眷顧你 祂恩待你
[00:01:41.180 --> 00:01:44.880]  祂恩賜予你 祂恩寵待你等等
[00:01:44.880 --> 00:01:47.080]  有這麼多
[00:01:47.080 --> 00:01:53.180]  所以神是祝福我們的神
[00:01:53.180 --> 00:01:58.080]  所以在四篇 第五篇十二節A
[00:01:58.080 --> 00:02:01.180]  祂說 讓我們一起來念那一句話
[00:02:01.180 --> 00:02:04.680]  「你必賜福予義人」
[00:02:04.680 --> 00:02:07.480]  所以有的時候我們就知道了
[00:02:07.480 --> 00:02:11.780]  神祂是賜福給義人
[00:02:11.780 --> 00:02:14.480]  義人不一定是說沒有過犯
[00:02:14.480 --> 00:02:16.180]  沒有過錯的人
[00:02:16.180 --> 00:02:18.080]  而是說陰性誠意的
[00:02:18.080 --> 00:02:22.580]  甚至於是願意向好 向善的
[00:02:22.580 --> 00:02:25.080]  願意行在光中的
[00:02:25.080 --> 00:02:28.580]  而在生命記二十八章十九節
[00:02:28.580 --> 00:02:32.780]  祂說 請你出也受奏主
[00:02:32.780 --> 00:02:35.280]  入也受奏主
[00:02:35.280 --> 00:02:37.380]  這個奏主在聖經裡面
[00:02:37.380 --> 00:02:41.680]  也有一百五十多處
[00:02:41.680 --> 00:02:43.880]  所以你用這個講上千次
[00:02:43.880 --> 00:02:46.280]  跟一百五十次的話
[00:02:46.280 --> 00:02:51.580]  很明顯神的祝福是多於祂的奏主
[00:02:51.580 --> 00:02:54.280]  這就好像我們講的Property
[00:02:54.280 --> 00:02:56.180]  講概率
[00:02:56.180 --> 00:02:57.980]  所以你很可能
[00:02:57.980 --> 00:03:01.980]  你懵頭一創 你創造的是祝福
[00:03:01.980 --> 00:03:03.780]  那麼我們都歸於神
[00:03:03.780 --> 00:03:04.980]  歸於榮耀於神
[00:03:04.980 --> 00:03:06.780]  這是很恰當的
[00:03:06.780 --> 00:03:09.080]  因為我們自己做不來的
[00:03:09.080 --> 00:03:10.980]  是不是?
[00:03:10.980 --> 00:03:14.480]  聖經裡面一百五十多次祝福
[00:03:14.480 --> 00:03:17.580]  對比一千多次
[00:03:17.580 --> 00:03:20.680]  有一個實驗是這樣子做的
[00:03:20.680 --> 00:03:22.280]  祂在實驗室裡面
[00:03:22.280 --> 00:03:24.280]  在沒有外力的影響之下
[00:03:24.280 --> 00:03:27.880]  完全封閉的空間裡面
[00:03:27.880 --> 00:03:30.280]  有兩杯水
[00:03:30.280 --> 00:03:31.680]  一樣的水源
[00:03:31.680 --> 00:03:32.980]  倒著兩杯水
[00:03:32.980 --> 00:03:34.780]  完全密封起來
[00:03:34.780 --> 00:03:36.980]  然後分成兩組人
[00:03:36.980 --> 00:03:39.680]  一組跟那杯水
[00:03:39.680 --> 00:03:43.080]  一天到晚說祝福的話
[00:03:43.080 --> 00:03:44.880]  你那個水真乾淨
[00:03:44.880 --> 00:03:45.880]  吃了身體健康
[00:03:45.880 --> 00:03:47.680]  你那個水真漂亮
[00:03:47.680 --> 00:03:48.980]  你真是純潔
[00:03:48.980 --> 00:03:50.980]  你真偉大
[00:03:50.980 --> 00:03:51.580]  等等
[00:03:51.580 --> 00:03:53.380]  每天都是說祝福
[00:03:53.380 --> 00:03:56.080]  不停的向祂說祝福的話
[00:03:56.080 --> 00:03:58.080]  同樣是一批人
[00:03:58.080 --> 00:04:01.380]  不停的跟另外一杯水講咒的話
[00:04:01.380 --> 00:04:02.580]  真差 你真笨
[00:04:02.580 --> 00:04:03.280]  你真懶
[00:04:03.280 --> 00:04:04.480]  你真不美
[00:04:04.480 --> 00:04:05.780]  你真糟
[00:04:05.780 --> 00:04:06.780]  你混濁
[00:04:06.780 --> 00:04:07.980]  你不純淨
[00:04:07.980 --> 00:04:08.980]  等等
[00:04:08.980 --> 00:04:09.980]  就這樣子
[00:04:09.980 --> 00:04:11.780]  一個禮拜下來
[00:04:11.780 --> 00:04:14.880]  然後立刻把水拿去急凍
