
[00:00:00.000 --> 00:00:01.600]  今天有題目就是
[00:00:01.600 --> 00:00:03.600]  相信就能看見
[00:00:03.600 --> 00:00:08.280]  是約書亞紀三章十四至十七節的經文
[00:00:08.280 --> 00:00:13.560]  就是說約書亞過約旦河那段經文
[00:00:13.560 --> 00:00:14.760]  我首先問問大家
[00:00:14.760 --> 00:00:17.280]  有沒有聽過或者想過
[00:00:17.280 --> 00:00:19.400]  約書亞過約旦河
[00:00:19.400 --> 00:00:23.040]  和摩西過紅海有點相似
[00:00:23.040 --> 00:00:27.480]  或者令你想起摩西過紅海那段經歷
[00:00:27.480 --> 00:00:29.280]  有沒有
[00:00:29.280 --> 00:00:33.640]  有些牧者會說約書亞過約旦河
[00:00:33.640 --> 00:00:36.680]  其實是想重新提醒以色列人
[00:00:36.680 --> 00:00:40.720]  神在摩西那個時候所行的神蹟奇事
[00:00:40.720 --> 00:00:42.840]  神是一直沒有離開他們
[00:00:42.840 --> 00:00:45.200]  繼續帶領他們向前面走
[00:00:45.200 --> 00:00:46.960]  有沒有這樣看過
[00:00:46.960 --> 00:00:48.080]  有的
[00:00:48.080 --> 00:00:52.080]  在當中我看見他們有相同的地方
[00:00:52.080 --> 00:00:54.640]  但是也有一些不同的地方
[00:00:54.640 --> 00:00:58.040]  我覺得對於我來說是一個挺重要的信息
[00:00:58.040 --> 00:01:01.280]  所以我想今天和大家分享
[00:01:01.280 --> 00:01:06.480]  首先我們先看回摩西過紅海
[00:01:06.480 --> 00:01:10.360]  重溫一下
[00:01:10.360 --> 00:01:12.080]  大家的印象是什麼
[00:01:12.080 --> 00:01:14.840]  是摩西帶着一大羣很大羣的以色列人
[00:01:14.840 --> 00:01:16.600]  離開埃及
[00:01:16.600 --> 00:01:19.400]  然後法老反悔
[00:01:19.400 --> 00:01:23.560]  派一些埃及的士兵去追趕他們
[00:01:23.560 --> 00:01:27.840]  摩西一幫人帶着去到紅海邊
[00:01:27.840 --> 00:01:29.840]  發覺沒有路可走
[00:01:29.840 --> 00:01:31.040]  前面有個海
[00:01:31.040 --> 00:01:34.080]  後面埃及的士兵追過來了
[00:01:34.080 --> 00:01:34.880]  怎麼辦呢
[00:01:34.880 --> 00:01:37.400]  前無虛路 後有追兵
[00:01:37.400 --> 00:01:40.720]  摩西舉起了像 向神祈禱
[00:01:40.720 --> 00:01:41.880]  水分開了
[00:01:41.880 --> 00:01:44.320]  他們很快地過了海
[00:01:44.320 --> 00:01:46.480]  最後一個人過去了
[00:01:46.480 --> 00:01:48.160]  水又衝下來
[00:01:48.160 --> 00:01:52.560]  殺了一些埃及的士兵
[00:01:52.560 --> 00:01:56.000]  那個圖畫大概是這樣
[00:01:56.000 --> 00:01:59.360]  我們看看聖經怎麼說
[00:01:59.360 --> 00:02:05.760]  首先原來一直有云柱火柱帶着以色列人
[00:02:05.760 --> 00:02:07.160]  這個大家都知道
[00:02:07.160 --> 00:02:08.680]  雲柱火柱帶着以色列人
[00:02:08.680 --> 00:02:11.280]  在他們前面帶着他們
[00:02:11.280 --> 00:02:13.040]  但是到了一刻
[00:02:13.040 --> 00:02:16.840]  原來埃及的士兵差不多追到了
[00:02:16.840 --> 00:02:21.480]  雲柱火柱從他們前面轉到他們後面
[00:02:21.480 --> 00:02:23.360]  停在他們後面
