
[00:00:00.000 --> 00:00:03.540]  這個月是我們教會的家庭月
[00:00:03.540 --> 00:00:08.380]  我想不但是爲了神所給我們肉身的家庭獻上感恩
[00:00:08.380 --> 00:00:12.320]  特別在今年我們教會慶祝二十週年的時候
[00:00:12.320 --> 00:00:17.080]  你知道每個禮拜傳播中心都很費勁地
[00:00:17.080 --> 00:00:21.440]  幫我們整理過去不同事工一些回顧
[00:00:21.440 --> 00:00:27.640]  雖然有很多人不大想被提醒二十年前那種苗條的身材
[00:00:27.640 --> 00:00:33.640]  但我們真的看見神怎麼帶領我們是一步一腳印地走過來
[00:00:33.640 --> 00:00:36.860]  當我們看見這些所有的回顧的時候
[00:00:36.860 --> 00:00:40.940]  難道我們的心不是充滿了感恩嗎?
[00:00:40.940 --> 00:00:43.560]  這真是一個蒙福的大家庭
[00:00:43.560 --> 00:00:47.400]  跟你們說這是蒙福的大家庭
[00:00:47.400 --> 00:00:51.120]  這二十年來我們不是沒有經過風浪
[00:00:51.120 --> 00:00:56.600]  可是我們看見這個教會總是能夠定睛在神的面前
[00:00:56.600 --> 00:01:00.280]  在風浪當中繼續前進
[00:01:00.280 --> 00:01:04.120]  在這二十年當中我們不是沒有經過挫敗
[00:01:04.120 --> 00:01:08.600]  可是我看見這個教會總是能夠順從神的帶領
[00:01:08.600 --> 00:01:14.400]  在挫敗當中能夠一次一次被神所更新
[00:01:14.400 --> 00:01:20.920]  到底這個教會在過去二十年蒙福的原因是什麼呢?
[00:01:20.920 --> 00:01:25.800]  我深深地相信乃是在這一切事工的後面
[00:01:25.800 --> 00:01:32.280]  是有一個屬神家庭的價值觀在主導我們一切的決定
[00:01:32.280 --> 00:01:36.240]  而這就是我們教會的核心價值
[00:01:36.240 --> 00:01:39.680]  在2008年的時候我們同工們一同歸納了
[00:01:39.680 --> 00:01:45.360]  也整理了六項屬於這個教會的核心價值
[00:01:45.360 --> 00:01:49.040]  可能有很多新來的弟兄姐妹還從來不知道
[00:01:49.040 --> 00:01:52.520]  而今天當我們在慶祝這二十週年的時候
[00:01:52.520 --> 00:01:59.160]  當我們整個教會要在神的手中帶領我們進入一個新的領域的時候
[00:01:59.160 --> 00:02:04.360]  我相信我們真的需要重新回到這樣一個很基本的
[00:02:04.360 --> 00:02:08.200]  神所給我們教會的六個核心價值
[00:02:08.200 --> 00:02:12.040]  好讓我們的侍奉更能夠同心合意
[00:02:12.040 --> 00:02:15.080]  也讓我們的侍奉更加有果效
[00:02:15.080 --> 00:02:17.640]  所以有六項核心價值
[00:02:17.640 --> 00:02:21.000]  第一項是效法基督做主僕人
[00:02:21.000 --> 00:02:25.360]  各位從來說來效法基督做主僕人
[00:02:25.360 --> 00:02:31.000]  換句話說今天我們的服侍一定要出於基督生命的流露
[00:02:31.000 --> 00:02:35.200]  而不是出於自己的熱心與能力
[00:02:35.200 --> 00:02:39.720]  服侍神不只是會做事情而已
[00:02:39.720 --> 00:02:42.440]  做事人人都會
[00:02:42.440 --> 00:02:47.000]  而且只要你願意學習經驗是可以累積的
[00:02:47.000 --> 00:02:49.720]  但服侍神不只是做事情
[00:02:49.720 --> 00:02:53.680]  服侍神必須是一種生命的流露
[00:02:53.680 --> 00:02:55.720]  你是怎麼樣一個人
[00:02:55.720 --> 00:02:59.600]  你的服飾所表現出來就是怎麼樣子
[00:02:59.600 --> 00:03:03.720]  所以服飾不只是你要去做對的事情
[00:03:03.720 --> 00:03:07.200]  更重要的你要先成爲一個對的人
[00:03:07.200 --> 00:03:09.160]  有一個對的靈
[00:03:09.160 --> 00:03:13.680]  今天在教會里面我看見很多人的服飾不是不對
[00:03:13.680 --> 00:03:16.880]  可是充滿了個性的靈角
[00:03:16.880 --> 00:03:19.960]  以及很多自我的表現
[00:03:19.960 --> 00:03:23.960]  結果反而爲教會帶來極大的傷害
[00:03:23.960 --> 00:03:26.720]  第二點今天做一個跟隨主的人
[00:03:26.720 --> 00:03:31.080]  我們的生命是一個效法的對象的
[00:03:31.080 --> 00:03:35.840]  我們不是一羣各隨己意各投所好的人
[00:03:35.840 --> 00:03:39.560]  我們來是要效法主基督的樣式
[00:03:39.560 --> 00:03:43.400]  在這個地上爲他做榮美的見證
[00:03:43.400 --> 00:03:45.920]  馬可福音第十章第四十五節
[00:03:45.920 --> 00:03:48.000]  我們會主這裏很清楚在這裏
[00:03:48.000 --> 00:03:50.480]  看見他自己服飾的榜樣
[00:03:50.480 --> 00:03:51.880]  我們一同來唸來
[00:03:51.880 --> 00:03:54.960]  因爲仁子來並不是要受人的服飾
[00:03:54.960 --> 00:03:56.520]  乃是要服飾人
[00:03:56.520 --> 00:04:00.040]  並且要捨命做多人的俗價
[00:04:00.040 --> 00:04:01.760]  主很清楚的告訴我們
[00:04:01.760 --> 00:04:05.440]  他在地上的使命跟呼召
[00:04:05.440 --> 00:04:08.280]  就是要服飾人
[00:04:08.280 --> 00:04:10.560]  那也許你說牧師那是主嘛
[00:04:10.560 --> 00:04:12.600]  跟我什麼關係呢
[00:04:12.600 --> 00:04:14.080]  但聖經很清楚告訴我們
[00:04:14.080 --> 00:04:17.800]  基督乃是教會的頭
[00:04:17.800 --> 00:04:20.320]  想想看今天如果做頭的
[00:04:20.320 --> 00:04:23.440]  他的使命跟呼召是做僕人的話
