
[00:00:00.000 --> 00:00:07.000]  在領受神的話的開始 我們同心而禱告耀望主
[00:00:07.000 --> 00:00:13.000]  天父我們感謝祢 因為祢將恩典 將救恩賜給我們
[00:00:13.000 --> 00:00:19.000]  祢又以聖靈成為我們的幫助 讓我們能夠追求聖潔的生活
[00:00:19.000 --> 00:00:24.000]  我們求祢幫助我們 在我們今天一同去打開你的話柱
[00:00:24.000 --> 00:00:30.000]  去到領受主祢的旨意的時候 求祢的聖靈親自在我們心中工作
[00:00:30.000 --> 00:00:34.000]  開啟我們的心靈 讓我們能夠明白主祢的意思
[00:00:34.000 --> 00:00:38.000]  又讓我們的心靈知道 祢在我們每個人心中
[00:00:38.000 --> 00:00:43.000]  祢給我們的引導是怎樣 求天父去到引領我們以下的時間
[00:00:43.000 --> 00:00:48.000]  我們同心仰望祢 祈禱是奉耶穌基督的名字 阿們
[00:00:51.000 --> 00:00:58.000]  我們今季的季題就是 聖潔生活向主純一的心
[00:00:58.000 --> 00:01:02.000]  前兩個禮拜 第一個禮拜我們已經透過了
[00:01:02.000 --> 00:01:10.000]  耶利亞在加密山上 怎樣靠著聖過了巴黎先知的經歷
[00:01:10.000 --> 00:01:18.000]  幫助我們去明白 我們是要單單的歸向那位創造天地萬物的真神
[00:01:18.000 --> 00:01:24.000]  因為就好像我們這句所說 我們一個人不能夠服侍兩個主
[00:01:24.000 --> 00:01:30.000]  今天我們就會透過彼得前書 去思想聖潔生活的追求
[00:01:30.000 --> 00:01:34.000]  彼得前書所說的聖潔其實是一個背景
[00:01:34.000 --> 00:01:38.000]  就是因為彼得前書裡面所說的訊息
[00:01:38.000 --> 00:01:46.000]  是說給一班在當時受逼迫的情況之下的教會聽
[00:01:46.000 --> 00:01:53.000]  在那個受逼迫的當中 彼得是鼓勵他們在患難裡面要持守聖潔
[00:01:53.000 --> 00:01:57.000]  在寧靜上面要不斷的向前走
[00:01:57.000 --> 00:02:03.000]  是向著一個方向努力的向前走 就是專心的去跟從主
