
[00:00:00.000 --> 00:00:03.580]  他是饒和華的化身
[00:00:03.580 --> 00:00:06.500]  我想帶你去看《路加福音》第五章
[00:00:06.500 --> 00:00:08.620]  在《路加福音》第五章
[00:00:08.620 --> 00:00:13.120]  耶穌開始呼召他一班新的門徒
[00:00:13.120 --> 00:00:15.620]  《路加福音》第五章第27節這樣說
[00:00:15.620 --> 00:00:19.420]  「這些事以後耶穌出去看見你未」
[00:00:19.420 --> 00:00:20.960]  大家都很熟悉這個故事
[00:00:20.960 --> 00:00:25.760]  「再遂關助著,就對他算,來跟從我」
[00:00:25.760 --> 00:00:27.220]  但當你看這次聖經的時候
[00:00:27.220 --> 00:00:30.500]  第一句說話第一句問什麼叫做「這些事以後」
[00:00:30.500 --> 00:00:32.460]  什麼事之後
[00:00:32.460 --> 00:00:33.800]  如果你回家有空
[00:00:33.800 --> 00:00:36.420]  你去看看前面那一段聖經說了什麼
[00:00:36.420 --> 00:00:39.960]  「這些事」前面的故事說了什麼
[00:00:39.960 --> 00:00:43.840]  是說有四個人帶著他們一個騎腿的朋友來找耶穌
[00:00:43.840 --> 00:00:45.300]  你記不記得
[00:00:45.300 --> 00:00:47.960]  接著因為全部滿了
[00:00:47.960 --> 00:00:49.800]  外面很塞車
[00:00:49.800 --> 00:00:51.300]  於是他們上了樓
[00:00:51.300 --> 00:00:53.340]  在上面開了一個洞
[00:00:53.340 --> 00:00:54.840]  將他們的朋友降下去
[00:00:54.840 --> 00:00:59.080]  以至最後耶穌可以救回他們的朋友
[00:00:59.080 --> 00:01:00.920]  這個叫「神蹟」
[00:01:00.920 --> 00:01:02.620]  不是記號
[00:01:02.620 --> 00:01:05.040]  你記不記得在耶穌做這個神蹟的當中
[00:01:05.040 --> 00:01:07.920]  他做了一件很奇怪的事
[00:01:07.920 --> 00:01:09.580]  他不只是醫好這個人
[00:01:09.580 --> 00:01:10.840]  他跟他說了一句話
[00:01:10.840 --> 00:01:13.500]  他說「朋友」
[00:01:13.500 --> 00:01:14.620]  「朋友」什麼
[00:01:14.620 --> 00:01:16.540]  「你的罪赦免了」
[00:01:16.540 --> 00:01:20.760]  他不是跟你說「朋友,你的病好了」
[00:01:20.760 --> 00:01:21.620]  他說了什麼
[00:01:21.620 --> 00:01:25.880]  他說「朋友,你的罪赦免了」
[00:01:25.880 --> 00:01:28.080]  這個叫做謎底
[00:01:28.080 --> 00:01:31.540]  這個叫做天國的記號
[00:01:31.540 --> 00:01:32.620]  耶穌說
[00:01:32.620 --> 00:01:34.920]  「你不要以為我是神蹟先生」
[00:01:34.920 --> 00:01:36.580]  「我是赦罪先生」
[00:01:36.580 --> 00:01:38.340]  「我是Mr. Clean」
[00:01:38.340 --> 00:01:41.800]  「我將所有最髒骯髒的東西全部洗乾淨」
[00:01:41.800 --> 00:01:43.000]  你明白嗎
[00:01:43.000 --> 00:01:48.000]  這是耶穌來到尾尾之前的故事
[00:01:48.000 --> 00:01:50.040]  於是現在這個Mr. Clean
[00:01:50.040 --> 00:01:53.660]  赦罪先生帶著他赦罪的權柄
[00:01:53.660 --> 00:01:57.920]  來到一個人上班那裡
[00:01:57.920 --> 00:02:00.620]  這叫做「利眉」
[00:02:00.620 --> 00:02:02.780]  這個人的工作是稅吏
[00:02:02.780 --> 00:02:05.660]  幫政府打工的
[00:02:05.660 --> 00:02:07.780]  應該很好
[00:02:07.780 --> 00:02:09.420]  不好
[00:02:09.420 --> 00:02:11.120]  但是如果你回到教會裡
[00:02:11.120 --> 00:02:14.120]  你要知道當時二千年前中東的稅吏
[00:02:14.120 --> 00:02:15.620]  尤其猶太人做稅吏
[00:02:15.620 --> 00:02:18.420]  是一件很不好的事
[00:02:18.420 --> 00:02:22.540]  首先這一行本身是很黑暗的
[00:02:22.540 --> 00:02:24.660]  是很貪財的人才去做的
[00:02:24.660 --> 00:02:27.040]  當中有很多很多不義的
[00:02:27.040 --> 00:02:28.620]  他賺回來的錢
[00:02:28.620 --> 00:02:32.340]  可能十元裡面九元都是亂收人的
[00:02:32.340 --> 00:02:34.000]  還有一件事就是
[00:02:34.000 --> 00:02:36.700]  他們其實是幫羅馬人打工的
[00:02:36.700 --> 00:02:40.420]  他幫羅馬人收取
[00:02:40.420 --> 00:02:44.200]  向他們自己的以色列人收取稅項
[00:02:44.200 --> 00:02:47.200]  於是等於他們是一個漢奸
[00:02:47.200 --> 00:02:49.000]  耶穌來到一個
[00:02:49.000 --> 00:02:55.040]  這樣骯髒骯髒的人的世界當中
[00:02:55.040 --> 00:02:56.580]  耶穌跟他講了一句話
[00:02:56.580 --> 00:02:57.700]  耶穌說
[00:02:57.700 --> 00:03:00.700]  來 跟從我
[00:03:00.700 --> 00:03:02.620]  來 跟從我
[00:03:02.620 --> 00:03:04.660]  大概如果你想想
[00:03:04.660 --> 00:03:07.960]  其實利眉應該是知道了耶穌的底細
[00:03:07.960 --> 00:03:11.000]  因為當時耶穌在加利利那裡
[00:03:11.000 --> 00:03:13.540]  已經是非常出名的一個人
[00:03:13.540 --> 00:03:15.780]  但是利眉不敢來找耶穌
[00:03:15.780 --> 00:03:18.200]  因為他是一個大罪人
[00:03:18.200 --> 00:03:19.700]  但是他不找耶穌
[00:03:19.700 --> 00:03:21.040]  耶穌去找他
[00:03:21.040 --> 00:03:22.460]  耶穌說來 跟從我
[00:03:22.460 --> 00:03:24.660]  這個代表了什麼?
