
[00:00:00.000 --> 00:00:04.000]  不知道大家有沒有做過生意,我就沒有
[00:00:04.000 --> 00:00:08.000]  不過我也覺得不難想像做生意真的不容易
[00:00:08.000 --> 00:00:14.000]  特別如果你做那盤生意是威脅到、影響到其他生意的時候
[00:00:14.000 --> 00:00:18.000]  大家知道做生意正所謂同行如敵國
[00:00:18.000 --> 00:00:22.000]  如果你影響到、威脅到其他生意的時候
[00:00:22.000 --> 00:00:26.000]  很有可能你會受到其他人的壓制
[00:00:26.000 --> 00:00:29.000]  或者抹黑,甚至是攻擊
[00:00:29.000 --> 00:00:33.000]  做生意是這樣的,其實國家也是這樣
[00:00:33.000 --> 00:00:36.000]  當一個國家要崛起、興起
[00:00:36.000 --> 00:00:39.000]  威脅到其他國家的時候
[00:00:39.000 --> 00:00:42.000]  很有可能這些其他受到威脅的國家會怎樣?
[00:00:42.000 --> 00:00:45.000]  就來攻擊你、抹黑你,對不對?
[00:00:45.000 --> 00:00:49.000]  無論你所影響他們的國際地位也好
[00:00:49.000 --> 00:00:51.000]  聲譽也好,利益也好,安全也好
[00:00:51.000 --> 00:00:54.000]  因為只不過心理上感到被威脅的時候
[00:00:54.000 --> 00:01:04.000]  你很有可能這個國家都會受到其他國家的挑撥、攻擊、抹黑等等
[00:01:04.000 --> 00:01:08.000]  在今天的政治世界
[00:01:08.000 --> 00:01:13.000]  我們覺得這些江sir所說的都是屢見不鮮
[00:01:13.000 --> 00:01:17.000]  不過我想問的是教會呢?
[00:01:17.000 --> 00:01:22.000]  當一個教會要興起、建立、興旺的時候
[00:01:22.000 --> 00:01:26.000]  它會不會都受到壓制或者攻擊呢?
[00:01:26.000 --> 00:01:28.000]  目前不會
[00:01:28.000 --> 00:01:32.000]  教會哪有跟其他的商業機構或者國家呢?
[00:01:32.000 --> 00:01:34.000]  教會我們講愛心的
[00:01:34.000 --> 00:01:37.000]  我們當然希望其他的教會都同時被建立
[00:01:37.000 --> 00:01:41.000]  同時得到興旺與造就,對不對?
[00:01:41.000 --> 00:01:44.000]  是還是不是?
[00:01:44.000 --> 00:01:50.000]  我當然相信要盼望教會是希望見到其他的教會
[00:01:50.000 --> 00:01:52.000]  或者甚至同一個教會裡面
[00:01:52.000 --> 00:01:56.000]  我們都希望其他的會眾得到健康的成長
[00:01:56.000 --> 00:01:59.000]  預備建立,對不對?
[00:01:59.000 --> 00:02:02.000]  雖然是這樣
[00:02:02.000 --> 00:02:08.000]  每一個教會其實當它要成長、要發展的時候
[00:02:08.000 --> 00:02:13.000]  在裡面或者在外面都會受到攻擊
[00:02:13.000 --> 00:02:14.000]  不過要清楚知道
[00:02:14.000 --> 00:02:16.000]  這些攻擊是來自撒旦
[00:02:16.000 --> 00:02:18.000]  因為我們教會的成長
[00:02:18.000 --> 00:02:20.000]  我們教會的興旺
[00:02:20.000 --> 00:02:25.000]  是威脅到撒旦在地上的權與勢
[00:02:25.000 --> 00:02:29.000]  今天我們所讀的經文告訴我們
[00:02:29.000 --> 00:02:32.000]  在教會被建立的第一天開始
[00:02:32.000 --> 00:02:36.000]  當聖靈帶領著會眾建立教會
[00:02:36.000 --> 00:02:39.000]  傳福音、興旺教會的同時
[00:02:39.000 --> 00:02:41.000]  撒旦也在教會裡面
[00:02:41.000 --> 00:02:45.000]  很積極、很努力、很繁忙地工作中
[00:02:45.000 --> 00:02:47.000]  並不是要建立教會
[00:02:47.000 --> 00:02:50.000]  而是要破壞教會
[00:02:50.000 --> 00:02:52.000]  今天我們通過這段經文一同學習
[00:02:52.000 --> 00:02:59.000]  我們應該怎麼去留心、觀察、防範撒旦在教會的工作
[00:02:59.000 --> 00:03:04.000]  當我們來到教會的史堂行程的第四章
[00:03:04.000 --> 00:03:05.000]  我們發覺其實
[00:03:05.000 --> 00:03:07.000]  短短我們揭了兩三頁的聖經
[00:03:07.000 --> 00:03:11.000]  其實在當時的教會已經發生了很多的事情
[00:03:11.000 --> 00:03:15.000]  如果記得大家一路聽的時候
[00:03:15.000 --> 00:03:17.000]  聖靈在五巡節
[00:03:17.000 --> 00:03:22.000]  按照耶穌基督的應許來到人間
[00:03:22.000 --> 00:03:25.000]  降臨在眾人送信徒的頭上
[00:03:25.000 --> 00:03:26.000]  大家記得吧
[00:03:26.000 --> 00:03:29.000]  當時的信徒被聖靈充滿
