
[00:00:00.000 --> 00:00:03.880]  今天是教會鎖定的感恩節禮拜
[00:00:03.880 --> 00:00:07.640]  那大家知不知道感恩節的由來呢?
[00:00:07.640 --> 00:00:13.680]  大家知不知道感恩節是在哪一天呢?
[00:00:13.680 --> 00:00:19.360]  剛剛過去的禮拜四,是嗎?
[00:00:19.360 --> 00:00:21.240]  感恩節是從哪裡來的呢?
[00:00:21.240 --> 00:00:23.960]  是從美國來的
[00:00:23.960 --> 00:00:28.400]  美國人會很重視感恩節
[00:00:28.400 --> 00:00:31.560]  但是為什麼來到我們香港的教會
[00:00:31.560 --> 00:00:33.360]  或者我們中國的教會呢?
[00:00:33.360 --> 00:00:36.760]  我們也有傳統上在十一月份
[00:00:36.760 --> 00:00:38.320]  第四或者第二個禮拜
[00:00:38.320 --> 00:00:41.640]  我們也會定為感恩節的禮拜
[00:00:41.640 --> 00:00:45.880]  因為實際上在過往西方的宣教士
[00:00:45.880 --> 00:00:50.000]  他們是經歷了神的恩典
[00:00:50.000 --> 00:00:53.480]  他們在美國這個國家裡面
[00:00:53.480 --> 00:00:55.240]  他們的開始
[00:00:55.240 --> 00:00:57.440]  他們是因為神的恩典
[00:00:57.440 --> 00:01:00.400]  讓他們能夠去定居一個新的大陸
[00:01:00.400 --> 00:01:03.880]  以致一直這些信徒
[00:01:03.880 --> 00:01:05.400]  他們帶著感恩的心
[00:01:05.400 --> 00:01:07.240]  是影響了整個國家
[00:01:07.240 --> 00:01:11.240]  以致我們宣教來到不同的地方
[00:01:11.240 --> 00:01:12.520]  來到中國
[00:01:12.520 --> 00:01:16.240]  我們也因為他們這種對神的感恩
[00:01:16.240 --> 00:01:19.560]  我們也承傳了這個傳統
[00:01:19.560 --> 00:01:21.160]  在十一月份的時候
[00:01:21.160 --> 00:01:23.480]  我們也定教會有一個主日
[00:01:23.480 --> 00:01:25.480]  叫做感恩節的禮拜
[00:01:25.480 --> 00:01:28.680]  感恩節是在每逢十一月份
[00:01:28.680 --> 00:01:31.880]  最後一個禮拜四
[00:01:31.880 --> 00:01:33.400]  就是美國的感恩節
[00:01:33.400 --> 00:01:37.040]  當年就是在1620年的時候
[00:01:37.040 --> 00:01:39.080]  很著名的五月花號
[00:01:39.080 --> 00:01:44.840]  就葬滿了一些受到宗教迫害的清教徒
[00:01:44.840 --> 00:01:46.760]  裡面有102個人
[00:01:46.760 --> 00:01:49.720]  他們飄洋過海
[00:01:49.720 --> 00:01:51.920]  從英國去到美國的地方
[00:01:51.920 --> 00:01:53.880]  他們不知道去到美國什麼地方
[00:01:53.880 --> 00:01:56.040]  中間經歷了很多的風暴
[00:01:56.040 --> 00:01:57.480]  經歷了很多的危難
[00:01:57.480 --> 00:02:00.200]  最終就來到美國
[00:02:00.200 --> 00:02:06.160]  現在所說的地方就是美國的珀斯馬爾夫港口
[00:02:06.160 --> 00:02:08.840]  他們去到那個地方的時候
[00:02:08.840 --> 00:02:11.400]  都不坐一個漁港港灣
[00:02:11.400 --> 00:02:13.720]  於是就決定在那裡定居下來
[00:02:13.720 --> 00:02:15.920]  這100人就開始在那裡生活
[00:02:15.920 --> 00:02:19.440]  但是慢慢很快就進入一個嚴冬
[00:02:19.440 --> 00:02:23.600]  那個冬天比平時更加寒冷
[00:02:23.600 --> 00:02:27.000]  再加上他們房屋很簡陋
[00:02:27.000 --> 00:02:29.880]  他們就受到這個嚴冬的影響
[00:02:29.880 --> 00:02:32.480]  有疾病、有傳染
[00:02:32.480 --> 00:02:35.360]  然後又有很多的修成又不行
[00:02:35.360 --> 00:02:38.360]  於是經過了那個嚴冬之後
[00:02:38.360 --> 00:02:39.280]  100人
[00:02:39.280 --> 00:02:40.800]  102人去到
[00:02:40.800 --> 00:02:42.680]  只剩下50個人
[00:02:42.680 --> 00:02:47.080]  差不多一半人在那裡死了
[00:02:47.080 --> 00:02:50.160]  很快又到春天的時候
[00:02:50.160 --> 00:02:56.080]  他們就繼續面對怎樣在新的家園裡面生活
[00:02:56.080 --> 00:03:01.000]  但是當時後來認識了當地的一些印第安人
[00:03:01.000 --> 00:03:05.000]  他們是很熱誠地招待他們
[00:03:05.000 --> 00:03:07.920]  老遠看到這些人來到這個地方
[00:03:07.920 --> 00:03:12.440]  於是就幫助他們怎樣去狩獵
[00:03:12.440 --> 00:03:15.080]  怎樣去栽植、栽種
[00:03:15.080 --> 00:03:17.800]  怎樣去在這個地方裡面生活
[00:03:17.800 --> 00:03:20.360]  於是經過了一段時間
[00:03:20.360 --> 00:03:22.720]  他們那一年有很好的修成
[00:03:22.720 --> 00:03:24.720]  於是大家都很感恩
[00:03:24.720 --> 00:03:27.920]  再請了一些印第安人一起感恩
[00:03:27.920 --> 00:03:30.040]  所以這個感恩戰
[00:03:30.040 --> 00:03:31.640]  就從那時候開始
[00:03:31.640 --> 00:03:32.760]  幾百年了
[00:03:32.760 --> 00:03:34.480]  還可以說是美國
[00:03:34.480 --> 00:03:37.600]  未開國之前已經有感恩
[00:03:37.600 --> 00:03:40.120]  一直在美國的歷史裡面
[00:03:40.120 --> 00:03:42.960]  是一個很重要的日子
[00:03:42.960 --> 00:03:45.600]  我相信是比美國國慶
[00:03:45.600 --> 00:03:48.600]  能夠媲美一個這麼重要的日子
[00:03:48.600 --> 00:03:51.160]  所以就帶來感恩
[00:03:51.160 --> 00:03:54.280]  今天我們也在感恩節的禮拜裡面
[00:03:54.280 --> 00:03:56.040]  我們也再一次思想
[00:03:56.040 --> 00:03:58.200]  當然在舊約裡面
[00:03:58.200 --> 00:04:01.200]  以色列人也常常感恩的
[00:04:01.200 --> 00:04:04.960]  大家知不知道以色列人如果用一個節旗
[00:04:04.960 --> 00:04:07.880]  成為他們感恩節的節旗是什麼節旗呢?
[00:04:07.880 --> 00:04:10.320]  知不知道?
[00:04:11.480 --> 00:04:15.560]  可能你們聽過一個叫做鑄鵬節
[00:04:15.560 --> 00:04:16.320]  聽過了嗎?
[00:04:16.320 --> 00:04:17.320]  鑄鵬節
[00:04:17.320 --> 00:04:20.560]  這個鑄鵬節可以說也是他們的感恩節
[00:04:20.560 --> 00:04:23.600]  因為那時候也是秋收之後的一個節日
[00:04:23.600 --> 00:04:27.920]  特別是紀念他們在春埃及的時候
[00:04:27.920 --> 00:04:29.920]  神與他們同在
[00:04:29.920 --> 00:04:32.080]  在一個曠野裡面生活
[00:04:32.080 --> 00:04:35.600]  他們不是住一個穩固的房屋
[00:04:35.600 --> 00:04:38.440]  他們是要支搭這些帳幕
[00:04:38.440 --> 00:04:42.240]  所以這個日子這個鑄鵬節就是紀念
[00:04:42.240 --> 00:04:45.920]  春埃及神帶領他們離開埃及
[00:04:45.920 --> 00:04:50.000]  進入迦南美地的一個經歷
[00:04:50.000 --> 00:04:53.200]  於是他們用鑄鵬節去紀念
[00:04:53.200 --> 00:04:55.680]  鑄鵬節就是他們有些時間
[00:04:55.680 --> 00:04:59.640]  在自己的家裡面搭一個帳篷
[00:04:59.640 --> 00:05:01.360]  在那裡住
[00:05:01.360 --> 00:05:02.480]  在那裡生活
[00:05:02.480 --> 00:05:05.920]  而是紀念他們曾經的祖先
[00:05:05.920 --> 00:05:08.920]  是因為耶和華神的帶領
[00:05:08.920 --> 00:05:10.920]  這個也是以色列人裡面
[00:05:10.920 --> 00:05:12.640]  同樣會純粹有感恩
[00:05:12.640 --> 00:05:15.160]  剛才我們說的詩歌
[00:05:15.160 --> 00:05:17.880]  是詩篇126篇
[00:05:17.880 --> 00:05:19.960]  我們叫做《上行之詩》
[00:05:19.960 --> 00:05:22.040]  《上行之詩》裡面我們聽起來
[00:05:22.040 --> 00:05:25.560]  這首詩歌也是充滿感恩的
[00:05:25.560 --> 00:05:29.040]  也是充滿了感恩讚美的詩歌
[00:05:29.040 --> 00:05:30.840]  因為當我們看每一首詩歌的時候
[00:05:30.840 --> 00:05:31.360]  我們都會問
[00:05:31.360 --> 00:05:34.160]  究竟這個詩歌的題材是屬於什麼呢?
[00:05:34.160 --> 00:05:36.360]  你一看下去就會發覺
[00:05:36.360 --> 00:05:39.760]  這個可能是屬於讚美詩
[00:05:39.760 --> 00:05:41.560]  感恩詩等等
[00:05:41.560 --> 00:05:46.480]  或者如果是歌頌神的石安山
[00:05:46.480 --> 00:05:48.040]  歌頌神的寶座
[00:05:48.040 --> 00:05:50.040]  這些叫做石安詩等等
[00:05:50.040 --> 00:05:52.640]  我們看126篇就會覺得
[00:05:52.640 --> 00:05:55.640]  這個可能叫做感恩詩
[00:05:55.640 --> 00:05:58.240]  因為裡面是看到神的帶領
[00:05:58.240 --> 00:06:01.240]  這首詩歌是很美妙的詩歌
[00:06:01.240 --> 00:06:04.720]  一開始就說到
[00:06:04.720 --> 00:06:10.120]  當神使石安秘魯的人歸回的時候
[00:06:10.120 --> 00:06:13.000]  我們就好像做夢的人一樣
[00:06:13.000 --> 00:06:15.400]  那時候我們滿口嬉笑
[00:06:15.400 --> 00:06:17.000]  滿舌歡呼
[00:06:17.000 --> 00:06:19.320]  那時候列歌就有人說
[00:06:19.320 --> 00:06:22.640]  真是為你們行了大事
