
[00:00:00.000 --> 00:00:03.840]  我們在啓示錄信息裏面越來越迫近了
[00:00:03.840 --> 00:00:09.800]  現在今天已經開始要準備進入到
[00:00:09.800 --> 00:00:14.200]  也就是所謂的七年大災難裏面最後的
[00:00:14.200 --> 00:00:18.520]  最厲害的災難就是七個碗之災
[00:00:18.520 --> 00:00:22.840]  但丟準備我們看見在啓示錄裏面
[00:00:22.840 --> 00:00:26.880]  這一連串大家可以稍微
[00:00:26.880 --> 00:00:31.280]  好 我們看一下 我們大概可以稍微瞭解一下
[00:00:31.280 --> 00:00:34.560]  不然的話這樣講過去可能大家還是有點模糊
[00:00:34.560 --> 00:00:38.320]  那麼你可以看見 啓示錄裏面很清楚的可以看見
[00:00:38.320 --> 00:00:46.080]  這個七 七印 然後呢 七號 然後呢 七碗
[00:00:46.080 --> 00:00:48.080]  這個次序稍微記得一下
[00:00:48.080 --> 00:00:57.080]  七印 來跟我說 七印 七號 然後七碗
[00:00:57.080 --> 00:01:00.600]  那你看見 七印 七號 七碗
[00:01:00.600 --> 00:01:04.320]  現在我們已經到了這個七碗的這個階段了
[00:01:04.320 --> 00:01:06.600]  還沒有開始 到了後面
[00:01:06.600 --> 00:01:11.560]  十七章 十八章 十六章開始
[00:01:11.560 --> 00:01:16.960]  就開始持續地 開始這個七碗的災難要開始了
[00:01:16.960 --> 00:01:20.440]  所以在啓示錄十五章第一節
[00:01:20.440 --> 00:01:22.040]  他一開始他就講說
[00:01:22.040 --> 00:01:24.040]  他說我看見天上有異象
[00:01:24.040 --> 00:01:29.920]  就是七位天使掌管末了的七災
[00:01:29.920 --> 00:01:31.240]  好 下一章
[00:01:31.240 --> 00:01:38.360]  因爲神的大怒在這七災中發盡了
[00:01:38.360 --> 00:01:40.480]  神的大怒
[00:01:40.480 --> 00:01:42.960]  啓示錄是一種象徵性的說法
[00:01:42.960 --> 00:01:44.960]  所以你看的時候 你如果就這樣看過去
[00:01:44.960 --> 00:01:46.080]  你可能沒有什麼
[00:01:46.080 --> 00:01:49.880]  但是你注意他說神的什麼怒
[00:01:49.880 --> 00:01:52.520]  什麼怒 大怒
[00:01:52.520 --> 00:01:55.200]  大表明形容神的很憤怒
[00:01:55.200 --> 00:02:03.520]  神的憤怒在這個七個災當中要發盡了
[00:02:03.520 --> 00:02:06.240]  那丟什麼 我們注意一件事情
[00:02:06.240 --> 00:02:08.960]  在上個禮拜的信息裏面我們提到說
[00:02:08.960 --> 00:02:10.640]  我們上個禮拜的信息裏面提到說
[00:02:10.640 --> 00:02:13.440]  有兩種人生的結局 還記得吧
[00:02:13.440 --> 00:02:14.680]  也許你什麼都忘掉了
[00:02:14.680 --> 00:02:16.800]  但請你記得兩種人生的結局
[00:02:16.800 --> 00:02:18.240]  第一種的人生是什麼
[00:02:18.240 --> 00:02:23.240]  就是那些敬拜受的和受向的
[00:02:23.240 --> 00:02:26.520]  最後他們的結局是什麼
[00:02:26.520 --> 00:02:33.320]  他們的結局是什麼
[00:02:33.320 --> 00:02:35.720]  他們最後的結局是在地獄火湖裏面 對不對
[00:02:35.720 --> 00:02:41.680]  好 那麼那一些沒有這個敬拜受和受向
[00:02:41.680 --> 00:02:45.080]  那一些他們仰望神的憐憫
[00:02:45.080 --> 00:02:51.240]  結果他們就得着神的救贖 是不是
[00:02:51.240 --> 00:02:53.640]  那同樣的在這個思路之下
[00:02:53.640 --> 00:02:56.200]  你這樣子一直來看下來
[00:02:56.200 --> 00:03:00.720]  這是整個起訴錄裏面很清楚讓我們看見的兩種不同的結局
[00:03:00.720 --> 00:03:03.080]  15章繼續在這樣子的一個結局裏面
[00:03:03.080 --> 00:03:06.000]  但是有一個不同的就是什麼呢
[00:03:06.000 --> 00:03:10.120]  我們要看見在起訴錄裏面一再地提到得勝者 對不對
