
[00:00:00.000 --> 00:00:01.380]  開頂智慧早晨
[00:00:01.380 --> 00:00:02.700]  你好
[00:00:02.700 --> 00:00:04.320]  剛剛讀了一段聖經
[00:00:04.320 --> 00:00:07.340]  是關於耶穌入城
[00:00:07.340 --> 00:00:09.360]  什麼城呢?耶路撒冷城
[00:00:09.360 --> 00:00:11.200]  如果你一直保持着聖經
[00:00:11.200 --> 00:00:12.800]  我估計你不要蓋上它
[00:00:12.800 --> 00:00:14.940]  你會發現其實剛剛我讀完聖經之前
[00:00:14.940 --> 00:00:17.640]  耶穌正正是騎驢進城的
[00:00:17.640 --> 00:00:19.100]  在上個禮拜裏面
[00:00:19.100 --> 00:00:21.660]  其實上個禮拜六日
[00:00:21.660 --> 00:00:23.660]  頭尾有四堂不同的信息
[00:00:23.660 --> 00:00:25.940]  奉獻一個信息
[00:00:25.940 --> 00:00:27.220]  祈禱會的信息
[00:00:27.220 --> 00:00:28.360]  祖堂的信息
[00:00:28.360 --> 00:00:30.120]  到禮拜日你們的崇拜
[00:00:30.120 --> 00:00:32.620]  其實週日的祖堂不同
[00:00:32.620 --> 00:00:34.880]  在上個禮拜的長清崇拜的時候
[00:00:34.880 --> 00:00:37.660]  我剛剛是在講耶穌騎驢進城
[00:00:37.660 --> 00:00:40.340]  騎驢進城裏面有很多東西值得去描畫的
[00:00:40.340 --> 00:00:42.160]  不論是爐子的準備
[00:00:42.160 --> 00:00:43.220]  一早準備好
[00:00:43.220 --> 00:00:46.880]  或者不論我們在講耶穌進城的時候有多大的鳴叫
[00:00:46.880 --> 00:00:49.840]  甚至有些人在那裏多口在那裏吵
[00:00:49.840 --> 00:00:51.020]  哇,搞什麼呢?
[00:00:51.020 --> 00:00:53.020]  耶穌甚至會回應
[00:00:53.020 --> 00:00:55.420]  如果那些民衆不開口
[00:00:55.420 --> 00:00:56.420]  石頭也會開口
[00:00:57.280 --> 00:00:59.280]  但是很快地風迴路轉
[00:00:59.280 --> 00:01:00.280]  接下來的那一節
[00:01:00.280 --> 00:01:01.540]  41節
[00:01:01.540 --> 00:01:03.820]  就講到耶穌進城了
[00:01:03.820 --> 00:01:05.360]  就快到耶路撒冷
[00:01:05.360 --> 00:01:06.980]  在這個時候看見城
[00:01:06.980 --> 00:01:08.240]  耶穌的心情是怎樣的呢?
