
[00:00:00.000 --> 00:00:02.640]  好,頂指滿滿
[00:00:02.640 --> 00:00:04.740]  好,歡迎大家回來崇拜
[00:00:04.740 --> 00:00:07.400]  事隔了一個星期
[00:00:07.400 --> 00:00:08.720]  一個星期之前
[00:00:08.720 --> 00:00:09.800]  再一個星期之前
[00:00:09.800 --> 00:00:11.760]  我剛剛講完上一篇
[00:00:11.760 --> 00:00:13.400]  又講另一篇了
[00:00:13.400 --> 00:00:15.600]  今天來到一個新的月份
[00:00:15.600 --> 00:00:16.680]  即是三月
[00:00:16.680 --> 00:00:19.280]  我們又來到一個新的系列
[00:00:19.280 --> 00:00:22.400]  這個系列其實是教會今年全年的主題
[00:00:22.400 --> 00:00:24.240]  我們講多代同行
[00:00:24.240 --> 00:00:25.280]  如果大家有印象
[00:00:25.280 --> 00:00:27.320]  我們之前在一月份
[00:00:27.320 --> 00:00:30.720]  應該是講了第一個多代同行的系列
[00:00:30.720 --> 00:00:33.720]  那個系列主要是講與神同行
[00:00:33.720 --> 00:00:37.920]  這一次是講如何與同輩同行
[00:00:37.920 --> 00:00:40.760]  所以我將這個系列的名字改了一個名字
[00:00:40.760 --> 00:00:43.560]  改了叫做多代同行二支
[00:00:43.560 --> 00:00:44.920]  Peer Walk
[00:00:44.920 --> 00:00:46.600]  其實是怎麼來的呢
[00:00:46.600 --> 00:00:50.560]  就是我有一點點認識這個Peer Talk這個字
[00:00:50.560 --> 00:00:52.960]  因為我在想的時候
[00:00:52.960 --> 00:00:55.680]  我就會想一般人的情況下
[00:00:55.680 --> 00:00:59.640]  如果兩個人會有Peer Talk這件事的話
[00:00:59.640 --> 00:01:03.320]  通常這兩個人的關係都是較為密切的
[00:01:03.320 --> 00:01:06.080]  可能是你的夫妻關係
[00:01:06.080 --> 00:01:08.640]  又或者可能是你的閨密
[00:01:08.640 --> 00:01:11.720]  你就會跟他有Peer Talk這件事
[00:01:11.720 --> 00:01:15.760]  通常都是有一些較為深厚的友誼在裡面
[00:01:15.760 --> 00:01:16.760]  兩個人呢
[00:01:16.760 --> 00:01:20.640]  通常基本上都應該是會有一個較為
[00:01:20.640 --> 00:01:24.920]  比較信任對方的一個關係在裡面
[00:01:24.920 --> 00:01:26.760]  所以當我們以今一個系列
[00:01:26.760 --> 00:01:30.200]  我們說我們要講學如何與同輩
[00:01:30.200 --> 00:01:33.640]  與朋友去同行的時候
[00:01:33.640 --> 00:01:36.760]  同樣都是在講我們如何可以與他們
[00:01:36.760 --> 00:01:39.640]  建立一些更深厚的關係
[00:01:39.640 --> 00:01:42.320]  以致我們與人的關係
[00:01:42.320 --> 00:01:44.800]  特別是在我們的群體之間
[00:01:44.800 --> 00:01:48.680]  我們的關係不只是留於一個表面的關係
[00:01:48.680 --> 00:01:51.440]  而是可以真真正正地做到
[00:01:51.440 --> 00:01:53.640]  我們能夠彼此同行這件事
[00:01:53.640 --> 00:01:57.560]  一起去走這個信耶穌的這條路
[00:01:57.560 --> 00:02:00.480]  好,那講到做人的同行者
[00:02:00.480 --> 00:02:02.280]  又或者我改一改這個字眼
[00:02:02.280 --> 00:02:04.320]  同行者就好像很荒謬
[00:02:04.320 --> 00:02:05.640]  有些文言文
[00:02:05.640 --> 00:02:08.280]  寫一些字書面語應該這麼說
[00:02:08.280 --> 00:02:09.120]  我嘗試改一改
[00:02:09.120 --> 00:02:10.200]  我說不如講
[00:02:10.200 --> 00:02:15.000]  講如何做人一個真誠的朋友這件事
[00:02:15.000 --> 00:02:16.840]  在我預備這篇信息裡面
[00:02:16.840 --> 00:02:18.440]  講到要做這件事的時候
[00:02:18.440 --> 00:02:19.760]  我想起我之前
[00:02:19.760 --> 00:02:22.040]  在大概我沒記錯是二三年年底
[00:02:22.040 --> 00:02:23.560]  我曾經講過一篇道
[00:02:23.560 --> 00:02:25.080]  提過一件事
[00:02:25.080 --> 00:02:26.400]  我不知道大家有沒有印象
[00:02:26.400 --> 00:02:27.560]  就是我說
[00:02:27.560 --> 00:02:30.600]  其實朋友這個字眼
[00:02:30.600 --> 00:02:32.480]  在今天這個社會裡面
[00:02:32.480 --> 00:02:34.800]  其實越來越模糊
