
[00:00:00.000 --> 00:00:03.000]  天父上帝求祢這個時候臨在我們當中
[00:00:03.000 --> 00:00:04.840]  祢親自對我們講說話
[00:00:04.840 --> 00:00:07.340]  透過祢的僕人所準備的訊息
[00:00:07.340 --> 00:00:10.240]  讓我們一起去思想這個話語的時候
[00:00:10.240 --> 00:00:11.640]  心中甘甜
[00:00:11.640 --> 00:00:13.640]  亦都可以藏在他們心中
[00:00:13.640 --> 00:00:17.480]  亦都知道怎樣去行在我們的生活當中
[00:00:17.480 --> 00:00:18.960]  最後求祢與我們同在
[00:00:18.960 --> 00:00:20.440]  帶領我們以下時間
[00:00:20.440 --> 00:00:22.240]  奉主耶穌基督的聖名
[00:00:22.240 --> 00:00:23.240]  Amen
[00:00:23.240 --> 00:00:28.200]  我看過一篇文章
[00:00:28.200 --> 00:00:30.480]  內容告訴我們
[00:00:30.480 --> 00:00:39.400]  美國是世界上少數幾個訂有法定的感恩節的國家
[00:00:39.400 --> 00:00:47.600]  世界上可能有幾個國家都會訂感恩節為法定節日的國家
[00:00:47.600 --> 00:00:50.080]  可能他們在當中都會有慶祝
[00:00:50.080 --> 00:00:51.480]  有放假
[00:00:51.480 --> 00:00:53.480]  公眾假期
[00:00:53.480 --> 00:01:00.120]  美國會定為每年十一月第三個星期四
[00:01:00.120 --> 00:01:02.640]  全國放假
[00:01:02.640 --> 00:01:05.080]  是一個公眾假期
[00:01:05.080 --> 00:01:09.680]  由此他們在節日當中去思想
[00:01:09.680 --> 00:01:16.600]  同時去感謝曾經保守他們在一個陌生的地方生活
[00:01:16.600 --> 00:01:19.920]  或者渡過難關的神的一天
[00:01:19.920 --> 00:01:24.640]  在這個冬天他們特別紀念那一天
[00:01:24.640 --> 00:01:26.320]  那一天是什麼一天呢?
[00:01:26.320 --> 00:01:30.040]  當年發生了什麼事情呢?
[00:01:30.040 --> 00:01:33.360]  原來那是中世紀的時候
[00:01:33.360 --> 00:01:35.320]  中世紀的時候
[00:01:35.320 --> 00:01:42.000]  當時在英國發生了一場迫不及待基督徒的事情
[00:01:42.000 --> 00:01:44.000]  由於不同的信仰
[00:01:44.000 --> 00:01:46.760]  基督徒都有不同的信仰和不同的看法
[00:01:46.760 --> 00:01:50.720]  這些不同信仰的基督徒就被迫不
[00:01:50.720 --> 00:01:56.080]  因此他們就要離開英國這個地方
[00:01:56.080 --> 00:01:57.760]  他們遷到哪裡呢?
[00:01:57.760 --> 00:01:59.760]  他們又遷到荷蘭
[00:01:59.760 --> 00:02:04.360]  但是在荷蘭當他們以為可以安居樂業的時候
